cell,k,from,to,movement_h,movement_e
B9,0,2000,25000,0.956036,0.886398
B9,0,25000,40000,0.877389,0.713786
B9,3,20000,40000,0.988704,0.967372
B1,0,2000,25000,0.802968,0.815767
B1,0,25000,40000,0.471749,0.450246
B1,3,2000,25000,0.905638,0.902367
B1,3,25000,40000,0.839718,0.678328
B5·s1,0,20000,40000,0.910544,0.619192
B5·s1,3,20000,40000,1.000941,0.412261
B5·s2,0,2000,25000,1.018466,0.854641
B5·s2,0,25000,40000,1.009190,0.461409
B5·s2,3,2000,25000,1.025543,0.821048
B5·s2,3,25000,40000,0.945578,0.403947
A3,0,20000,40000,0.989065,0.672549
A3,1,20000,40000,0.799795,0.606632
A3,3,20000,40000,1.018646,0.611506
