label,subset,n,delta,ci_lo,ci_hi,p_improved
A1_vs_pub_bb40k_student,all,97,-0.1290,-0.1966,-0.0758,1.000
A1_vs_pub_bb40k_student,short,55,-0.0970,-0.1513,-0.0555,1.000
A1_vs_pub_bb40k_student,medium_long,42,-0.1815,-0.3186,-0.0882,1.000
A1_vs_pub_bb100k_student,all,97,-0.0426,-0.0835,-0.0069,0.990
A1_vs_pub_bb100k_student,short,55,-0.0175,-0.0454,0.0126,0.873
A1_vs_pub_bb100k_student,medium_long,42,-0.0855,-0.1702,-0.0201,0.997
A1_vs_pub_bb40k_teacher,all,97,-0.1030,-0.1590,-0.0560,1.000
A1_vs_pub_bb40k_teacher,short,55,-0.0688,-0.1192,-0.0261,0.999
A1_vs_pub_bb40k_teacher,medium_long,42,-0.1598,-0.2612,-0.0848,1.000
A1_vs_pub_bb100k_teacher,all,97,-0.0842,-0.1396,-0.0314,0.999
A1_vs_pub_bb100k_teacher,short,55,-0.0295,-0.0544,-0.0058,0.994
A1_vs_pub_bb100k_teacher,medium_long,42,-0.1789,-0.3247,-0.0617,0.998
A2_vs_pub_bb40k_student,all,97,-0.1503,-0.2357,-0.0762,1.000
A2_vs_pub_bb40k_student,short,55,-0.0150,-0.0616,0.0391,0.716
A2_vs_pub_bb40k_student,medium_long,42,-0.3799,-0.6489,-0.2074,1.000
A2_vs_pub_bb100k_student,all,97,-0.1435,-0.2112,-0.0820,1.000
A2_vs_pub_bb100k_student,short,55,-0.0516,-0.1080,-0.0032,0.983
A2_vs_pub_bb100k_student,medium_long,42,-0.2955,-0.4638,-0.1770,1.000
A2_vs_pub_bb200k_student,all,97,-0.1079,-0.1653,-0.0546,1.000
A2_vs_pub_bb200k_student,short,55,-0.0293,-0.0828,0.0130,0.903
A2_vs_pub_bb200k_student,medium_long,42,-0.2377,-0.3762,-0.1354,1.000
A2_vs_pub_bb40k_teacher,all,97,-0.1424,-0.2301,-0.0659,1.000
A2_vs_pub_bb40k_teacher,short,55,-0.0078,-0.0630,0.0534,0.596
A2_vs_pub_bb40k_teacher,medium_long,42,-0.3720,-0.6407,-0.2009,1.000
A2_vs_pub_bb100k_teacher,all,97,-0.1232,-0.1841,-0.0660,1.000
A2_vs_pub_bb100k_teacher,short,55,-0.0295,-0.0811,0.0168,0.893
A2_vs_pub_bb100k_teacher,medium_long,42,-0.2783,-0.4311,-0.1674,1.000
A2_vs_pub_bb200k_teacher,all,97,-0.0959,-0.1472,-0.0462,1.000
A2_vs_pub_bb200k_teacher,short,55,-0.0177,-0.0626,0.0226,0.793
A2_vs_pub_bb200k_teacher,medium_long,42,-0.2252,-0.3591,-0.1273,1.000
A3_vs_pub_bb40k_student,all,97,0.1723,0.1159,0.2454,0.000
A3_vs_pub_bb40k_student,short,55,0.2445,0.1702,0.3403,0.000
A3_vs_pub_bb40k_student,medium_long,42,0.0568,0.0220,0.1059,0.000
A3_vs_pub_bb100k_student,all,97,0.1088,0.0627,0.1672,0.000
A3_vs_pub_bb100k_student,short,55,0.2026,0.1318,0.2874,0.000
A3_vs_pub_bb100k_student,medium_long,42,-0.0465,-0.0894,-0.0080,0.991
A3_vs_pub_bb40k_teacher,all,97,0.1728,0.1161,0.2480,0.000
A3_vs_pub_bb40k_teacher,short,55,0.2398,0.1663,0.3339,0.000
A3_vs_pub_bb40k_teacher,medium_long,42,0.0644,0.0268,0.1191,0.000
A3_vs_pub_bb100k_teacher,all,97,0.1189,0.0672,0.1857,0.000
A3_vs_pub_bb100k_teacher,short,55,0.2251,0.1489,0.3222,0.000
A3_vs_pub_bb100k_teacher,medium_long,42,-0.0566,-0.1055,-0.0134,0.996
A4_vs_pub_bb40k_student,all,97,-0.0741,-0.1305,-0.0268,1.000
A4_vs_pub_bb40k_student,short,55,-0.0444,-0.0877,-0.0125,0.999
A4_vs_pub_bb40k_student,medium_long,42,-0.1243,-0.2544,-0.0254,0.996
A4_vs_pub_bb100k_student,all,97,-0.1145,-0.1763,-0.0648,1.000
A4_vs_pub_bb100k_student,short,55,-0.0669,-0.1209,-0.0271,1.000
A4_vs_pub_bb100k_student,medium_long,42,-0.1954,-0.3249,-0.1052,1.000
A4_vs_pub_bb40k_teacher,all,97,-0.0689,-0.1223,-0.0249,1.000
A4_vs_pub_bb40k_teacher,short,55,-0.0419,-0.0786,-0.0138,1.000
A4_vs_pub_bb40k_teacher,medium_long,42,-0.1144,-0.2372,-0.0218,0.995
A4_vs_pub_bb100k_teacher,all,97,-0.0964,-0.1505,-0.0506,1.000
A4_vs_pub_bb100k_teacher,short,55,-0.0638,-0.1113,-0.0271,1.000
A4_vs_pub_bb100k_teacher,medium_long,42,-0.1516,-0.2560,-0.0727,1.000
B1_vs_pub_bb40k_student,all,97,-0.1175,-0.1801,-0.0615,1.000
B1_vs_pub_bb40k_student,short,55,-0.0556,-0.1017,-0.0184,0.999
B1_vs_pub_bb40k_student,medium_long,42,-0.2244,-0.3504,-0.1243,1.000
B1_vs_pub_bb100k_student,all,97,-0.0736,-0.1287,-0.0255,1.000
B1_vs_pub_bb100k_student,short,55,-0.0396,-0.0889,0.0002,0.974
B1_vs_pub_bb100k_student,medium_long,42,-0.1314,-0.2285,-0.0531,1.000
B1_vs_pub_bb200k_student,all,97,-0.0643,-0.1230,-0.0130,0.995
B1_vs_pub_bb200k_student,short,55,-0.0391,-0.0950,0.0034,0.963
B1_vs_pub_bb200k_student,medium_long,42,-0.1064,-0.2091,-0.0196,0.992
B10_vs_pub_bb40k_student,all,97,-0.1122,-0.1996,-0.0340,0.997
B10_vs_pub_bb40k_student,short,55,0.0134,-0.0408,0.0752,0.321
B10_vs_pub_bb40k_student,medium_long,42,-0.3259,-0.5882,-0.1579,1.000
B10_vs_pub_bb100k_student,all,97,-0.1511,-0.2239,-0.0908,1.000
B10_vs_pub_bb100k_student,short,55,-0.0878,-0.1463,-0.0423,1.000
B10_vs_pub_bb100k_student,medium_long,42,-0.2557,-0.4531,-0.1292,1.000
B2_vs_pub_bb40k_student,all,97,0.1212,0.0690,0.1889,0.000
B2_vs_pub_bb40k_student,short,55,0.1748,0.1019,0.2631,0.000
B2_vs_pub_bb40k_student,medium_long,42,0.0431,0.0025,0.1076,0.017
B2_vs_pub_bb100k_student,all,97,0.0928,0.0541,0.1415,0.000
B2_vs_pub_bb100k_student,short,55,0.1444,0.0897,0.2094,0.000
B2_vs_pub_bb100k_student,medium_long,42,0.0145,-0.0132,0.0506,0.168
