run,d,cos
B9:0,1,0.397552
B9:0,2,0.091436
B9:0,3,-0.003744
B9:0,4,0.001872
B9:0,5,-0.059017
B9:0,6,-0.003870
B9:0,7,0.004031
B9:0,8,0.064222
B9:0,9,0.052471
B9:0,10,0.034240
B9:0,11,0.013155
B9:0,12,-0.077045
B9:0,13,-0.025612
B9:0,14,0.002902
B9:0,15,0.022484
B9:0,16,0.079105
B9:3,1,0.489010
B9:3,2,0.404536
B9:3,3,0.343621
B9:3,4,0.279816
B9:3,5,0.241227
B9:3,6,0.179681
B9:3,7,0.107572
B9:3,8,0.066327
B9:3,9,0.108787
B9:3,10,0.099032
B9:3,11,0.072957
B9:3,12,0.075446
B9:3,13,0.094230
B9:3,14,0.081654
B9:3,15,0.067690
B9:3,16,0.107323
B1:0,1,0.578272
B1:0,2,0.615236
B1:0,3,0.536071
B1:0,4,0.588093
B1:0,5,0.615196
B1:0,6,0.569246
B1:0,7,0.576477
B1:0,8,0.518814
B1:0,9,0.508238
B1:0,10,0.605694
B1:0,11,0.594416
B1:0,12,0.613582
B1:0,13,0.497128
B1:0,14,0.642156
B1:0,15,0.599525
B1:0,16,0.570475
B1:3,1,0.834923
B1:3,2,0.824108
B1:3,3,0.819351
B1:3,4,0.855879
B1:3,5,0.819850
B1:3,6,0.836952
B1:3,7,0.770308
B1:3,8,0.804589
B1:3,9,0.795151
B1:3,10,0.829669
B1:3,11,0.861579
B1:3,12,0.834078
B1:3,13,0.805769
B1:3,14,0.833232
B1:3,15,0.856712
B1:3,16,0.862282
B5·s1:0,1,0.788353
B5·s1:0,2,0.755169
B5·s1:0,3,0.796489
B5·s1:0,4,0.783787
B5·s1:0,5,0.793381
B5·s1:0,6,0.787130
B5·s1:0,7,0.723105
B5·s1:0,8,0.790718
B5·s1:0,9,0.761779
B5·s1:0,10,0.826675
B5·s1:0,11,0.799443
B5·s1:0,12,0.792410
B5·s1:0,13,0.735329
B5·s1:0,14,0.772999
B5·s1:0,15,0.774225
B5·s1:0,16,0.772036
B5·s1:3,1,0.890693
B5·s1:3,2,0.894062
B5·s1:3,3,0.868448
B5·s1:3,4,0.872130
B5·s1:3,5,0.873084
B5·s1:3,6,0.832709
B5·s1:3,7,0.857372
B5·s1:3,8,0.850954
B5·s1:3,9,0.874102
B5·s1:3,10,0.854417
B5·s1:3,11,0.864014
B5·s1:3,12,0.854265
B5·s1:3,13,0.869388
B5·s1:3,14,0.848782
B5·s1:3,15,0.847466
B5·s1:3,16,0.831609
B5·s2:0,1,0.353023
B5·s2:0,2,0.374459
B5·s2:0,3,0.446502
B5·s2:0,4,0.576954
B5·s2:0,5,0.536105
B5·s2:0,6,0.509537
B5·s2:0,7,0.323873
B5·s2:0,8,0.430627
B5·s2:0,9,0.437659
B5·s2:0,10,0.428780
B5·s2:0,11,0.408486
B5·s2:0,12,0.397648
B5·s2:0,13,0.313135
B5·s2:0,14,0.357364
B5·s2:0,15,0.440476
B5·s2:0,16,0.300661
B5·s2:3,1,0.872113
B5·s2:3,2,0.874815
B5·s2:3,3,0.865430
B5·s2:3,4,0.878032
B5·s2:3,5,0.789161
B5·s2:3,6,0.828368
B5·s2:3,7,0.799404
B5·s2:3,8,0.845491
B5·s2:3,9,0.801012
B5·s2:3,10,0.839117
B5·s2:3,11,0.835461
B5·s2:3,12,0.792810
B5·s2:3,13,0.777448
B5·s2:3,14,0.794766
B5·s2:3,15,0.785482
B5·s2:3,16,0.845495
A3:0,1,0.932294
A3:0,2,0.939966
A3:0,3,0.932225
A3:0,4,0.928928
A3:0,5,0.914772
A3:0,6,0.905326
A3:0,7,0.910563
A3:0,8,0.913156
A3:0,9,0.897710
A3:0,10,0.899324
A3:0,11,0.896378
A3:0,12,0.897913
A3:0,13,0.902525
A3:0,14,0.902020
A3:0,15,0.896236
A3:0,16,0.904075
A3:1,1,0.843440
A3:1,2,0.774478
A3:1,3,0.820566
A3:1,4,0.819149
A3:1,5,0.841904
A3:1,6,0.813677
A3:1,7,0.870999
A3:1,8,0.847329
A3:1,9,0.867173
A3:1,10,0.827088
A3:1,11,0.843755
A3:1,12,0.864849
A3:1,13,0.836237
A3:1,14,0.823216
A3:1,15,0.855961
A3:1,16,0.825636
A3:3,1,0.982398
A3:3,2,0.974831
A3:3,3,0.963955
A3:3,4,0.958251
A3:3,5,0.954560
A3:3,6,0.945990
A3:3,7,0.943925
A3:3,8,0.937981
A3:3,9,0.931036
A3:3,10,0.926072
A3:3,11,0.921992
A3:3,12,0.919362
A3:3,13,0.912474
A3:3,14,0.914815
A3:3,15,0.911421
A3:3,16,0.907265
