stop,split,name,n,gm_rel_mase
A1_k3_bb100k_student,all,all,97,1.167602
A1_k3_bb100k_student,term,short,55,1.036673
A1_k3_bb100k_student,term,medium,21,1.357298
A1_k3_bb100k_student,term,long,21,1.371499
A1_k3_bb100k_student,term,medium_long,42,1.364380
A1_k3_bb100k_student,domain,Econ/Fin,6,1.381143
A1_k3_bb100k_student,domain,Energy,32,1.377496
A1_k3_bb100k_student,domain,Healthcare,5,1.215687
A1_k3_bb100k_student,domain,Nature,15,0.857100
A1_k3_bb100k_student,domain,Sales,4,0.789653
A1_k3_bb100k_student,domain,Transport,15,0.975046
A1_k3_bb100k_student,domain,Web/CloudOps,20,1.316827
A1_k3_bb100k_teacher,all,all,97,1.156531
A1_k3_bb100k_teacher,term,short,55,1.035434
A1_k3_bb100k_teacher,term,medium,21,1.342441
A1_k3_bb100k_teacher,term,long,21,1.331144
A1_k3_bb100k_teacher,term,medium_long,42,1.336781
A1_k3_bb100k_teacher,domain,Econ/Fin,6,1.421658
A1_k3_bb100k_teacher,domain,Energy,32,1.340749
A1_k3_bb100k_teacher,domain,Healthcare,5,1.205749
A1_k3_bb100k_teacher,domain,Nature,15,0.846533
A1_k3_bb100k_teacher,domain,Sales,4,0.793643
A1_k3_bb100k_teacher,domain,Transport,15,0.961969
A1_k3_bb100k_teacher,domain,Web/CloudOps,20,1.328543
A1_k3_bb40k_student,all,all,97,1.130544
A1_k3_bb40k_student,term,short,55,1.004544
A1_k3_bb40k_student,term,medium,21,1.330466
A1_k3_bb40k_student,term,long,21,1.309113
A1_k3_bb40k_student,term,medium_long,42,1.319746
A1_k3_bb40k_student,domain,Econ/Fin,6,1.331122
A1_k3_bb40k_student,domain,Energy,32,1.306614
A1_k3_bb40k_student,domain,Healthcare,5,1.218770
A1_k3_bb40k_student,domain,Nature,15,0.847097
A1_k3_bb40k_student,domain,Sales,4,0.781893
A1_k3_bb40k_student,domain,Transport,15,0.942870
A1_k3_bb40k_student,domain,Web/CloudOps,20,1.283644
A1_k3_bb40k_teacher,all,all,97,1.131765
A1_k3_bb40k_teacher,term,short,55,1.010838
A1_k3_bb40k_teacher,term,medium,21,1.315292
A1_k3_bb40k_teacher,term,long,21,1.309242
A1_k3_bb40k_teacher,term,medium_long,42,1.312263
A1_k3_bb40k_teacher,domain,Econ/Fin,6,1.398988
A1_k3_bb40k_teacher,domain,Energy,32,1.289568
A1_k3_bb40k_teacher,domain,Healthcare,5,1.288396
A1_k3_bb40k_teacher,domain,Nature,15,0.846689
A1_k3_bb40k_teacher,domain,Sales,4,0.774939
A1_k3_bb40k_teacher,domain,Transport,15,0.939894
A1_k3_bb40k_teacher,domain,Web/CloudOps,20,1.286159
A1rep_k3_bb100k_student,all,all,97,1.161037
A1rep_k3_bb100k_student,term,short,55,1.027052
A1rep_k3_bb100k_student,term,medium,21,1.356321
A1rep_k3_bb100k_student,term,long,21,1.370258
A1rep_k3_bb100k_student,term,medium_long,42,1.363272
A1rep_k3_bb100k_student,domain,Econ/Fin,6,1.351016
A1rep_k3_bb100k_student,domain,Energy,32,1.372904
A1rep_k3_bb100k_student,domain,Healthcare,5,1.102067
A1rep_k3_bb100k_student,domain,Nature,15,0.857153
A1rep_k3_bb100k_student,domain,Sales,4,0.797310
A1rep_k3_bb100k_student,domain,Transport,15,0.982444
A1rep_k3_bb100k_student,domain,Web/CloudOps,20,1.318799
A1rep_k3_bb40k_student,all,all,97,1.144690
A1rep_k3_bb40k_student,term,short,55,1.025304
A1rep_k3_bb40k_student,term,medium,21,1.333487
A1rep_k3_bb40k_student,term,long,21,1.311204
A1rep_k3_bb40k_student,term,medium_long,42,1.322299
A1rep_k3_bb40k_student,domain,Econ/Fin,6,1.520320
A1rep_k3_bb40k_student,domain,Energy,32,1.307428
A1rep_k3_bb40k_student,domain,Healthcare,5,1.301677
A1rep_k3_bb40k_student,domain,Nature,15,0.846218
A1rep_k3_bb40k_student,domain,Sales,4,0.777055
A1rep_k3_bb40k_student,domain,Transport,15,0.946188
A1rep_k3_bb40k_student,domain,Web/CloudOps,20,1.286699
A2_k3_bb100k_student,all,all,97,1.247864
A2_k3_bb100k_student,term,short,55,1.156038
A2_k3_bb100k_student,term,medium,21,1.406141
A2_k3_bb100k_student,term,long,21,1.352836
A2_k3_bb100k_student,term,medium_long,42,1.379231
A2_k3_bb100k_student,domain,Econ/Fin,6,1.701939
A2_k3_bb100k_student,domain,Energy,32,1.461820
A2_k3_bb100k_student,domain,Healthcare,5,1.289074
A2_k3_bb100k_student,domain,Nature,15,0.925205
A2_k3_bb100k_student,domain,Sales,4,0.913113
A2_k3_bb100k_student,domain,Transport,15,1.047535
A2_k3_bb100k_student,domain,Web/CloudOps,20,1.329899
A2_k3_bb100k_teacher,all,all,97,1.251441
A2_k3_bb100k_teacher,term,short,55,1.163379
A2_k3_bb100k_teacher,term,medium,21,1.402753
A2_k3_bb100k_teacher,term,long,21,1.351560
A2_k3_bb100k_teacher,term,medium_long,42,1.376919
A2_k3_bb100k_teacher,domain,Econ/Fin,6,1.703303
A2_k3_bb100k_teacher,domain,Energy,32,1.480514
A2_k3_bb100k_teacher,domain,Healthcare,5,1.310935
A2_k3_bb100k_teacher,domain,Nature,15,0.915202
A2_k3_bb100k_teacher,domain,Sales,4,0.903644
A2_k3_bb100k_teacher,domain,Transport,15,1.049867
A2_k3_bb100k_teacher,domain,Web/CloudOps,20,1.326814
A2_k3_bb200k_student,all,all,97,1.250663
A2_k3_bb200k_student,term,short,55,1.157051
A2_k3_bb200k_student,term,medium,21,1.407820
A2_k3_bb200k_student,term,long,21,1.362152
A2_k3_bb200k_student,term,medium_long,42,1.384798
A2_k3_bb200k_student,domain,Econ/Fin,6,1.887555
A2_k3_bb200k_student,domain,Energy,32,1.468637
A2_k3_bb200k_student,domain,Healthcare,5,1.290702
A2_k3_bb200k_student,domain,Nature,15,0.908693
A2_k3_bb200k_student,domain,Sales,4,0.900984
A2_k3_bb200k_student,domain,Transport,15,1.030591
A2_k3_bb200k_student,domain,Web/CloudOps,20,1.330515
A2_k3_bb200k_teacher,all,all,97,1.250012
A2_k3_bb200k_teacher,term,short,55,1.156584
A2_k3_bb200k_teacher,term,medium,21,1.403130
A2_k3_bb200k_teacher,term,long,21,1.364865
A2_k3_bb200k_teacher,term,medium_long,42,1.383865
A2_k3_bb200k_teacher,domain,Econ/Fin,6,1.774549
A2_k3_bb200k_teacher,domain,Energy,32,1.480257
A2_k3_bb200k_teacher,domain,Healthcare,5,1.321296
A2_k3_bb200k_teacher,domain,Nature,15,0.900656
A2_k3_bb200k_teacher,domain,Sales,4,0.916120
A2_k3_bb200k_teacher,domain,Transport,15,1.032132
A2_k3_bb200k_teacher,domain,Web/CloudOps,20,1.330169
A2_k3_bb40k_student,all,all,97,1.273468
A2_k3_bb40k_student,term,short,55,1.189734
A2_k3_bb40k_student,term,medium,21,1.418816
A2_k3_bb40k_student,term,long,21,1.365877
A2_k3_bb40k_student,term,medium_long,42,1.392095
A2_k3_bb40k_student,domain,Econ/Fin,6,2.080385
A2_k3_bb40k_student,domain,Energy,32,1.515508
A2_k3_bb40k_student,domain,Healthcare,5,1.405007
A2_k3_bb40k_student,domain,Nature,15,0.904506
A2_k3_bb40k_student,domain,Sales,4,0.817171
A2_k3_bb40k_student,domain,Transport,15,1.063583
A2_k3_bb40k_student,domain,Web/CloudOps,20,1.312460
A2_k3_bb40k_teacher,all,all,97,1.275308
A2_k3_bb40k_teacher,term,short,55,1.188583
A2_k3_bb40k_teacher,term,medium,21,1.424115
A2_k3_bb40k_teacher,term,long,21,1.373377
A2_k3_bb40k_teacher,term,medium_long,42,1.398516
A2_k3_bb40k_teacher,domain,Econ/Fin,6,2.141674
A2_k3_bb40k_teacher,domain,Energy,32,1.515937
A2_k3_bb40k_teacher,domain,Healthcare,5,1.389579
A2_k3_bb40k_teacher,domain,Nature,15,0.900985
A2_k3_bb40k_teacher,domain,Sales,4,0.807000
A2_k3_bb40k_teacher,domain,Transport,15,1.066540
A2_k3_bb40k_teacher,domain,Web/CloudOps,20,1.317650
A3_k0_bb40k_student,all,all,97,1.218935
A3_k0_bb40k_student,term,short,55,1.112797
A3_k0_bb40k_student,term,medium,21,1.378942
A3_k0_bb40k_student,term,long,21,1.367842
A3_k0_bb40k_student,term,medium_long,42,1.373381
A3_k0_bb40k_student,domain,Econ/Fin,6,1.836294
A3_k0_bb40k_student,domain,Energy,32,1.428779
A3_k0_bb40k_student,domain,Healthcare,5,1.251195
A3_k0_bb40k_student,domain,Nature,15,0.887257
A3_k0_bb40k_student,domain,Sales,4,0.803526
A3_k0_bb40k_student,domain,Transport,15,1.019201
A3_k0_bb40k_student,domain,Web/CloudOps,20,1.310132
A3_k0_bb40k_teacher,all,all,97,1.218436
A3_k0_bb40k_teacher,term,short,55,1.110723
A3_k0_bb40k_teacher,term,medium,21,1.382368
A3_k0_bb40k_teacher,term,long,21,1.368549
A3_k0_bb40k_teacher,term,medium_long,42,1.375441
A3_k0_bb40k_teacher,domain,Econ/Fin,6,1.682114
A3_k0_bb40k_teacher,domain,Energy,32,1.441219
A3_k0_bb40k_teacher,domain,Healthcare,5,1.286299
