stop,split,name,n,gm_rel_mase
A1_k0_bb40k_student,all,all,97,1.259561
A1_k0_bb40k_student,term,long,21,1.483433
A1_k0_bb40k_student,term,medium,21,1.519322
A1_k0_bb40k_student,term,short,55,1.101538
A1_k0_bb40k_student,domain,Econ/Fin,6,1.780152
A1_k0_bb40k_student,domain,Energy,32,1.498384
A1_k0_bb40k_student,domain,Healthcare,5,1.271794
A1_k0_bb40k_student,domain,Nature,15,0.898987
A1_k0_bb40k_student,domain,Sales,4,0.815662
A1_k0_bb40k_student,domain,Transport,15,1.056006
A1_k0_bb40k_student,domain,Web/CloudOps,20,1.375491
A1_k0_bb100k_student,all,all,97,1.210165
A1_k0_bb100k_student,term,long,21,1.452423
A1_k0_bb100k_student,term,medium,21,1.447326
A1_k0_bb100k_student,term,short,55,1.054170
A1_k0_bb100k_student,domain,Econ/Fin,6,1.432513
A1_k0_bb100k_student,domain,Energy,32,1.475835
A1_k0_bb100k_student,domain,Healthcare,5,1.092578
A1_k0_bb100k_student,domain,Nature,15,0.889533
A1_k0_bb100k_student,domain,Sales,4,0.819742
A1_k0_bb100k_student,domain,Transport,15,1.041702
A1_k0_bb100k_student,domain,Web/CloudOps,20,1.309117
A1_k0_bb200k_student,all,all,97,1.190970
A1_k0_bb200k_student,term,long,21,1.420526
A1_k0_bb200k_student,term,medium,21,1.422099
A1_k0_bb200k_student,term,short,55,1.040548
A1_k0_bb200k_student,domain,Econ/Fin,6,1.417771
A1_k0_bb200k_student,domain,Energy,32,1.441097
A1_k0_bb200k_student,domain,Healthcare,5,1.144190
A1_k0_bb200k_student,domain,Nature,15,0.881038
A1_k0_bb200k_student,domain,Sales,4,0.773289
A1_k0_bb200k_student,domain,Transport,15,1.029084
A1_k0_bb200k_student,domain,Web/CloudOps,20,1.283365
A1_k0_bb40k_teacher,all,all,97,1.234738
A1_k0_bb40k_teacher,term,long,21,1.455623
A1_k0_bb40k_teacher,term,medium,21,1.488725
A1_k0_bb40k_teacher,term,short,55,1.079607
A1_k0_bb40k_teacher,domain,Econ/Fin,6,1.584230
A1_k0_bb40k_teacher,domain,Energy,32,1.456893
A1_k0_bb40k_teacher,domain,Healthcare,5,1.185207
A1_k0_bb40k_teacher,domain,Nature,15,0.899145
A1_k0_bb40k_teacher,domain,Sales,4,0.827760
A1_k0_bb40k_teacher,domain,Transport,15,1.054009
A1_k0_bb40k_teacher,domain,Web/CloudOps,20,1.374587
A1_k0_bb100k_teacher,all,all,97,1.240737
A1_k0_bb100k_teacher,term,long,21,1.532378
A1_k0_bb100k_teacher,term,medium,21,1.499074
A1_k0_bb100k_teacher,term,short,55,1.064899
A1_k0_bb100k_teacher,domain,Econ/Fin,6,1.546753
A1_k0_bb100k_teacher,domain,Energy,32,1.525292
A1_k0_bb100k_teacher,domain,Healthcare,5,1.193871
