cell,rep,k,window,data_ms,fwd_ms,bwd_ms,total_ms,sps,gpu_mem_mib,neighbour_mib
B5,1,0,1,39.5,143.7,82.0,266.0,3.3,15830,15830
B5,1,0,2,6.5,143.8,79.4,230.6,3.5,15830,15830
B5,1,0,3,6.5,139.5,78.3,225.0,3.6,15830,15830
B5,1,3,1,42.4,289.5,246.7,579.4,1.6,15830,15830
B5,1,3,2,6.8,287.6,244.2,539.4,1.7,15830,15830
B5,1,3,3,6.8,285.6,244.4,537.7,1.7,15830,15830
B5,2,0,1,51.0,146.0,83.3,281.1,3.1,15830,15830
B5,2,0,2,6.4,141.8,77.2,226.2,3.4,15830,15830
B5,2,0,3,6.2,141.8,78.6,227.4,3.5,15830,15830
B5,2,3,1,50.1,287.5,246.7,585.2,1.6,15830,15830
B5,2,3,2,6.8,288.0,245.4,541.0,1.7,15830,15830
B5,2,3,3,6.7,284.2,243.8,535.5,1.7,15830,15830
B5,3,0,1,47.7,145.8,82.4,276.7,3.2,15830,15830
B5,3,0,2,6.8,146.9,80.0,234.6,3.4,15830,15830
B5,3,0,3,6.2,143.7,80.0,230.7,3.5,15830,15830
B5,3,3,1,40.5,285.8,245.2,572.3,1.6,15830,15830
B5,3,3,2,6.8,284.8,242.9,535.3,1.7,15830,15830
B5,3,3,3,7.0,281.8,242.7,532.3,1.7,15830,15830
