cell,rep,k,window,data_ms,fwd_ms,bwd_ms,total_ms,sps,gpu_mem_mib,neighbour_mib
B5,1,0,1,66.0,118.5,74.3,259.6,3.7,8946,8946
B5,1,0,2,3.7,120.4,72.9,197.8,4.2,8946,8946
B5,1,0,3,3.6,120.4,74.0,198.9,4.3,8946,8946
B5,1,3,1,89.2,267.4,243.8,601.3,1.6,8946,8946
B5,1,3,2,4.0,264.8,241.5,511.2,1.8,8946,8946
B5,1,3,3,3.8,262.6,239.2,506.4,1.8,8946,8946
B5,2,0,1,110.6,118.4,75.2,305.1,3.2,8946,8946
B5,2,0,2,3.9,117.8,72.9,195.4,3.8,8946,8946
B5,2,0,3,3.8,116.7,72.0,193.4,4.1,8946,8946
B5,2,3,1,80.9,272.9,246.9,601.5,1.6,8946,8946
B5,2,3,2,3.9,268.7,244.4,517.8,1.8,8946,8946
B5,2,3,3,3.5,264.8,241.9,511.0,1.8,8946,8946
B5,3,0,1,96.4,118.5,74.6,290.4,3.3,8946,8946
B5,3,0,2,3.6,117.4,70.7,192.6,4.0,8946,8946
B5,3,0,3,3.6,116.2,72.2,192.9,4.2,8946,8946
B5,3,3,1,82.0,267.7,242.3,592.9,1.7,8946,8946
B5,3,3,2,4.1,273.5,244.4,523.0,1.8,8946,8946
B5,3,3,3,6.4,380.5,363.9,752.1,1.6,8946,8946
