cell,k,gpu,windows,data_ms,fwd_ms,bwd_ms,compute_ms,total_ms
B9,0,RTX 4090 (elisa),199,4.9,130.7,81.8,212.5,229.2
B9,3,RTX4090,199,11.6,244.3,180.9,425.2,442.6
B1,0,RTX 4090 (elisa),199,3.7,114.4,64.2,178.6,185.4
B1,3,RTX 4090 (elisa),199,5.7,140.5,94.7,235.2,245.3
B5·s1,0,RTX5090,199,3.1,73.4,44.2,117.6,121.9
B5·s1,3,RTX5090,199,5.5,157.2,144.7,301.9,307.7
B5·s2,0,RTX 4090 (elisa),199,4.3,124.9,76.1,201.0,212.9
B5·s2,3,RTX 4090 (elisa),199,4.6,261.2,239.5,500.7,518.4
A3,0,RTX5090,199,3.1,75.3,40.6,115.9,120.2
A3,1,RTX 4090 (elisa),199,7.3,134.4,80.2,214.6,232.4
A3,3,RTX5090,272,11.0,84.2,53.5,137.8,154.1
