step,layer_idx,block,qk_logit_maxabs,sa_in_maxabs,sa_out_maxabs,resid_post_sa_maxabs,resid_post_ffn_maxabs
200,0,enc,3.214421510696411,5.067752838134766,1.7353515625,5.548434257507324,5.828980445861816
200,1,enc,3.1238415241241455,5.473628997802734,2.005859375,7.206387519836426,7.212192535400391
200,2,enc,3.3475265502929688,5.3910346031188965,1.951171875,8.71745491027832,8.71745491027832
200,0,fcst,2.2561275959014893,6.1613945960998535,1.9208984375,9.565357208251953,10.660735130310059
200,1,fcst,2.5541205406188965,5.3973307609558105,2.275390625,11.938411712646484,13.301426887512207
200,2,fcst,2.622072696685791,5.220569133758545,2.130859375,14.986817359924316,18.03803253173828
200,0,enc,3.1879589557647705,5.093856334686279,1.4375,5.812187671661377,5.499931812286377
200,1,enc,3.1285855770111084,5.352548122406006,1.373046875,7.27408504486084,7.49698543548584
200,2,enc,3.310248851776123,5.320231914520264,1.81640625,7.931392192840576,7.951930522918701
400,0,enc,3.6883344650268555,4.769481182098389,1.533203125,6.1071648597717285,6.493639945983887
400,1,enc,3.117966890335083,5.141227722167969,1.7646484375,8.121137619018555,8.28037166595459
400,2,enc,3.5984296798706055,5.49576473236084,1.958984375,8.30698013305664,8.024923324584961
400,0,fcst,2.1821587085723877,4.979690074920654,1.8974609375,10.431526184082031,12.564772605895996
400,1,fcst,2.826453447341919,5.425496578216553,1.978515625,15.153839111328125,17.536651611328125
400,2,fcst,2.7062652111053467,4.8799896240234375,1.9658203125,17.48419761657715,19.968822479248047
400,0,enc,3.6527395248413086,4.769681453704834,1.2060546875,5.327404022216797,6.11920166015625
400,1,enc,3.1378750801086426,4.887401103973389,1.57421875,7.124444007873535,7.635007381439209
400,2,enc,3.602050304412842,5.586266994476318,1.8740234375,7.837496757507324,7.043458461761475
600,0,enc,4.046681880950928,4.166893005371094,1.51953125,5.711483001708984,8.204973220825195
600,1,enc,3.1203877925872803,4.7262282371521,2.466796875,9.415575981140137,9.656732559204102
600,2,enc,3.6707699298858643,5.482075214385986,2.072265625,8.715020179748535,7.869091987609863
600,0,fcst,2.4488842487335205,5.0717010498046875,2.10546875,10.43527889251709,12.758234024047852
600,1,fcst,3.2205986976623535,5.002828598022461,2.251953125,13.405166625976562,15.598808288574219
