step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3
1,46.88750076293945,14.89311695098877,-0.37705084681510925,2.5106503626259995,0.37335410714149475,0.750404953956604,0.46970441937446594,0.185420423746109,64,0,0,0.18267923593521118,-0.18703186511993408,0.10203442722558975,0.13510631024837494,0.7701297402381897,0.06702849268913269,0.1389416605234146,,0.058222077786922455,0.29809874296188354,0.043230973184108734,0.047041527926921844,0.14051418006420135,0.04729524627327919,0.9,0.6266458630561829,0.7347619533538818,0.7927722334861755,0.8382079005241394
2,40.6978759765625,13.48698616027832,-0.38250914216041565,2.6063945252648795,0.37937429547309875,0.7618834376335144,0.4310474693775177,0.1909346580505371,128,0,0,0.22840768098831177,-0.09439504146575928,0.11289817839860916,0.17408615350723267,0.7986010313034058,0.06295794248580933,0.13052918016910553,,0.05402272567152977,0.2980504333972931,0.049421608448028564,0.047531045973300934,0.1901436597108841,0.04797611013054848,0.9,0.6206256747245789,0.6980891227722168,0.7391466498374939,0.7696255445480347
3,37.24801254272461,13.618897438049316,-0.3971743881702423,2.583411967526118,0.35199108719825745,0.7491654753684998,0.4136326014995575,0.11356960982084274,192,0,0,0.24989289045333862,-0.1094059944152832,0.13421382009983063,0.19770465791225433,0.8221815228462219,0.07001356780529022,0.16824966669082642,,0.05533325672149658,0.24743109941482544,0.04046665132045746,0.04264814779162407,0.22305171191692352,0.04312191158533096,0.9,0.6480088829994202,0.7486147284507751,0.7844467163085938,0.8224601745605469
4,33.99110412597656,13.334447860717773,-0.4451163411140442,2.7498502116017414,0.3005096912384033,0.7456260323524475,0.3338981568813324,0.101844422519207,256,0,1,0.22029507160186768,-0.05212557315826416,0.16995438933372498,0.2579174339771271,0.7960435748100281,0.05644505098462105,0.12510177493095398,,0.048906609416007996,0.23901432752609253,0.04765186086297035,0.04556287080049515,0.2959759533405304,0.046352505683898926,0.9,0.6994903087615967,0.7643936276435852,0.797404408454895,0.8228840231895447
5,32.24287796020508,12.832024574279785,-0.4230169951915741,2.6144590824829064,0.31496521830558777,0.7379822134971619,0.35075822472572327,0.08505340665578842,320,0,1,0.278648316860199,-0.057405829429626465,0.17344577610492706,0.3152105510234833,0.8410828113555908,0.08602442592382431,0.17313434183597565,,0.050643615424633026,0.2188379466533661,0.05160786956548691,0.0492226779460907,0.34563764929771423,0.04978841915726662,0.9,0.6850347518920898,0.7518274784088135,0.7855181097984314,0.8099507689476013
6,33.6688232421875,14.187844276428223,-0.4357336163520813,2.703563236631658,0.3084886074066162,0.7442222237586975,0.32908934354782104,0.08294691890478134,384,0,0,0.27315348386764526,-0.03194618225097656,0.18693538010120392,0.3528352975845337,0.8164045810699463,0.08358209580183029,0.1644504815340042,,0.05206003040075302,0.2154437005519867,0.052384667098522186,0.0589459165930748,0.3710382580757141,0.059157583862543106,0.9,0.691511332988739,0.7478861808776855,0.7693420052528381,0.8009606003761292
7,31.33263397216797,12.63184928894043,-0.4508388638496399,2.7284577514161166,0.2883281111717224,0.7391669750213623,0.2943626642227173,0.06255386769771576,448,0,0,0.22038841247558594,-0.009397387504577637,0.20175062119960785,0.3791912794113159,0.8334186673164368,0.09416554123163223,0.19375848770141602,,0.04639388993382454,0.21465668082237244,0.05688512697815895,0.05471295490860939,0.4107964038848877,0.054916638880968094,0.9,0.7116719484329224,0.7684466242790222,0.7946220636367798,0.8265334367752075
8,32.65663146972656,13.530346870422363,-0.4421342611312866,2.617832272231289,0.2845776677131653,0.7267119288444519,0.30584269762039185,0.048896435648202896,512,0,1,0.26090091466903687,-0.0322185754776001,0.18768179416656494,0.34024155139923096,0.8235836029052734,0.07164179533720016,0.18018996715545654,,0.043636076152324677,0.21176263689994812,0.052698034793138504,0.059772223234176636,0.37670955061912537,0.06083173677325249,0.9,0.7154223918914795,0.774766743183136,0.7801868319511414,0.8228025436401367
9,32.093719482421875,13.102066040039062,-0.4083777368068695,2.5478156331730344,0.32778093218803406,0.7361586689949036,0.35058608651161194,0.03873668611049652,576,0,1,0.29067254066467285,-0.036985158920288086,0.18764865398406982,0.36746424436569214,0.8769160509109497,0.09552238881587982,0.24504749476909637,,0.04335184767842293,0.2103879749774933,0.06604651361703873,0.06553730368614197,0.40504130721092224,0.0668598860502243,0.9,0.6722190380096436,0.7405144572257996,0.7732948660850525,0.8033934831619263
10,32.218631744384766,13.317586898803711,-0.4266243278980255,2.6319408407441625,0.31195423007011414,0.7385785579681396,0.3233875334262848,0.02883043885231018,640,0,1,0.2960066795349121,-0.019568681716918945,0.20508015155792236,0.3716694116592407,0.8618899583816528,0.09063772112131119,0.2238806039094925,,0.045791059732437134,0.20269212126731873,0.05749938637018204,0.05850179120898247,0.4106431305408478,0.059587132185697556,0.9,0.6880457997322083,0.7502845525741577,0.7886550426483154,0.8224217295646667
