step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3
1,18.0659236907959,20.217866897583008,-0.37705084681510925,2.5106503626259995,0.37335410714149475,0.750404953956604,0.46970441937446594,0.185420423746109,64,0,0,0.18267923593521118,-0.18703186511993408,0.10203442722558975,0.13510631024837494,0.7701297402381897,0.06702849268913269,0.1389416605234146,,0.058222077786922455,0.29809874296188354,0.043230973184108734,0.047041527926921844,0.14051418006420135,0.04729524627327919,0.900001,0.6266458630561829,0.7347619533538818,0.7927722334861755,0.8382079005241394
2,17.042598724365234,21.148590087890625,-0.2688244581222534,2.502752192091013,0.5522874593734741,0.8211119174957275,0.5895826816558838,0.41881316900253296,128,0,0,0.21862202882766724,-0.09983587265014648,0.05902460962533951,0.07935088872909546,0.7691543102264404,0.043962009251117706,0.10339213162660599,,0.05693685635924339,0.47256261110305786,0.05014195293188095,0.04841911420226097,0.07534601539373398,0.048892565071582794,0.900002,0.4477125406265259,0.5152836441993713,0.5530717372894287,0.5819926261901855
3,16.229717254638672,22.145723342895508,-0.21297383308410645,2.4138587204905977,0.636393129825592,0.8493669629096985,0.6668805480003357,0.495740681886673,192,0,0,0.26370322704315186,-0.10677981376647949,0.047375138849020004,0.059777893126010895,0.7733728885650635,0.0363636389374733,0.0854816883802414,,0.061776358634233475,0.5253667831420898,0.041586846113204956,0.04393281787633896,0.056802429258823395,0.044438980519771576,0.900003,0.36360687017440796,0.4313265383243561,0.4587102234363556,0.48391643166542053
4,15.875448226928711,21.8051815032959,-0.22616726160049438,2.5473710094951625,0.6276704668998718,0.8538377285003662,0.6383150815963745,0.48906928300857544,256,0,1,0.2876194715499878,-0.03847157955169678,0.04915319010615349,0.06240585818886757,0.7644504904747009,0.03310719132423401,0.07869742810726166,,0.05519689992070198,0.5381132960319519,0.049106135964393616,0.04700378701090813,0.060863882303237915,0.04791650548577309,0.900004,0.3723295331001282,0.42479613423347473,0.45396071672439575,0.47299525141716003
5,15.53718090057373,21.600797653198242,-0.21646934747695923,2.4572747109528543,0.6349866986274719,0.8514560461044312,0.6504396796226501,0.4557235538959503,320,0,1,0.3657124638557434,-0.053621530532836914,0.050442397594451904,0.06786047667264938,0.8025071620941162,0.03934871405363083,0.10746268928050995,,0.057461827993392944,0.4870702028274536,0.05270227789878845,0.050440117716789246,0.06636880338191986,0.051087334752082825,0.900005,0.3650132417678833,0.42162516713142395,0.4537670612335205,0.47513046860694885
6,15.337432861328125,21.595537185668945,-0.23398739099502563,2.5259397438249627,0.612672746181488,0.8466601371765137,0.6218255162239075,0.4211847484111786,384,0,0,0.3732264041900635,-0.030089378356933594,0.05512576922774315,0.075717993080616,0.783038318157196,0.05074626952409744,0.1039348766207695,,0.06020792946219444,0.46226415038108826,0.053306613117456436,0.059120628982782364,0.07469278573989868,0.05933601036667824,0.900006,0.38732725381851196,0.44226235151290894,0.46813133358955383,0.4928238093852997
7,15.197639465332031,20.85807991027832,-0.24713963270187378,2.537656938678257,0.5921355485916138,0.8392751812934875,0.5961524248123169,0.3501671850681305,448,0,0,0.3847616910934448,-0.015133380889892578,0.06061335280537605,0.08991507440805435,0.8213858604431152,0.056716419756412506,0.1294436901807785,,0.05284599959850311,0.43034231662750244,0.05651488155126572,0.05519088730216026,0.09357128292322159,0.05541626363992691,0.900007,0.40786442160606384,0.47206351161003113,0.5061476826667786,0.5330919027328491
8,15.093430519104004,20.7943115234375,-0.25092488527297974,2.4919877559656354,0.5808935165405273,0.8318184018135071,0.5823298096656799,0.3256973624229431,512,0,1,0.41738682985305786,-0.007303953170776367,0.06394930928945541,0.09640844911336899,0.8261410593986511,0.058073271065950394,0.1351424753665924,,0.051014915108680725,0.39757782220840454,0.053006649017333984,0.060029223561286926,0.10397211462259293,0.06112414970993996,0.900008,0.41910645365715027,0.4794262647628784,0.4996185302734375,0.532799482345581
9,14.954437255859375,20.584930419921875,-0.23855209350585938,2.417872985045915,0.5932014584541321,0.8317535519599915,0.6004887819290161,0.26650339365005493,576,0,1,0.49193012714385986,-0.021218538284301758,0.06391579657793045,0.11107949167490005,0.8731796145439148,0.06702849268913269,0.177204892039299,,0.049728505313396454,0.37369000911712646,0.06544984132051468,0.06528159976005554,0.1229134351015091,0.06663448363542557,0.9000090000000001,0.40679848194122314,0.47469180822372437,0.5122904181480408,0.5395577549934387
10,14.882359504699707,20.465539932250977,-0.24256426095962524,2.3744723996229413,0.5809576511383057,0.8235219120979309,0.5858094096183777,0.2605805993080139,640,0,1,0.4937551021575928,-0.017395615577697754,0.06904739886522293,0.11455193161964417,0.8626270294189453,0.06974220275878906,0.18534600734710693,,0.050588108599185944,0.3661198318004608,0.05730738118290901,0.05825238674879074,0.12525160610675812,0.059315476566553116,0.90001,0.41904231905937195,0.48945507407188416,0.5301500558853149,0.5595238208770752
11,15.022531509399414,20.454994201660156,-0.2621280550956726,2.463026127872514,0.5587035417556763,0.8208315968513489,0.5655393600463867,0.1851021945476532,704,0,0,0.4842382073402405,-0.019109368324279785,0.07457214593887329,0.11584580689668655,0.8800553679466248,0.09552238881587982,0.1842605173587799,,0.04990532994270325,0.34593114256858826,0.049440834671258926,0.04837901517748833,0.1258881390094757,0.04882015287876129,0.900011,0.44129645824432373,0.5319722890853882,0.5797660946846008,0.6154946088790894
12,14.833022117614746,20.87066078186035,-0.24679970741271973,2.349865766889166,0.5703675150871277,0.8171672224998474,0.5755259394645691,0.21825848519802094,768,0,1,0.4522835612297058,-0.01450037956237793,0.07227275520563126,0.10562929511070251,0.8639920353889465,0.07137042284011841,0.1620081514120102,,0.049757424741983414,0.36119863390922546,0.0488433763384819,0.04864572733640671,0.11611244827508926,0.04910840839147568,0.900012,0.4296325147151947,0.51604825258255,0.5563687086105347,0.592653751373291
