k,reduce,leg,step,auc,u_batch,top1,n_crossings,start_state,first_down
0,n/a,leg_40k,20000,0.9426329731941223,0.31436392664909363,0.23175035417079926,0,above,
0,n/a,leg_40k,40000,0.9573691487312317,0.3835339844226837,0.29497966170310974,0,above,
0,n/a,leg_100k,60000,0.9585523009300232,0.39647603034973145,0.3080054521560669,0,above,
0,n/a,leg_100k,80000,0.961104691028595,0.4030460715293884,0.321302592754364,0,above,
0,n/a,leg_100k,100000,0.962096631526947,0.40289390087127686,0.3270013630390167,0,above,
8,sum,leg_40k,20000,0.49978622794151306,0.017757045105099678,0.003799186088144779,3,above,4404
8,sum,leg_40k,40000,0.4998232424259186,0.017702540382742882,0.003799186088144779,3,above,4404
8,sum,leg_100k,60000,0.5000442266464233,0.0193106047809124,0.003799186088144779,0,below,
8,sum,leg_100k,80000,0.5001634359359741,0.017472850158810616,0.003799186088144779,0,below,
8,sum,leg_100k,100000,0.4999743103981018,0.017736846581101418,0.0035278156865388155,0,below,
8,sum,leg_200k,120000,0.5000236630439758,0.01827790029346943,0.003799186088144779,0,below,
8,sum,leg_200k,140000,0.5000792145729065,0.018286246806383133,0.003799186088144779,0,below,
8,sum,leg_200k,160000,0.5000894665718079,0.0185922272503376,0.003799186088144779,0,below,
8,sum,leg_200k,180000,0.5002919435501099,0.018692465499043465,0.003799186088144779,0,below,
8,sum,leg_200k,200000,0.49972042441368103,0.01883300393819809,0.003799186088144779,0,below,
16,sum,leg_40k,20000,0.5005633234977722,0.017162911593914032,0.003799186088144779,1,above,347
16,sum,leg_40k,40000,0.500195324420929,0.017502058297395706,0.003799186088144779,1,above,347
16,sum,leg_100k,60000,0.5006610155105591,0.016914771869778633,0.003799186088144779,0,below,
16,sum,leg_100k,80000,0.4998972415924072,0.016939695924520493,0.003799186088144779,0,below,
16,sum,leg_100k,100000,0.49993422627449036,0.01690750941634178,0.003799186088144779,0,below,
16,sum,leg_200k,120000,0.5000730156898499,0.017046581953763962,0.003799186088144779,0,below,
16,sum,leg_200k,140000,0.5001778602600098,0.01774292066693306,0.003799186088144779,0,below,
16,sum,leg_200k,160000,0.5000812411308289,0.017089590430259705,0.003799186088144779,0,below,
16,sum,leg_200k,180000,0.5001182556152344,0.01722479611635208,0.003799186088144779,0,below,
16,sum,leg_200k,200000,0.499965101480484,0.01744668185710907,0.003799186088144779,0,below,
32,sum,leg_40k,20000,0.499907523393631,0.01700523868203163,0.003799186088144779,5,above,1343
32,sum,leg_40k,40000,0.4999640882015228,0.016844846308231354,0.003799186088144779,5,above,1343
32,sum,leg_100k,60000,0.5001161694526672,0.016947884112596512,0.003799186088144779,0,below,
32,sum,leg_100k,80000,0.5002385377883911,0.01685882918536663,0.003799186088144779,0,below,
32,sum,leg_100k,100000,0.5002375245094299,0.016992628574371338,0.003799186088144779,0,below,
32,sum,leg_200k,120000,0.5003073811531067,0.0168558768928051,0.003799186088144779,0,below,
32,sum,leg_200k,140000,0.500075101852417,0.017053652554750443,0.003799186088144779,0,below,
8,mean,leg_20k,20000,0.9882498979568481,0.1977236419916153,0.47218453884124756,0,above,
8,mean,leg_40k,40000,0.9982494711875916,0.1538468897342682,0.8681139945983887,0,above,
8,mean,leg_100k,60000,0.9965143799781799,0.16803421080112457,0.7826323509216309,0,above,
8,mean,leg_100k,80000,0.9978156685829163,0.17543813586235046,0.8561736941337585,0,above,
8,mean,leg_100k,100000,0.9975833892822266,0.17625528573989868,0.8219810128211975,0,above,
8,mean,leg_200k,120000,0.9976389408111572,0.1762998104095459,0.8249661326408386,0,above,
8,mean,leg_200k,140000,0.997684121131897,0.17575913667678833,0.8260515928268433,0,above,
8,mean,leg_200k,160000,0.997860848903656,0.17534272372722626,0.8260515928268433,0,above,
8,mean,leg_200k,180000,0.9979247450828552,0.1747869849205017,0.8360922932624817,0,above,
8,mean,leg_200k,200000,0.9979555010795593,0.17384065687656403,0.8374491333961487,0,above,
32,mean,leg_20k,20000,0.9477817416191101,0.2398206889629364,0.21248304843902588,0,above,
32,mean,leg_40k,40000,0.9641112685203552,0.3012710511684418,0.29552239179611206,0,above,
32,mean,leg_100k,60000,0.9652111530303955,0.34279289841651917,0.29823610186576843,0,above,
32,mean,leg_100k,80000,0.9661979675292969,0.34069716930389404,0.30637720227241516,0,above,
32,mean,leg_100k,100000,0.9648956060409546,0.34046271443367004,0.29687926173210144,0,above,
32,mean,leg_200k,120000,0.961981475353241,0.3398929238319397,0.2811397612094879,0,above,
32,mean,leg_200k,140000,0.959291398525238,0.33300939202308655,0.26567164063453674,0,above,
32,mean,leg_200k,160000,0.9625108242034912,0.33850082755088806,0.28412485122680664,0,above,
32,mean,leg_200k,180000,0.9616155624389648,0.339979350566864,0.287109911441803,0,above,
32,mean,leg_200k,200000,0.9618549942970276,0.3393300175666809,0.28548169136047363,0,above,
