config,domain,mase_373_A4_k3_bb40k,mase_401_k8_bb40k,mase_401_k16_bb40k,mase_401_k8_bb100k,ratio_k8_bb40k,ratio_k16_bb40k,ratio_k8_bb100k
bitbrains_fast_storage/5T/long,Web/CloudOps,1.2545,4.8218,2.8937,29.3698,3.844,2.307,23.412
bitbrains_fast_storage/5T/medium,Web/CloudOps,1.3000,4.0318,3.6726,28.0029,3.101,2.825,21.541
bitbrains_fast_storage/5T/short,Web/CloudOps,0.9810,1.3762,10.2384,8.8902,1.403,10.436,9.062
bitbrains_fast_storage/H/short,Web/CloudOps,1.2980,1.7800,9.8871,8.6314,1.371,7.617,6.650
bitbrains_rnd/5T/long,Web/CloudOps,3.8929,8.6277,6.1222,40.9987,2.216,1.573,10.532
bitbrains_rnd/5T/medium,Web/CloudOps,4.8923,7.9054,7.5416,34.3368,1.616,1.542,7.019
bitbrains_rnd/5T/short,Web/CloudOps,2.0957,2.6148,12.4402,10.9493,1.248,5.936,5.225
bitbrains_rnd/H/short,Web/CloudOps,6.2869,7.0576,17.8567,16.0865,1.123,2.840,2.559
bizitobs_application/10S/long,Web/CloudOps,8.3869,24.6620,13.9216,152.3279,2.941,1.660,18.163
bizitobs_application/10S/medium,Web/CloudOps,8.1164,22.2944,16.8828,150.3678,2.747,2.080,18.527
bizitobs_application/10S/short,Web/CloudOps,4.9705,9.9815,36.3540,40.8426,2.008,7.314,8.217
bizitobs_l2c/5T/long,Web/CloudOps,1.2597,1.3615,1.4057,4.4927,1.081,1.116,3.566
bizitobs_l2c/5T/medium,Web/CloudOps,0.9490,1.1378,1.1486,5.2469,1.199,1.210,5.529
bizitobs_l2c/5T/short,Web/CloudOps,0.3392,0.5476,1.8698,1.6232,1.615,5.513,4.786
bizitobs_l2c/H/long,Web/CloudOps,1.1592,2.6361,1.7607,17.0541,2.274,1.519,14.712
bizitobs_l2c/H/medium,Web/CloudOps,1.2339,2.6728,2.5078,20.5788,2.166,2.032,16.678
bizitobs_l2c/H/short,Web/CloudOps,0.8984,1.2100,4.6036,3.9316,1.347,5.124,4.376
bizitobs_service/10S/long,Web/CloudOps,4.4080,14.2777,7.1265,85.2327,3.239,1.617,19.336
bizitobs_service/10S/medium,Web/CloudOps,4.7624,12.1207,8.8196,81.9556,2.545,1.852,17.209
bizitobs_service/10S/short,Web/CloudOps,2.6614,5.2028,19.7792,22.1709,1.955,7.432,8.331
car_parts/M/short,Sales,0.9924,1.2295,7.2237,2.1634,1.239,7.279,2.180
covid_deaths/D/short,Healthcare,58.6067,115.1158,217.1113,116.2123,1.964,3.705,1.983
electricity/15T/long,Energy,2.8576,7.6134,4.5444,49.3156,2.664,1.590,17.258
electricity/15T/medium,Energy,2.6475,5.8360,5.2908,41.7407,2.204,1.998,15.766
electricity/15T/short,Energy,2.2593,3.0894,12.9605,11.3352,1.367,5.736,5.017
electricity/D/short,Energy,1.8574,2.3825,11.5056,6.3263,1.283,6.195,3.406
electricity/H/long,Energy,2.2922,9.5696,5.6620,61.2247,4.175,2.470,26.710
electricity/H/medium,Energy,1.8642,7.1501,6.4308,53.4226,3.836,3.450,28.658
electricity/H/short,Energy,1.3503,3.0909,15.2017,13.2660,2.289,11.258,9.825
electricity/W/short,Energy,1.9852,2.8153,19.7144,3.7707,1.418,9.931,1.899
ett1/15T/long,Energy,1.7101,4.3581,2.6592,29.0822,2.548,1.555,17.006
ett1/15T/medium,Energy,1.6793,3.0940,2.7881,24.5305,1.842,1.660,14.607
ett1/15T/short,Energy,1.3366,1.7475,7.1145,6.1973,1.307,5.323,4.636
ett1/D/short,Energy,1.6044,1.9346,9.1469,4.6693,1.206,5.701,2.910
ett1/H/long,Energy,1.5847,4.9624,2.9225,33.3766,3.131,1.844,21.062
ett1/H/medium,Energy,1.5044,4.1975,3.8006,32.0805,2.790,2.526,21.324
ett1/H/short,Energy,0.9251,1.5689,7.7190,6.5994,1.696,8.344,7.134
ett1/W/short,Energy,1.4603,1.7332,16.6586,3.3149,1.187,11.408,2.270
ett2/15T/long,Energy,1.0778,2.2610,1.5011,15.2036,2.098,1.393,14.106
ett2/15T/medium,Energy,1.0860,1.9709,1.8646,15.0018,1.815,1.717,13.814
ett2/15T/short,Energy,1.0038,1.1182,4.4740,3.9160,1.114,4.457,3.901
ett2/D/short,Energy,1.5982,2.7012,15.9787,7.9770,1.690,9.998,4.991
ett2/H/long,Energy,1.1738,2.5483,1.7359,17.7160,2.171,1.479,15.093
ett2/H/medium,Energy,1.1450,2.3712,2.2591,18.4865,2.071,1.973,16.145
ett2/H/short,Energy,0.8043,1.0715,4.9472,4.2138,1.332,6.151,5.239
ett2/W/short,Energy,1.0302,2.1999,24.3808,4.7990,2.135,23.666,4.658
hierarchical_sales/D/short,Sales,0.7653,0.8594,5.8838,3.1949,1.123,7.688,4.174
hierarchical_sales/W/short,Sales,0.7950,0.8740,8.3438,1.8608,1.099,10.496,2.341
hospital/M/short,Healthcare,0.8218,1.0781,5.8178,1.2926,1.312,7.080,1.573
jena_weather/10T/long,Nature,0.7720,1.5817,1.0996,8.8865,2.049,1.424,11.511
jena_weather/10T/medium,Nature,0.7264,1.3226,1.2301,8.5271,1.821,1.693,11.739
jena_weather/10T/short,Nature,0.3857,0.6082,2.7566,2.3834,1.577,7.147,6.179
jena_weather/D/short,Nature,1.5153,2.3188,11.9941,6.6246,1.530,7.915,4.372
jena_weather/H/long,Nature,1.1540,2.6582,1.8560,14.5781,2.303,1.608,12.633
jena_weather/H/medium,Nature,0.8398,2.0782,1.8675,13.4780,2.475,2.224,16.049
jena_weather/H/short,Nature,0.5667,0.7864,3.8308,3.3661,1.388,6.760,5.940
kdd_cup_2018/D/short,Nature,1.1457,1.1605,5.9472,3.1578,1.013,5.191,2.756
kdd_cup_2018/H/long,Nature,1.0348,2.5866,1.6860,17.2633,2.500,1.629,16.683
kdd_cup_2018/H/medium,Nature,1.0523,2.5626,2.2963,17.5478,2.435,2.182,16.675
kdd_cup_2018/H/short,Nature,0.9922,1.1999,5.4312,4.7318,1.209,5.474,4.769
loop_seattle/5T/long,Transport,1.4327,3.2103,1.9157,20.8269,2.241,1.337,14.537
loop_seattle/5T/medium,Transport,1.5242,2.5430,2.3086,19.2809,1.668,1.515,12.650
loop_seattle/5T/short,Transport,0.7388,0.9756,4.6655,3.9545,1.321,6.315,5.353
loop_seattle/D/short,Transport,1.2683,1.2324,6.3104,3.2955,0.972,4.976,2.598
loop_seattle/H/long,Transport,1.5195,5.1693,2.8684,34.2253,3.402,1.888,22.524
loop_seattle/H/medium,Transport,1.4001,3.9537,3.3160,34.7104,2.824,2.368,24.791
loop_seattle/H/short,Transport,1.2061,1.5463,8.9561,7.4019,1.282,7.426,6.137
m4_daily/D/short,Econ/Fin,3.7991,8.8341,43.9584,8.3691,2.325,11.571,2.203
m4_hourly/H/short,Econ/Fin,2.0874,10.2617,47.6796,44.1815,4.916,22.842,21.166
m4_monthly/M/short,Econ/Fin,1.2158,2.5991,10.9408,3.1008,2.138,8.999,2.550
m4_quarterly/Q/short,Econ/Fin,1.5748,6.3345,19.7272,2.6741,4.022,12.527,1.698
m4_weekly/W/short,Econ/Fin,3.1805,10.5822,51.4098,8.4392,3.327,16.164,2.653
m4_yearly/A/short,Econ/Fin,4.6947,17.2893,22.5790,7.2263,3.683,4.809,1.539
m_dense/D/short,Transport,1.2083,1.2670,6.5673,3.4448,1.049,5.435,2.851
m_dense/H/long,Transport,1.7312,6.9471,4.0903,45.3091,4.013,2.363,26.172
m_dense/H/medium,Transport,1.4371,5.3658,4.7835,40.4931,3.734,3.329,28.177
m_dense/H/short,Transport,1.3295,2.4041,11.8364,10.5085,1.808,8.903,7.904
restaurant/D/short,Sales,0.8273,0.8376,4.7966,2.5832,1.012,5.798,3.122
saugeen/D/short,Nature,3.9373,5.5031,37.0640,20.8670,1.398,9.414,5.300
saugeen/M/short,Nature,0.9295,1.1807,8.7006,2.1165,1.270,9.361,2.277
saugeen/W/short,Nature,1.5187,1.8847,19.7415,4.5060,1.241,12.999,2.967
solar/10T/long,Energy,2.8924,7.4067,4.6187,47.6016,2.561,1.597,16.457
solar/10T/medium,Energy,3.0876,6.5377,6.0372,44.1109,2.117,1.955,14.286
solar/10T/short,Energy,1.5731,2.7140,10.2730,9.1891,1.725,6.530,5.841
solar/D/short,Energy,0.9888,1.0337,6.4581,3.4599,1.045,6.531,3.499
solar/H/long,Energy,1.8173,9.0344,5.3222,58.4086,4.971,2.929,32.140
solar/H/medium,Energy,1.5921,7.8640,6.9862,57.6151,4.939,4.388,36.188
solar/H/short,Energy,1.3033,3.0237,15.4153,14.2438,2.320,11.828,10.929
solar/W/short,Energy,1.3517,0.8586,12.9261,3.2859,0.635,9.563,2.431
sz_taxi/15T/long,Transport,0.5504,1.7505,1.0400,11.2945,3.181,1.890,20.521
sz_taxi/15T/medium,Transport,0.5752,1.3248,1.1952,9.6188,2.303,2.078,16.723
sz_taxi/15T/short,Transport,0.5899,0.6187,3.1561,2.7550,1.049,5.350,4.670
sz_taxi/H/short,Transport,0.5998,0.6694,3.3043,2.8698,1.116,5.509,4.785
temperature_rain/D/short,Nature,1.5263,1.9034,13.5711,7.6276,1.247,8.892,4.998
us_births/D/short,Healthcare,1.5243,1.5949,8.0910,4.1856,1.046,5.308,2.746
us_births/M/short,Healthcare,1.3097,2.4443,11.0283,1.7029,1.866,8.421,1.300
us_births/W/short,Healthcare,1.4747,2.3045,15.7837,3.5045,1.563,10.703,2.377
