label,k,stop_k,step_k,readout_r,top_dir_share,n_series,n_times,H,checkpoint
393 parent  k=0  bb40k,0,40,40,0.10951758173872876,0.14038809419431503,21,256,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_40k.pth
379 B5pub   k=0  bb40k,0,40,40,0.209270226842662,0.10670103518960071,21,256,64,/home/jupyter/checkpoints_backup/cf-379/runs/bb_small_arm4_combab_xshh_allt_moco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_40k.pth
401 arm     k=8  bb40k,8,40,40,0.5423115083581147,0.9920633973243543,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_40k.pth
401 arm     k=8  bb100k,8,100,100,0.42709080272778877,0.9998546702741561,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_100k.pth
401 arm     k=16 bb40k,16,40,40,0.29046982654934217,0.9873778303261654,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k16_40k.pth
k=0  step  20k,0,40,20,0.44117900268941246,0.14557596411013773,21,256,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_20k.pth
k=0  step  60k,0,100,60,0.27151626489844183,0.1513975894476538,21,256,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_60k.pth
k=0  step  80k,0,100,80,0.17766103191517624,0.14396678883921407,21,256,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_80k.pth
k=0  step 100k,0,100,100,0.14531008303086534,0.13854305562631017,21,256,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_100k.pth
k=8  step  20k,8,40,20,0.13211668052846343,0.9981436699081735,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_20k.pth
k=8  step  60k,8,100,60,0.22363095306823158,0.9998662989056226,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_60k.pth
k=8  step  80k,8,100,80,0.42654818338119194,0.9992813407519113,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_80k.pth
k=8  step 120k,8,200,120,0.7154275733129518,0.9997251511680725,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_120k.pth
k=8  step 140k,8,200,140,0.27367283452950175,0.9995228310092447,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_140k.pth
k=8  step 160k,8,200,160,0.2401498352680602,0.9996511890067451,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_160k.pth
k=8  step 180k,8,200,180,0.5644013682551021,0.6996658479673863,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_180k.pth
k=8  step 200k,8,200,200,0.6852726332077707,0.9967152026503537,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_200k.pth
k=16 step  20k,16,40,20,0.39078861828485706,0.8092749291342688,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k16_20k.pth
k=16 step  60k,16,100,60,0.6056301369774748,0.9989202120546666,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k16_60k.pth
k=16 step  80k,16,100,80,0.4066069040290976,0.9397314781437902,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k16_80k.pth
k=16 step 100k,16,100,100,0.42306158951154815,0.5493338849139737,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k16_100k.pth
k=16 step 120k,16,200,120,0.2540785340825994,0.9798896951214544,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k16_120k.pth
k=16 step 140k,16,200,140,0.4053798568396319,0.9894393655503656,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k16_140k.pth
k=16 step 160k,16,200,160,0.26134659522066694,0.9734724722356812,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k16_160k.pth
k=16 step 180k,16,200,180,0.667418772716554,0.9989882373672774,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k16_180k.pth
k=16 step 200k,16,200,200,0.6052342619671687,0.9992339399983593,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k16_200k.pth
k=32 step  20k,32,40,20,0.14941345790260321,0.6434877624004545,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k32_20k.pth
k=32 step  40k,32,40,40,0.45402565987832866,0.8870047108324454,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k32_40k.pth
k=32 step  60k,32,100,60,0.707941289755421,0.8992901269025941,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_60k.pth
k=32 step  80k,32,100,80,0.6078940239978352,0.9948557130670601,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_80k.pth
k=32 step 100k,32,100,100,0.7050766040257298,0.783076385295413,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k32_100k.pth
k=32 step 120k,32,200,120,0.580477421147239,0.9981129754608217,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_120k.pth
k=32 step 140k,32,200,140,0.610118693454538,0.9447335397636231,21,256,64,/home/jupyter/checkpoints_backup/cf-401/k32/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k32_140k.pth
