phase,k,variant,stop,head_steps,encoder,sum,mean,delta,ratio,better
1,8,base,40000,30000,student,2.0357,1.2433,-0.7924,0.6107,mean
1,8,base,100000,30000,student,7.9344,1.2857,-6.6487,0.1620,mean
1,8,base,200000,30000,student,2.4755,1.2898,-1.1857,0.5210,mean
1,16,base,40000,30000,student,4.5297,,,,
1,16,base,100000,30000,student,12.4827,,,,
1,16,base,200000,30000,student,2.9331,,,,
1,32,base,40000,30000,student,7.9575,1.2082,-6.7493,0.1518,mean
1,32,ema30k,40000,30000,student,,1.2385,,,
1,32,base,100000,30000,student,1.7939,1.1803,-0.6136,0.6580,mean
1,32,base,200000,30000,student,,1.1637,,,
1,32,base,200000,30000,student_s20260723,,1.1676,,,
1,32,base,200000,30000,student_s20260724,,1.1576,,,
1,0,parent,100000,30000,student,,1.1945,,,
2,8,base,40000,40000,student,,1.2543,,,
2,8,base,100000,100000,student,,1.3270,,,
2,32,base,40000,40000,student,,1.2093,,,
