stop,split,name,n,gm_rel_mase
k16_bb100k_h30k_student,all,all,97,12.482668
k16_bb100k_h30k_student,term,short,55,21.259612
k16_bb100k_h30k_student,term,medium,21,7.046929
k16_bb100k_h30k_student,term,long,21,5.482335
k16_bb100k_h30k_student,term,medium_long,42,6.215595
k16_bb100k_h30k_student,domain,Econ/Fin,6,42.872875
k16_bb100k_h30k_student,domain,Energy,32,14.335560
k16_bb100k_h30k_student,domain,Healthcare,5,21.976482
k16_bb100k_h30k_student,domain,Nature,15,9.642551
k16_bb100k_h30k_student,domain,Sales,4,16.487779
k16_bb100k_h30k_student,domain,Transport,15,9.079002
k16_bb100k_h30k_student,domain,Web/CloudOps,20,8.741343
k16_bb200k_h30k_student,all,all,97,2.933088
k16_bb200k_h30k_student,term,short,55,1.448709
k16_bb200k_h30k_student,term,medium,21,6.379943
k16_bb200k_h30k_student,term,long,21,8.553876
k16_bb200k_h30k_student,term,medium_long,42,7.387371
k16_bb200k_h30k_student,domain,Econ/Fin,6,3.918327
k16_bb200k_h30k_student,domain,Energy,32,3.843832
k16_bb200k_h30k_student,domain,Healthcare,5,1.687502
k16_bb200k_h30k_student,domain,Nature,15,1.777313
k16_bb200k_h30k_student,domain,Sales,4,0.843043
k16_bb200k_h30k_student,domain,Transport,15,2.889978
k16_bb200k_h30k_student,domain,Web/CloudOps,20,3.784415
k16_bb40k_h30k_student,all,all,97,4.529657
k16_bb40k_h30k_student,term,short,55,7.325102
k16_bb40k_h30k_student,term,medium,21,2.655997
k16_bb40k_h30k_student,term,long,21,2.193720
k16_bb40k_h30k_student,term,medium_long,42,2.413817
k16_bb40k_h30k_student,domain,Econ/Fin,6,13.494211
k16_bb40k_h30k_student,domain,Energy,32,5.146872
k16_bb40k_h30k_student,domain,Healthcare,5,7.141681
k16_bb40k_h30k_student,domain,Nature,15,3.621673
k16_bb40k_h30k_student,domain,Sales,4,5.897683
k16_bb40k_h30k_student,domain,Transport,15,3.106418
k16_bb40k_h30k_student,domain,Web/CloudOps,20,3.535410
k32_bb100k_h30k_student,all,all,97,1.793923
k32_bb100k_h30k_student,term,short,55,1.837518
k32_bb100k_h30k_student,term,medium,21,1.795432
k32_bb100k_h30k_student,term,long,21,1.683170
k32_bb100k_h30k_student,term,medium_long,42,1.738395
k32_bb100k_h30k_student,domain,Econ/Fin,6,3.583075
k32_bb100k_h30k_student,domain,Energy,32,2.032643
k32_bb100k_h30k_student,domain,Healthcare,5,2.115845
k32_bb100k_h30k_student,domain,Nature,15,1.241936
k32_bb100k_h30k_student,domain,Sales,4,1.181000
k32_bb100k_h30k_student,domain,Transport,15,1.472235
k32_bb100k_h30k_student,domain,Web/CloudOps,20,1.902813
k32_bb40k_h30k_student,all,all,97,7.957531
k32_bb40k_h30k_student,term,short,55,18.001284
k32_bb40k_h30k_student,term,medium,21,3.089344
k32_bb40k_h30k_student,term,long,21,2.416419
k32_bb40k_h30k_student,term,medium_long,42,2.732242
k32_bb40k_h30k_student,domain,Econ/Fin,6,44.890017
k32_bb40k_h30k_student,domain,Energy,32,8.425719
k32_bb40k_h30k_student,domain,Healthcare,5,22.618980
k32_bb40k_h30k_student,domain,Nature,15,6.199446
k32_bb40k_h30k_student,domain,Sales,4,15.377891
k32_bb40k_h30k_student,domain,Transport,15,5.038272
k32_bb40k_h30k_student,domain,Web/CloudOps,20,4.956617
k8_bb100k_h30k_student,all,all,97,7.934362
k8_bb100k_h30k_student,term,short,55,3.789781
k8_bb100k_h30k_student,term,medium,21,20.583982
k8_bb100k_h30k_student,term,long,21,21.180762
k8_bb100k_h30k_student,term,medium_long,42,20.880240
k8_bb100k_h30k_student,domain,Econ/Fin,6,3.592566
k8_bb100k_h30k_student,domain,Energy,32,11.538418
k8_bb100k_h30k_student,domain,Healthcare,5,2.082703
k8_bb100k_h30k_student,domain,Nature,15,5.676973
k8_bb100k_h30k_student,domain,Sales,4,2.204771
k8_bb100k_h30k_student,domain,Transport,15,9.209049
k8_bb100k_h30k_student,domain,Web/CloudOps,20,11.468313
k8_bb200k_h30k_student,all,all,97,2.475484
k8_bb200k_h30k_student,term,short,55,1.452716
k8_bb200k_h30k_student,term,medium,21,4.632749
k8_bb200k_h30k_student,term,long,21,5.342410
k8_bb200k_h30k_student,term,medium_long,42,4.974942
k8_bb200k_h30k_student,domain,Econ/Fin,6,3.933756
k8_bb200k_h30k_student,domain,Energy,32,3.147817
k8_bb200k_h30k_student,domain,Healthcare,5,1.690633
k8_bb200k_h30k_student,domain,Nature,15,1.516582
k8_bb200k_h30k_student,domain,Sales,4,0.843086
k8_bb200k_h30k_student,domain,Transport,15,2.337667
k8_bb200k_h30k_student,domain,Web/CloudOps,20,3.016971
k8_bb40k_h30k_student,all,all,97,2.035691
k8_bb40k_h30k_student,term,short,55,1.438629
k8_bb40k_h30k_student,term,medium,21,2.960534
k8_bb40k_h30k_student,term,long,21,3.474637
k8_bb40k_h30k_student,term,medium_long,42,3.207301
k8_bb40k_h30k_student,domain,Econ/Fin,6,3.826648
k8_bb40k_h30k_student,domain,Energy,32,2.477533
k8_bb40k_h30k_student,domain,Healthcare,5,1.633879
k8_bb40k_h30k_student,domain,Nature,15,1.362874
k8_bb40k_h30k_student,domain,Sales,4,0.861227
k8_bb40k_h30k_student,domain,Transport,15,1.730713
k8_bb40k_h30k_student,domain,Web/CloudOps,20,2.355793
