step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3,cos_err_d4,cos_err_d5,cos_err_d6,cos_err_d7,cos_err_d8,cos_err_d9,cos_err_d10,cos_err_d11,cos_err_d12,cos_err_d13,cos_err_d14,cos_err_d15,cos_err_d16,cos_err_d17,cos_err_d18,cos_err_d19,cos_err_d20,cos_err_d21,cos_err_d22,cos_err_d23,cos_err_d24,cos_err_d25,cos_err_d26,cos_err_d27,cos_err_d28,cos_err_d29,cos_err_d30,cos_err_d31,cos_err_d32
1,14.273473739624023,20.18562889099121,-0.39251360297203064,2.5466037138956494,0.35369572043418884,0.7462093234062195,0.46994832158088684,0.1690085083246231,64,0,0,0.16703885793685913,-0.2271960973739624,0.10422369092702866,0.1324819028377533,0.7652862071990967,0.05617367848753929,0.13351425528526306,,0.06040317565202713,0.32119467854499817,0.03724481537938118,0.04052240774035454,0.14262208342552185,0.04088157042860985,0.900001,0.6463042497634888,0.7712135314941406,0.828632652759552,0.8688634634017944,0.8911898136138916,0.9067248702049255,0.9216349124908447,0.9313481450080872,0.9336866736412048,0.9410582780838013,0.9454505443572998,0.9467293620109558,0.9519203901290894,0.9540650844573975,0.9549341201782227,0.957726240158081,0.9603983163833618,0.9610943794250488,0.9630958437919617,0.9639937281608582,0.9629160165786743,0.9653039574623108,0.9662849307060242,0.966600775718689,0.9676679968833923,0.9683787226676941,0.9679241180419922,0.9691875576972961,0.9701184034347534,0.9698995351791382,0.9711079001426697,0.9716934561729431,0.9714489579200745
2,13.869218826293945,18.495637893676758,-0.4268050491809845,2.716294127051201,0.3245166838169098,0.7513217329978943,0.39133766293525696,0.0862002968788147,128,0,0,0.2798614501953125,-0.11160743236541748,0.1398450881242752,0.20082974433898926,0.8189518451690674,0.07896879315376282,0.16282226145267487,,0.050582680851221085,0.2551153898239136,0.041916802525520325,0.03975410386919975,0.21601887047290802,0.040228359401226044,0.900002,0.675483226776123,0.769402027130127,0.8025753498077393,0.8282276391983032,0.8393736481666565,0.8449029326438904,0.8522405624389648,0.8565524220466614,0.858333945274353,0.863197386264801,0.8668338656425476,0.8664106726646423,0.8688457012176514,0.8704557418823242,0.8710281252861023,0.8727673888206482,0.8736867904663086,0.8736745715141296,0.8765149116516113,0.8797264695167542,0.8795632123947144,0.8817313313484192,0.8847557306289673,0.8856348991394043,0.8873798847198486,0.888755202293396,0.8892619609832764,0.8909849524497986,0.8925181031227112,0.893252968788147,0.8937821388244629,0.8955703377723694,0.895854115486145
3,13.59949016571045,19.06744956970215,-0.3721151649951935,2.5063371510579735,0.38085171580314636,0.7529668807983398,0.4432793855667114,0.0992460772395134,192,0,0,0.29761946201324463,-0.11459505558013916,0.12074694782495499,0.17076006531715393,0.8430729508399963,0.08168250322341919,0.18968793749809265,,0.050953224301338196,0.2443024218082428,0.03550106659531593,0.03663209453225136,0.18746019899845123,0.03693945333361626,0.900003,0.6191482543945312,0.7277563810348511,0.7586472034454346,0.7896823883056641,0.8007295727729797,0.8057897686958313,0.819217324256897,0.824964702129364,0.8269062638282776,0.8340518474578857,0.8381222486495972,0.8380919098854065,0.8438602089881897,0.8473381996154785,0.8471921682357788,0.8511282205581665,0.8520733714103699,0.8519915342330933,0.8554908037185669,0.8569374084472656,0.8563622832298279,0.8598190546035767,0.8596698045730591,0.8591969013214111,0.8625407814979553,0.864090621471405,0.8640488982200623,0.8659143447875977,0.8657152056694031,0.8654904365539551,0.8666936755180359,0.8669250011444092,0.86679607629776
4,13.492661476135254,18.18551254272461,-0.4171870946884155,2.649510595842168,0.3298972249031067,0.7470843195915222,0.35909175872802734,0.08498095721006393,256,0,0,0.3009621500968933,-0.046378493309020996,0.15144142508506775,0.21557411551475525,0.8224466443061829,0.06512890011072159,0.14843963086605072,,0.047873370349407196,0.22840996086597443,0.04115845635533333,0.039831794798374176,0.23474623262882233,0.04024403169751167,0.900004,0.6701027750968933,0.7483187317848206,0.7686432003974915,0.7922080159187317,0.8037030100822449,0.8102579116821289,0.8204145431518555,0.825671911239624,0.8270664215087891,0.8329126238822937,0.8367711305618286,0.8376983404159546,0.8412362933158875,0.8430984616279602,0.8445071578025818,0.8478784561157227,0.8491198420524597,0.8497834205627441,0.8523908853530884,0.8535589575767517,0.8524969816207886,0.8560278415679932,0.8577633500099182,0.8574832677841187,0.8592568635940552,0.8603366017341614,0.860227644443512,0.861994743347168,0.861897885799408,0.8622071146965027,0.8626425266265869,0.8629374504089355,0.8624065518379211
5,13.409368515014648,18.83477210998535,-0.3732547461986542,2.465816671313049,0.37210580706596375,0.7453605532646179,0.41562503576278687,0.08597345650196075,320,0,0,0.2814517021179199,-0.07593369483947754,0.14474643766880035,0.21391180157661438,0.8435447812080383,0.0930800586938858,0.18507462739944458,,0.051396049559116364,0.21669542789459229,0.04138585925102234,0.04406017065048218,0.23052985966205597,0.04422518610954285,0.900005,0.6278941631317139,0.7108400464057922,0.7459231019020081,0.7688567042350769,0.7840058207511902,0.7932223677635193,0.8016552329063416,0.8077748417854309,0.8135132789611816,0.8181971311569214,0.8217681646347046,0.8247842192649841,0.8275561928749084,0.8301335573196411,0.8321012854576111,0.8341062664985657,0.8355494141578674,0.8374834656715393,0.8392472267150879,0.8402451872825623,0.8411638736724854,0.8423213362693787,0.8433384299278259,0.8440960645675659,0.8448795676231384,0.8460007905960083,0.8464747667312622,0.8468483090400696,0.8469635844230652,0.8478443622589111,0.8477516174316406,0.8485797643661499,0.8484859466552734
6,13.412294387817383,18.234580993652344,-0.3881608545780182,2.462186510742221,0.3463731110095978,0.734533965587616,0.38521793484687805,0.06556582450866699,384,0,1,0.2899014353752136,-0.06590449810028076,0.13600659370422363,0.20665590465068817,0.8502960205078125,0.06702849268913269,0.1511533260345459,,0.04248865693807602,0.21657021343708038,0.04542985185980797,0.04568776488304138,0.22564147412776947,0.04610820487141609,0.900006,0.6536268591880798,0.7266938090324402,0.750701904296875,0.7834944128990173,0.7975147366523743,0.8025428056716919,0.8174854516983032,0.8234895467758179,0.8248546719551086,0.832671046257019,0.8372634649276733,0.8382803201675415,0.844573974609375,0.8461771011352539,0.8459303379058838,0.8512226939201355,0.853356659412384,0.8531427383422852,0.8572937846183777,0.8594995737075806,0.8597309589385986,0.8636700510978699,0.8645175695419312,0.8644047379493713,0.8676925897598267,0.8688104152679443,0.8691073060035706,0.8716484308242798,0.872515082359314,0.8721551299095154,0.87322598695755,0.8735918402671814,0.8730202317237854
7,13.336333274841309,18.218557357788086,-0.3907662630081177,2.5083723561661673,0.3501688838005066,0.7409351468086243,0.3707751929759979,0.06888782978057861,448,0,1,0.2859020233154297,-0.03383529186248779,0.1508316993713379,0.2299007922410965,0.8377030491828918,0.08005427569150925,0.17042063176631927,,0.047448042780160904,0.197808176279068,0.048160601407289505,0.044936731457710266,0.2466072142124176,0.0452282540500164,0.900007,0.6498310565948486,0.7222846746444702,0.7457918524742126,0.7772653102874756,0.7898564338684082,0.7964155077934265,0.8105599284172058,0.816177248954773,0.8180242776870728,0.8258529901504517,0.8294619917869568,0.8299474716186523,0.8351765871047974,0.8375111818313599,0.8377629518508911,0.8422667384147644,0.8437354564666748,0.8439998626708984,0.8469191193580627,0.8487414717674255,0.848983645439148,0.8516833186149597,0.8528185486793518,0.85310959815979,0.8552152514457703,0.8560197353363037,0.8555139303207397,0.8583834767341614,0.8587563037872314,0.8592617511749268,0.8607889413833618,0.8609561920166016,0.8608987331390381
8,13.433542251586914,18.355180740356445,-0.37881773710250854,2.4348849022866017,0.35717660188674927,0.7359943389892578,0.37398508191108704,0.07372964173555374,512,0,1,0.3201044201850891,-0.027846336364746094,0.14012379944324493,0.2210063487291336,0.8445603251457214,0.06892809271812439,0.1568521112203598,,0.03985954076051712,0.2002834975719452,0.047236889600753784,0.0490449033677578,0.24171268939971924,0.04993391036987305,0.900008,0.642823338508606,0.7155269980430603,0.728992223739624,0.7729319930076599,0.791381299495697,0.7924279570579529,0.812347948551178,0.8206892609596252,0.8208526372909546,0.834396243095398,0.8400238752365112,0.8400492072105408,0.8487859964370728,0.8528677225112915,0.8518407344818115,0.8586360216140747,0.8610662817955017,0.8600019216537476,0.8660253286361694,0.8676040172576904,0.8654486536979675,0.8708218932151794,0.87275230884552,0.8722454309463501,0.877169668674469,0.8783156871795654,0.8773565292358398,0.882350742816925,0.8834447264671326,0.8828474879264832,0.8852683305740356,0.8867419362068176,0.885370671749115
9,13.31373119354248,17.952741622924805,-0.3689236342906952,2.3871636002851644,0.3651209771633148,0.73404461145401,0.3764612376689911,0.04190383851528168,576,0,0,0.3270462155342102,-0.018639564514160156,0.15438827872276306,0.2426135092973709,0.8684983849525452,0.10284939408302307,0.19782903790473938,,0.03785150870680809,0.18183566629886627,0.057901471853256226,0.054260917007923126,0.25870034098625183,0.05424494668841362,0.9000090000000001,0.6348790526390076,0.6963378190994263,0.719871997833252,0.7430733442306519,0.7568297386169434,0.7659687399864197,0.777099072933197,0.7838315963745117,0.7888962626457214,0.7962578535079956,0.8015086054801941,0.8043426871299744,0.8083491921424866,0.8112667202949524,0.8134709000587463,0.8174461126327515,0.8202086091041565,0.8216887712478638,0.8250479698181152,0.82709801197052,0.8284509181976318,0.8311171531677246,0.8322277069091797,0.8335860967636108,0.8354423642158508,0.8367138504981995,0.8366599678993225,0.8382516503334045,0.8395277857780457,0.8407642841339111,0.8424166440963745,0.8436862230300903,0.8450508117675781
10,13.262073516845703,18.147838592529297,-0.34699565172195435,2.2803795994231537,0.381994366645813,0.7289900183677673,0.3980608880519867,0.05159788951277733,640,0,0,0.3346913456916809,-0.027958035469055176,0.15010704100131989,0.24447619915008545,0.8722637891769409,0.11316146701574326,0.20678426325321198,,0.042673613876104355,0.1671890914440155,0.056679509580135345,0.057091690599918365,0.25785425305366516,0.05724261701107025,0.90001,0.6180056929588318,0.6842410564422607,0.7074453830718994,0.7339016199111938,0.7483287453651428,0.7566325664520264,0.7672411203384399,0.7748101353645325,0.7782785892486572,0.784984827041626,0.7897827625274658,0.7920389175415039,0.7968698143959045,0.8007346391677856,0.8025256991386414,0.8063024878501892,0.8091159462928772,0.8104950189590454,0.8139781355857849,0.8157398700714111,0.8170994520187378,0.8197407126426697,0.8211997747421265,0.8226380348205566,0.8247728943824768,0.826741099357605,0.8268705010414124,0.8286372423171997,0.8299170732498169,0.8312480449676514,0.8327696323394775,0.8337807059288025,0.8348759412765503
11,13.328089714050293,18.393592834472656,-0.34432950615882874,2.2961975166924775,0.3900246322154999,0.7343541383743286,0.3936906158924103,0.021162113174796104,704,0,0,0.3729161024093628,-0.006610989570617676,0.1403670310974121,0.20103207230567932,0.873792290687561,0.07598371803760529,0.16417911648750305,,0.042415425181388855,0.16339920461177826,0.04154025763273239,0.040205493569374084,0.2150261253118515,0.04052741453051567,0.900011,0.6099753379821777,0.6839504837989807,0.7046570181846619,0.7371244430541992,0.752102792263031,0.758441686630249,0.7726272940635681,0.7806283235549927,0.7827381491661072,0.7918488383293152,0.7957289218902588,0.7976597547531128,0.8045687675476074,0.8076263666152954,0.8083857893943787,0.8127365112304688,0.8155738711357117,0.8168866038322449,0.8207325339317322,0.8225172162055969,0.8233337998390198,0.8276970982551575,0.82999587059021,0.8306813836097717,0.8342993259429932,0.8373695611953735,0.8383110761642456,0.8407655954360962,0.8426535725593567,0.8434587121009827,0.845544159412384,0.8472557067871094,0.8485890030860901
12,13.350550651550293,18.205602645874023,-0.3529433608055115,2.3300005121082146,0.3816857933998108,0.7346291542053223,0.37173888087272644,0.018562184646725655,768,0,0,0.35713815689086914,0.015106379985809326,0.14202940464019775,0.21648550033569336,0.864680826663971,0.06892809271812439,0.1516960710287094,,0.04039882495999336,0.15991853177547455,0.04171720892190933,0.04063917696475983,0.23231548070907593,0.04085661098361015,0.900012,0.6183142066001892,0.6823070049285889,0.6932239532470703,0.7283192276954651,0.7421557307243347,0.7429284453392029,0.7603741884231567,0.7677680253982544,0.7684339880943298,0.7796462178230286,0.7848358750343323,0.7843555808067322,0.7914368510246277,0.7947314381599426,0.7942203283309937,0.8011267781257629,0.8048995137214661,0.8046882748603821,0.8093343377113342,0.8121306300163269,0.8125770688056946,0.817572295665741,0.8203296065330505,0.8203352689743042,0.8248023390769958,0.8268132209777832,0.8266522884368896,0.8305441737174988,0.832527220249176,0.8323639631271362,0.8357783555984497,0.8370473384857178,0.8367586731910706
13,13.173251152038574,19.169809341430664,-0.28666582703590393,2.0966308636502933,0.4519282281398773,0.7385940551757812,0.4510950446128845,0.012802258133888245,832,0,0,0.4526593089103699,0.0011093616485595703,0.12703070044517517,0.17501798272132874,0.8875807523727417,0.0784260556101799,0.17829036712646484,,0.04593784362077713,0.1459716558456421,0.03873834386467934,0.04080744460225105,0.18646501004695892,0.041078608483076096,0.9000130000000001,0.5480717420578003,0.6140260100364685,0.6388221979141235,0.6602035164833069,0.674275279045105,0.6837260127067566,0.6932914853096008,0.7013102173805237,0.7074523568153381,0.7134424448013306,0.7190397381782532,0.722506046295166,0.7266332507133484,0.7305219769477844,0.7338199019432068,0.7371904850006104,0.7406858801841736,0.7437385320663452,0.7474052309989929,0.7503987550735474,0.7538217902183533,0.7567203044891357,0.7596657872200012,0.7626647353172302,0.7657959461212158,0.7685617208480835,0.7712010145187378,0.7744665145874023,0.7773178815841675,0.7795829176902771,0.7825411558151245,0.7855765223503113,0.7884745001792908
14,13.238155364990234,18.52864646911621,-0.3031209111213684,2.119993666137156,0.4262338876724243,0.7293547987937927,0.4230523109436035,0.010331694036722183,896,0,0,0.42559462785720825,0.0051406025886535645,0.13645587861537933,0.20771928131580353,0.8929331302642822,0.09525102376937866,0.20379918813705444,,0.043158773332834244,0.14222638309001923,0.039046511054039,0.043337784707546234,0.22331193089485168,0.04340989142656326,0.900014,0.5737661123275757,0.6365635991096497,0.6600000262260437,0.684599757194519,0.6998449563980103,0.7072310447692871,0.7189247608184814,0.7277333736419678,0.7322264313697815,0.7413198947906494,0.7471649050712585,0.7514322996139526,0.757444441318512,0.7617793679237366,0.7657846808433533,0.7708648443222046,0.7744688391685486,0.7773755788803101,0.7821723222732544,0.7857538461685181,0.7884283065795898,0.7920837998390198,0.7952286005020142,0.7979193329811096,0.8017746210098267,0.8049380779266357,0.807178795337677,0.8099763989448547,0.8126174807548523,0.8153290748596191,0.8189265727996826,0.8216379880905151,0.8239976763725281
