step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3,cos_err_d4,cos_err_d5,cos_err_d6,cos_err_d7,cos_err_d8,cos_err_d9,cos_err_d10,cos_err_d11,cos_err_d12,cos_err_d13,cos_err_d14,cos_err_d15,cos_err_d16,cos_err_d17,cos_err_d18,cos_err_d19,cos_err_d20,cos_err_d21,cos_err_d22,cos_err_d23,cos_err_d24,cos_err_d25,cos_err_d26,cos_err_d27,cos_err_d28,cos_err_d29,cos_err_d30,cos_err_d31,cos_err_d32
1,14.275238037109375,20.217866897583008,-0.37705084681510925,2.5106503626259995,0.37335410714149475,0.750404953956604,0.46970441937446594,0.185420423746109,64,0,0,0.14891290664672852,-0.18703186511993408,0.10203442722558975,0.13510631024837494,0.7701297402381897,0.06702849268913269,0.1389416605234146,,0.06144668161869049,0.3038676381111145,0.043230973184108734,0.047041527926921844,0.14051418006420135,0.04729524627327919,0.9000016666666667,0.6266458630561829,0.7347619533538818,0.7927722334861755,0.8382079005241394,0.8664324283599854,0.8868041038513184,0.9058005809783936,0.9202150106430054,0.9266713857650757,0.9375289678573608,0.9443458318710327,0.9481378793716431,0.9552653431892395,0.9595885276794434,0.9631299376487732,0.9670666456222534,0.9698864221572876,0.9719409346580505,0.9753957390785217,0.9768878817558289,0.9778645038604736,0.9805194139480591,0.9834418296813965,0.9841694831848145,0.9858204126358032,0.9865502119064331,0.9871467351913452,0.9888765215873718,0.9905620813369751,0.9909584522247314,0.9919077754020691,0.9928309917449951,0.9936288595199585
2,13.829151153564453,18.705602645874023,-0.3970735967159271,2.570511153645495,0.35009559988975525,0.7471691966056824,0.41841065883636475,0.14971472322940826,128,0,0,0.19890308380126953,-0.12086868286132812,0.12130893766880035,0.18471229076385498,0.7946579456329346,0.06702849268913269,0.14518317580223083,,0.051026925444602966,0.26694220304489136,0.04955054074525833,0.047839246690273285,0.20245510339736938,0.04823164641857147,0.9000033333333334,0.6499043703079224,0.734008252620697,0.7718754410743713,0.7977570295333862,0.8114773035049438,0.8178111910820007,0.8263550996780396,0.8310314416885376,0.8330029249191284,0.83735591173172,0.8404012322425842,0.8396536707878113,0.8430172204971313,0.8438342213630676,0.8449963331222534,0.8470883965492249,0.8491339087486267,0.8499536514282227,0.851662278175354,0.8533899784088135,0.853205680847168,0.8558835387229919,0.8571583032608032,0.8578423857688904,0.859459638595581,0.8609378337860107,0.8628525733947754,0.8639864325523376,0.8650453686714172,0.8653406500816345,0.8675975799560547,0.8689507246017456,0.8690707087516785
3,13.607664108276367,19.237422943115234,-0.3669029474258423,2.411951796086196,0.3732419013977051,0.7401448488235474,0.4431857764720917,0.1425299048423767,192,0,0,0.29437315464019775,-0.1308610439300537,0.11712650209665298,0.160456120967865,0.8062127828598022,0.0656716451048851,0.1389416605234146,,0.058279771357774734,0.25235646963119507,0.04056397080421448,0.042871780693531036,0.1792127639055252,0.043284907937049866,0.900005,0.6267580986022949,0.7217813730239868,0.7510147094726562,0.7806398272514343,0.791412353515625,0.7923105955123901,0.803401529788971,0.8063259720802307,0.8061956167221069,0.8126853108406067,0.8147658109664917,0.8139814138412476,0.8183602094650269,0.8206421732902527,0.8193646669387817,0.8227720856666565,0.82411128282547,0.8223963379859924,0.825049102306366,0.8257740139961243,0.8248041868209839,0.8269084692001343,0.8278355598449707,0.8268206119537354,0.8291620016098022,0.8296263217926025,0.8294112682342529,0.831120491027832,0.8313557505607605,0.8292306065559387,0.8301340341567993,0.8301290273666382,0.8295542001724243
4,13.463346481323242,18.350587844848633,-0.4254703223705292,2.601773860250303,0.3089052140712738,0.734375536441803,0.3622837960720062,0.08162665367126465,256,0,1,0.21863359212875366,-0.08601546287536621,0.14725854992866516,0.19818875193595886,0.7985373735427856,0.0491180494427681,0.11017639189958572,,0.053901396691799164,0.22710663080215454,0.04824507236480713,0.04669186845421791,0.22300975024700165,0.04750541225075722,0.9000066666666667,0.6910947561264038,0.7643373608589172,0.7956658601760864,0.8226027488708496,0.8356056809425354,0.8414088487625122,0.8510728478431702,0.8551011085510254,0.8571970462799072,0.8623728156089783,0.8646898865699768,0.8656848073005676,0.8700273036956787,0.8711308240890503,0.8720356225967407,0.8745496273040771,0.8758624196052551,0.8753696084022522,0.8771260380744934,0.8777061104774475,0.8771495819091797,0.8798490762710571,0.8803005814552307,0.8797475695610046,0.8807795643806458,0.8812826871871948,0.8808302283287048,0.8823497295379639,0.882964551448822,0.8824109435081482,0.8834273219108582,0.8840231895446777,0.8842526078224182
5,13.4219331741333,18.20575714111328,-0.4116743803024292,2.507354923022161,0.31521517038345337,0.7268895506858826,0.3772733211517334,0.05933301895856857,320,0,1,0.27400630712509155,-0.10224974155426025,0.15249399840831757,0.22283855080604553,0.8221701979637146,0.07245590537786484,0.15549525618553162,,0.05015243589878082,0.21030516922473907,0.051516979932785034,0.0494110994040966,0.24489794671535492,0.049822594970464706,0.9000083333333334,0.6847848296165466,0.7692441940307617,0.8125542998313904,0.8431020975112915,0.8601094484329224,0.8709481358528137,0.8810374736785889,0.886512279510498,0.8928123712539673,0.8980207443237305,0.9014865756034851,0.9061276316642761,0.9093087315559387,0.9121344685554504,0.9141238927841187,0.9160271286964417,0.9186927676200867,0.920367956161499,0.9220895767211914,0.9233704805374146,0.9245269298553467,0.9259445667266846,0.9267867207527161,0.9275776147842407,0.9281477928161621,0.9291120767593384,0.9291143417358398,0.9309854507446289,0.9310440421104431,0.9327632784843445,0.9328451752662659,0.933702826499939,0.933619499206543
6,13.425766944885254,18.373254776000977,-0.40141183137893677,2.477271067144308,0.3268629312515259,0.7282747626304626,0.3782983422279358,0.06354872137308121,384,0,0,0.2999460697174072,-0.08532905578613281,0.1466672569513321,0.2473384141921997,0.8245189785957336,0.07625509053468704,0.16553595662117004,,0.0510520339012146,0.19287851452827454,0.05165717750787735,0.05822067707777023,0.26330599188804626,0.05839741975069046,0.90001,0.6731370687484741,0.7521838545799255,0.786375880241394,0.8243666291236877,0.8414947986602783,0.8479538559913635,0.8622199296951294,0.8693457245826721,0.8700856566429138,0.8783519864082336,0.8828532695770264,0.8832405209541321,0.8881710171699524,0.8908775448799133,0.8898274898529053,0.8938812017440796,0.8959585428237915,0.8951013088226318,0.8985727429389954,0.9005736708641052,0.9001594185829163,0.9035434722900391,0.9047583341598511,0.9041337966918945,0.9068328142166138,0.9078729152679443,0.9072871208190918,0.9093118906021118,0.910668671131134,0.9098479151725769,0.9120648503303528,0.9128068089485168,0.9125076532363892
7,13.43946647644043,18.03530502319336,-0.40677937865257263,2.4884640432784035,0.31993260979652405,0.7267119884490967,0.35134604573249817,0.0669805109500885,448,0,0,0.269451379776001,-0.04960477352142334,0.15465593338012695,0.239988312125206,0.8223839998245239,0.07164179533720016,0.14681139588356018,,0.04852748662233353,0.18387943506240845,0.05593327432870865,0.053694359958171844,0.26265090703964233,0.05389300733804703,0.9000116666666667,0.6800673604011536,0.7541251182556152,0.7902508974075317,0.8271312117576599,0.8425090312957764,0.850854754447937,0.8640497922897339,0.8713708519935608,0.8749746084213257,0.8819647431373596,0.8864197134971619,0.8871465921401978,0.8916575312614441,0.894877016544342,0.8956567049026489,0.8994375467300415,0.9010319709777832,0.9018848538398743,0.9045427441596985,0.9057131409645081,0.9053419232368469,0.9083917737007141,0.9095766544342041,0.9096832871437073,0.9116930365562439,0.9134442210197449,0.9134048223495483,0.9148385524749756,0.9154891967773438,0.9153837561607361,0.9164571762084961,0.91692715883255,0.9161118865013123
8,13.384614944458008,18.332000732421875,-0.3836105465888977,2.3694754539212166,0.33627450466156006,0.7198850512504578,0.3815476596355438,0.05953993648290634,512,0,1,0.2932392358779907,-0.07535457611083984,0.14173740148544312,0.22184008359909058,0.8380247950553894,0.05617367848753929,0.1516960710287094,,0.042644139379262924,0.17729485034942627,0.05368003621697426,0.059035271406173706,0.2475544661283493,0.05993523821234703,0.9000133333333333,0.6637254953384399,0.7360317707061768,0.753943681716919,0.7958178520202637,0.8113157153129578,0.8115389347076416,0.8283071517944336,0.8340416550636292,0.8330501914024353,0.842790424823761,0.8467701077461243,0.84520024061203,0.8523768186569214,0.8545253276824951,0.8530275225639343,0.8586341142654419,0.8605382442474365,0.858866274356842,0.8632752895355225,0.8647885322570801,0.863344669342041,0.8669891953468323,0.8676557540893555,0.8664687275886536,0.8692649602890015,0.8692743182182312,0.8675985932350159,0.8698479533195496,0.8707674741744995,0.8704957365989685,0.8734763264656067,0.8743664026260376,0.8718122839927673
9,13.397571563720703,18.065168380737305,-0.36979520320892334,2.368723318027819,0.36002951860427856,0.7298247218132019,0.39985179901123047,0.035159632563591,576,0,1,0.2995275855064392,-0.06753623485565186,0.14382971823215485,0.24221619963645935,0.8694102168083191,0.08195386826992035,0.20515604317188263,,0.042232707142829895,0.16331879794597626,0.06325523555278778,0.061875514686107635,0.26847943663597107,0.06317263096570969,0.900015,0.6399704813957214,0.7128000855445862,0.7565487027168274,0.7905855774879456,0.8107239603996277,0.8242459297180176,0.8383065462112427,0.847905695438385,0.8547669053077698,0.8634352087974548,0.8690015077590942,0.8733667731285095,0.8782146573066711,0.8825629949569702,0.8853960633277893,0.8896210193634033,0.8916175961494446,0.893312931060791,0.8959394097328186,0.897999107837677,0.899505615234375,0.9019231796264648,0.9029735326766968,0.9036893248558044,0.9057133197784424,0.9075407981872559,0.9081341624259949,0.9098467230796814,0.9104797840118408,0.9110596179962158,0.9129926562309265,0.9143082499504089,0.9148654341697693
10,13.380192756652832,18.18486976623535,-0.36621642112731934,2.257815062191718,0.3426307439804077,0.708847165107727,0.3876887261867523,0.038914311677217484,640,0,1,0.308704137802124,-0.07619428634643555,0.15191063284873962,0.24332624673843384,0.8571204543113708,0.08819539099931717,0.1875169724225998,,0.040498487651348114,0.15970951318740845,0.05936272442340851,0.06024349108338356,0.27056050300598145,0.06169210374355316,0.9000166666666667,0.6573692560195923,0.7343878149986267,0.7730379104614258,0.8051096200942993,0.8225129246711731,0.8349977731704712,0.8470010757446289,0.855059027671814,0.8603000640869141,0.8664687275886536,0.8724475502967834,0.8757393956184387,0.8804596662521362,0.8851057887077332,0.8875724077224731,0.8911261558532715,0.8935718536376953,0.8953084349632263,0.8979884386062622,0.9005218148231506,0.9017593860626221,0.9041459560394287,0.9060937762260437,0.9072828888893127,0.9084826707839966,0.909969687461853,0.9104018807411194,0.9114019274711609,0.9122394919395447,0.9130657911300659,0.9144248962402344,0.9153549671173096,0.9161991477012634
