step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3,cos_err_d4,cos_err_d5,cos_err_d6,cos_err_d7,cos_err_d8,cos_err_d9,cos_err_d10,cos_err_d11,cos_err_d12,cos_err_d13,cos_err_d14,cos_err_d15,cos_err_d16,cos_err_d17,cos_err_d18,cos_err_d19,cos_err_d20,cos_err_d21,cos_err_d22,cos_err_d23,cos_err_d24,cos_err_d25,cos_err_d26,cos_err_d27,cos_err_d28,cos_err_d29,cos_err_d30,cos_err_d31,cos_err_d32
1,14.275238037109375,20.217866897583008,-0.37705084681510925,2.5106503626259995,0.37335410714149475,0.750404953956604,0.46970441937446594,0.185420423746109,64,0,0,0.14891290664672852,-0.18703186511993408,0.10203442722558975,0.13510631024837494,0.7701297402381897,0.06702849268913269,0.1389416605234146,,0.06144668161869049,0.3038676381111145,0.043230973184108734,0.047041527926921844,0.14051418006420135,0.04729524627327919,0.8000010000000001,0.6266458630561829,0.7347619533538818,0.7927722334861755,0.8382079005241394,0.8664324283599854,0.8868041038513184,0.9058005809783936,0.9202150106430054,0.9266713857650757,0.9375289678573608,0.9443458318710327,0.9481378793716431,0.9552653431892395,0.9595885276794434,0.9631299376487732,0.9670666456222534,0.9698864221572876,0.9719409346580505,0.9753957390785217,0.9768878817558289,0.9778645038604736,0.9805194139480591,0.9834418296813965,0.9841694831848145,0.9858204126358032,0.9865502119064331,0.9871467351913452,0.9888765215873718,0.9905620813369751,0.9909584522247314,0.9919077754020691,0.9928309917449951,0.9936288595199585
2,13.825480461120605,18.705602645874023,-0.3970735967159271,2.570511153645495,0.35009559988975525,0.7471691966056824,0.41841065883636475,0.14971472322940826,128,0,0,0.19890308380126953,-0.12086868286132812,0.12130893766880035,0.18471229076385498,0.7946579456329346,0.06702849268913269,0.14518317580223083,,0.051026925444602966,0.26694220304489136,0.04955054074525833,0.047839246690273285,0.20245510339736938,0.04823164641857147,0.800002,0.6499043703079224,0.734008252620697,0.7718754410743713,0.7977570295333862,0.8114773035049438,0.8178111910820007,0.8263550996780396,0.8310314416885376,0.8330029249191284,0.83735591173172,0.8404012322425842,0.8396536707878113,0.8430172204971313,0.8438342213630676,0.8449963331222534,0.8470883965492249,0.8491339087486267,0.8499536514282227,0.851662278175354,0.8533899784088135,0.853205680847168,0.8558835387229919,0.8571583032608032,0.8578423857688904,0.859459638595581,0.8609378337860107,0.8628525733947754,0.8639864325523376,0.8650453686714172,0.8653406500816345,0.8675975799560547,0.8689507246017456,0.8690707087516785
3,13.626208305358887,19.19755744934082,-0.3689064681529999,2.4174734568270217,0.37083718180656433,0.7397436499595642,0.44089025259017944,0.1370769441127777,192,0,0,0.2959696054458618,-0.13041532039642334,0.1181565597653389,0.16231754422187805,0.8080990314483643,0.06784261018037796,0.14056988060474396,,0.05810581147670746,0.25028884410858154,0.040545038878917694,0.04284828528761864,0.1813768595457077,0.043261218816041946,0.800003,0.6291627883911133,0.7242766618728638,0.7534518837928772,0.783237874507904,0.7940539717674255,0.7949444055557251,0.8061063289642334,0.8090540766716003,0.8089278340339661,0.8154798746109009,0.817582368850708,0.8168103098869324,0.8212499022483826,0.8235746026039124,0.8223053216934204,0.825753390789032,0.827125072479248,0.8254088759422302,0.8280900120735168,0.8288373947143555,0.8278767466545105,0.8300140500068665,0.8309571146965027,0.8299639225006104,0.8323277235031128,0.8328076004981995,0.832586407661438,0.8343197703361511,0.8345737457275391,0.8324270844459534,0.8333420753479004,0.8333233594894409,0.8327500820159912
4,13.542482376098633,18.31080436706543,-0.4284864068031311,2.618779557754518,0.3068163990974426,0.7353028059005737,0.36068522930145264,0.07176979631185532,256,0,1,0.22194534540176392,-0.08653128147125244,0.14838187396526337,0.19926424324512482,0.8035062551498413,0.049389418214559555,0.11234735697507858,,0.053627073764801025,0.22505882382392883,0.048184726387262344,0.046631477773189545,0.22432468831539154,0.047439802438020706,0.800004,0.6931836605072021,0.7670994997024536,0.7991346120834351,0.8269885182380676,0.8405151963233948,0.8467782139778137,0.8569292426109314,0.8613141179084778,0.8637081980705261,0.8692404627799988,0.8718027472496033,0.8730278611183167,0.8775970339775085,0.8788704872131348,0.8799796104431152,0.8826838731765747,0.8841753005981445,0.8838288187980652,0.885786235332489,0.886518657207489,0.8860833644866943,0.88892662525177,0.8895165920257568,0.8890687823295593,0.8902378082275391,0.8908594846725464,0.890526294708252,0.8921839594841003,0.8928588032722473,0.8923934698104858,0.8935255408287048,0.8942576050758362,0.8945502638816833
5,13.556783676147461,18.249528884887695,-0.4140225052833557,2.5383525929758153,0.31684380769729614,0.7308663129806519,0.3790525197982788,0.048255786299705505,320,0,1,0.28051406145095825,-0.10274934768676758,0.15236108005046844,0.21933069825172424,0.8284939527511597,0.0727272778749466,0.160651296377182,,0.04984305053949356,0.21109750866889954,0.05142871290445328,0.049306903034448624,0.24125824868679047,0.04971526190638542,0.8000050000000001,0.6831561923027039,0.7687144875526428,0.8138919472694397,0.8466355800628662,0.8651713132858276,0.8773965835571289,0.8887996077537537,0.8952949047088623,0.9026415348052979,0.9087383151054382,0.9129281640052795,0.9182767271995544,0.9221142530441284,0.9254994988441467,0.9279714226722717,0.9303632974624634,0.9335740804672241,0.9356289505958557,0.9377768039703369,0.9394534826278687,0.9409769177436829,0.9427576065063477,0.9440339803695679,0.9451367855072021,0.946007251739502,0.9472959637641907,0.9475756287574768,0.9497135281562805,0.9500634670257568,0.9520597457885742,0.9523879289627075,0.9534862637519836,0.9536158442497253
6,13.590459823608398,18.34421157836914,-0.40298768877983093,2.5323562095451058,0.33402666449546814,0.7370143532752991,0.38178640604019165,0.04715915769338608,384,0,0,0.31288397312164307,-0.07971417903900146,0.14485618472099304,0.24118265509605408,0.8396354913711548,0.08249661326408386,0.17611941695213318,,0.05068109929561615,0.19314341247081757,0.05149819701910019,0.05809211730957031,0.25700461864471436,0.058265551924705505,0.800006,0.6659732460975647,0.7440096139907837,0.7800847291946411,0.8215253949165344,0.8417853116989136,0.8505262732505798,0.8672813773155212,0.8762131333351135,0.878453254699707,0.8884257674217224,0.8942463397979736,0.8956168293952942,0.9017112255096436,0.9053397178649902,0.9049723744392395,0.9099427461624146,0.9126853942871094,0.9124636054039001,0.9166339635848999,0.9191790223121643,0.919135332107544,0.9231906533241272,0.9248713850975037,0.9246330857276917,0.927902340888977,0.9293298125267029,0.9291755557060242,0.9316622018814087,0.9333796501159668,0.9329071044921875,0.9355810880661011,0.9367398619651794,0.9366948008537292
7,13.619619369506836,18.14034652709961,-0.4111378788948059,2.5915345646447734,0.3305341601371765,0.7416720390319824,0.3591233193874359,0.04741513356566429,448,0,0,0.28501397371292114,-0.04570960998535156,0.15216064453125,0.23146966099739075,0.8350623250007629,0.07137042284011841,0.1535956710577011,,0.04778670147061348,0.18761809170246124,0.055802520364522934,0.053396403789520264,0.25350916385650635,0.05358846113085747,0.800007,0.6694657802581787,0.7399367690086365,0.7768038511276245,0.8169100880622864,0.8357223868370056,0.8476893305778503,0.8646789193153381,0.8752210140228271,0.8818838596343994,0.8915484547615051,0.898387610912323,0.9010411500930786,0.9074537754058838,0.9125452041625977,0.9148947596549988,0.9203119277954102,0.9231045842170715,0.9252274632453918,0.9292202591896057,0.9313815236091614,0.9321151971817017,0.9362850189208984,0.9383094906806946,0.9393019080162048,0.9421533346176147,0.9447786211967468,0.9454330205917358,0.9476124048233032,0.9489145278930664,0.9494286179542542,0.951178252696991,0.9522485136985779,0.9520235657691956
8,13.54452133178711,18.41534996032715,-0.38938021659851074,2.503928386598916,0.3517110347747803,0.741091251373291,0.39300891757011414,0.03076736256480217,512,0,1,0.31324851512908936,-0.07019495964050293,0.13797594606876373,0.212453693151474,0.8545413613319397,0.05834464356303215,0.15793758630752563,,0.04158660024404526,0.18253180384635925,0.05335231125354767,0.05858941376209259,0.23709502816200256,0.05946313962340355,0.800008,0.6482889652252197,0.7176154255867004,0.7352798581123352,0.7809628844261169,0.7992101311683655,0.801555335521698,0.8220358490943909,0.8306238651275635,0.8318088054656982,0.8447417616844177,0.8508601188659668,0.8512117266654968,0.8606372475624084,0.8647423982620239,0.864536702632904,0.8720356822013855,0.8753350377082825,0.8749040961265564,0.880760133266449,0.883397102355957,0.882885217666626,0.887871265411377,0.889512836933136,0.8891666531562805,0.8928815722465515,0.8937523365020752,0.8928148746490479,0.8959141969680786,0.8977214097976685,0.898040771484375,0.9018269777297974,0.903203547000885,0.9010958075523376
9,13.500609397888184,18.263643264770508,-0.35805630683898926,2.4743258857704395,0.39908266067504883,0.7571389675140381,0.42336156964302063,0.02195124514400959,576,0,1,0.3412219285964966,-0.04307079315185547,0.1315145045518875,0.22269712388515472,0.8834434151649475,0.08873812854290009,0.2111261934041977,,0.04125630855560303,0.17610856890678406,0.06287338584661484,0.0612822026014328,0.24675308167934418,0.06253387033939362,0.8000090000000001,0.6009173393249512,0.6618040204048157,0.6988317966461182,0.7315422892570496,0.7527360916137695,0.7683860659599304,0.7857387661933899,0.7985633611679077,0.8086861968040466,0.8213897347450256,0.830786406993866,0.8380264043807983,0.846558153629303,0.854197084903717,0.8600442409515381,0.867265522480011,0.8719505071640015,0.876386284828186,0.8820147514343262,0.8866608142852783,0.8904575705528259,0.8952370285987854,0.8985832929611206,0.9014663100242615,0.9056791067123413,0.9096430540084839,0.9118832349777222,0.9153060913085938,0.9176531434059143,0.9197084307670593,0.9234939813613892,0.9264163970947266,0.9283276200294495
10,13.51358413696289,18.363954544067383,-0.35711395740509033,2.3934153359975014,0.38659924268722534,0.7437132000923157,0.4144347906112671,0.02601243555545807,640,0,1,0.3519551753997803,-0.04996085166931152,0.13826042413711548,0.22672216594219208,0.8778576254844666,0.09280868619680405,0.1989145278930664,,0.039165519177913666,0.17619940638542175,0.0589216984808445,0.05957215279340744,0.25252822041511536,0.060955554246902466,0.80001,0.6134007573127747,0.6821816563606262,0.7177969217300415,0.7499808669090271,0.7681676149368286,0.7823007106781006,0.7965893745422363,0.8069478273391724,0.8140933513641357,0.8229264616966248,0.8315290212631226,0.8372443318367004,0.8448054790496826,0.8520468473434448,0.8568147420883179,0.8628319501876831,0.8674951195716858,0.8713161945343018,0.8763273358345032,0.8814687728881836,0.8845782279968262,0.8889738321304321,0.8931356072425842,0.8962069153785706,0.8993613719940186,0.9026153087615967,0.9047054052352905,0.9073601961135864,0.9099180102348328,0.9122660756111145,0.9155111908912659,0.9180337190628052,0.920454204082489
