step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3,cos_err_d4,cos_err_d5,cos_err_d6,cos_err_d7,cos_err_d8,cos_err_d9,cos_err_d10,cos_err_d11,cos_err_d12,cos_err_d13,cos_err_d14,cos_err_d15,cos_err_d16,cos_err_d17,cos_err_d18,cos_err_d19,cos_err_d20,cos_err_d21,cos_err_d22,cos_err_d23,cos_err_d24,cos_err_d25,cos_err_d26,cos_err_d27,cos_err_d28,cos_err_d29,cos_err_d30,cos_err_d31,cos_err_d32
1,14.387253761291504,20.681228637695312,-0.3724861443042755,2.471109497281665,0.37431302666664124,0.7467991709709167,0.5063657164573669,0.18325479328632355,64,0,0,0.1477515697479248,-0.2804074287414551,0.0842517539858818,0.11068940162658691,0.7629117369651794,0.05698779225349426,0.1313432902097702,,0.0557352676987648,0.37033575773239136,0.04337107017636299,0.04801449179649353,0.11746013164520264,0.04834333434700966,0.8000010000000001,0.6256868839263916,0.7570762634277344,0.8250216245651245,0.8695541024208069,0.8960434794425964,0.9133625626564026,0.9318786859512329,0.9426251649856567,0.9465428590774536,0.9552024006843567,0.9596071243286133,0.9615538716316223,0.9675145149230957,0.9694517850875854,0.9703320264816284,0.9739628434181213,0.9753991365432739,0.976399302482605,0.9778769016265869,0.9794824123382568,0.9789871573448181,0.9815489053726196,0.9827170968055725,0.9835107922554016,0.9844017028808594,0.985262393951416,0.9847612380981445,0.9872872829437256,0.9872168898582458,0.9865584373474121,0.9878657460212708,0.9887645244598389,0.9882891178131104
2,14.001620292663574,19.30051040649414,-0.4156646132469177,2.6483392976169653,0.33216363191604614,0.7478282451629639,0.4238576591014862,0.0936264619231224,128,0,1,0.22578144073486328,-0.16358470916748047,0.11847078055143356,0.16418346762657166,0.8019304871559143,0.058073271065950394,0.12700136005878448,,0.04803725332021713,0.2785281538963318,0.046926576644182205,0.04495871067047119,0.17871494591236115,0.045373063534498215,0.800002,0.6678364276885986,0.772739827632904,0.8282191157341003,0.8645423054695129,0.8826748728752136,0.893790602684021,0.9048371315002441,0.9134750962257385,0.9165107607841492,0.9225309491157532,0.9272757172584534,0.9280471205711365,0.9310619831085205,0.9326569437980652,0.9336948990821838,0.936906635761261,0.9390440583229065,0.9404075145721436,0.9435158371925354,0.9458892345428467,0.9464309215545654,0.9498456716537476,0.9505468606948853,0.9524758458137512,0.9536424279212952,0.9558859467506409,0.9569582939147949,0.9585766792297363,0.9598919749259949,0.9609044194221497,0.9628714323043823,0.9627095460891724,0.9629058837890625
3,13.708413124084473,19.675201416015625,-0.3757376968860626,2.5292695263602223,0.3785648047924042,0.7543025016784668,0.454522043466568,0.10587262362241745,192,0,0,0.2751508355140686,-0.14290165901184082,0.10608325898647308,0.14160661399364471,0.8113893866539001,0.05753052979707718,0.12917232513427734,,0.05027158930897713,0.2688238322734833,0.03907639905810356,0.0416206456720829,0.15623325109481812,0.042027123272418976,0.800003,0.6214351654052734,0.7288747429847717,0.7650295495986938,0.8022663593292236,0.8152088522911072,0.8198468685150146,0.8339558243751526,0.8409028649330139,0.841546356678009,0.8500957489013672,0.8540242910385132,0.8530223965644836,0.8584415912628174,0.8614346981048584,0.8619846105575562,0.8669869899749756,0.8687790036201477,0.8677648901939392,0.8712045550346375,0.8724469542503357,0.8718901872634888,0.8742355108261108,0.8755061030387878,0.8754263520240784,0.8786331415176392,0.8795756101608276,0.8795170187950134,0.8821070194244385,0.8828490972518921,0.8828456401824951,0.8848827481269836,0.8859244585037231,0.8864067196846008
4,13.631745338439941,18.6293888092041,-0.4363282024860382,2.784052962230206,0.3191004693508148,0.755428671836853,0.35684311389923096,0.0598418191075325,256,0,0,0.25973981618881226,-0.059888362884521484,0.14181950688362122,0.18890053033828735,0.8148288130760193,0.06160108745098114,0.13677069544792175,,0.044674016535282135,0.22907547652721405,0.04602757468819618,0.044986430555582047,0.2054280936717987,0.04546339437365532,0.800004,0.680899441242218,0.7556812763214111,0.7840781211853027,0.8078380227088928,0.8222413659095764,0.828194797039032,0.8393072485923767,0.8451777100563049,0.8478769063949585,0.8539918661117554,0.857792317867279,0.8596746921539307,0.8647707104682922,0.8664781451225281,0.8674536943435669,0.8716719150543213,0.8725605607032776,0.8741585612297058,0.8764321208000183,0.8776635527610779,0.8778982162475586,0.8800752758979797,0.8812210559844971,0.8812835216522217,0.8825880289077759,0.8832793235778809,0.8841258883476257,0.8852510452270508,0.8857409358024597,0.8858753442764282,0.88675856590271,0.8875053524971008,0.8872063159942627
5,13.540363311767578,19.306171417236328,-0.38480865955352783,2.576341369738188,0.3710762858390808,0.7558849453926086,0.4149196743965149,0.06832623481750488,320,0,0,0.32764768600463867,-0.07648897171020508,0.130459263920784,0.18946750462055206,0.8398359417915344,0.08249661326408386,0.17774763703346252,,0.05057033896446228,0.2233344316482544,0.04589857533574104,0.049236975610256195,0.2033318430185318,0.049476657062768936,0.8000050000000001,0.6289237141609192,0.7051550149917603,0.7425483465194702,0.7661150097846985,0.7801511287689209,0.7889267206192017,0.7974072694778442,0.8036964535713196,0.8086090087890625,0.8138147592544556,0.8175016045570374,0.8208531737327576,0.8248686790466309,0.8277824521064758,0.8308125138282776,0.8329405188560486,0.8349320888519287,0.8361948132514954,0.8378564715385437,0.8388197422027588,0.8395397067070007,0.8416134119033813,0.8424506783485413,0.8442438244819641,0.8452286720275879,0.8456602096557617,0.8462895154953003,0.8479056358337402,0.8482431769371033,0.8495921492576599,0.8503172397613525,0.8510424494743347,0.8514315485954285
6,13.536581039428711,18.958240509033203,-0.40098896622657776,2.6378029001680776,0.3541775643825531,0.7551665306091309,0.37937161326408386,0.06608142703771591,384,0,0,0.3111302852630615,-0.041634559631347656,0.13438688218593597,0.2157517671585083,0.8280920386314392,0.0694708302617073,0.15956580638885498,,0.041810087859630585,0.21211206912994385,0.04826183244585991,0.05502138286828995,0.2283080667257309,0.05526509881019592,0.800006,0.6458224058151245,0.7081647515296936,0.7285974621772766,0.7616426348686218,0.7744181156158447,0.778279721736908,0.7915701270103455,0.7981886267662048,0.7985156178474426,0.8082772493362427,0.8125934600830078,0.8133443593978882,0.8195369839668274,0.8223009705543518,0.8220928311347961,0.8274848461151123,0.8298277258872986,0.8296825289726257,0.833745539188385,0.835446834564209,0.8356466293334961,0.8396652340888977,0.8405318856239319,0.8396094441413879,0.8429616093635559,0.8439600467681885,0.8446850180625916,0.8474364876747131,0.8480026125907898,0.8479052186012268,0.8499205112457275,0.8495492339134216,0.8491175770759583
7,13.5065279006958,18.340471267700195,-0.4171881377696991,2.6720166139686525,0.3332999050617218,0.7504880428314209,0.3556947708129883,0.022618714720010757,448,0,1,0.2949305772781372,-0.03556716442108154,0.14870929718017578,0.2084115445613861,0.8379055857658386,0.07761194556951523,0.16336500644683838,,0.03613600134849548,0.19784565269947052,0.05304509773850441,0.049078568816185,0.22852391004562378,0.04938172549009323,0.800007,0.6667000651359558,0.7348796129226685,0.7601780891418457,0.7881710529327393,0.797654390335083,0.8020682334899902,0.8129830956459045,0.8194398283958435,0.8222845196723938,0.8306558728218079,0.8341227173805237,0.8344383239746094,0.8397353291511536,0.8426108956336975,0.8447180390357971,0.8489980697631836,0.850780189037323,0.8511016964912415,0.8545383810997009,0.8559287786483765,0.8577646017074585,0.8622782230377197,0.8644711375236511,0.8653260469436646,0.8680917024612427,0.869469940662384,0.8700324892997742,0.8721407651901245,0.8726284503936768,0.8737115859985352,0.8758776187896729,0.8762475848197937,0.8765482306480408
8,13.489158630371094,18.068679809570312,-0.4171358048915863,2.6654654686813952,0.33240219950675964,0.749538004398346,0.34595510363578796,0.01578008197247982,512,0,0,0.3291339874267578,-0.02129685878753662,0.14466851949691772,0.2288968414068222,0.8507596850395203,0.08331072330474854,0.16037993133068085,,0.03655972331762314,0.1925855576992035,0.050362955778837204,0.052805595099925995,0.2472253441810608,0.053151559084653854,0.800008,0.667597770690918,0.7249674797058105,0.7363417744636536,0.7739168405532837,0.788314938545227,0.7862314581871033,0.8034012913703918,0.8080770969390869,0.8068934679031372,0.8168315291404724,0.8211986422538757,0.8204841613769531,0.827582061290741,0.8297646045684814,0.828773558139801,0.8355444073677063,0.8376690149307251,0.8383595943450928,0.8435593247413635,0.8462754487991333,0.8454126715660095,0.8502514958381653,0.8514903783798218,0.8510990738868713,0.8550606369972229,0.8571173548698425,0.8567966818809509,0.8600130081176758,0.8616541028022766,0.8627773523330688,0.866217851638794,0.8683533668518066,0.8686487078666687
9,13.47317886352539,17.905553817749023,-0.39109450578689575,2.652726271147804,0.37226951122283936,0.7633640170097351,0.37439826130867004,0.007445313967764378,576,0,0,0.3319317698478699,-0.0037981271743774414,0.14305225014686584,0.24572151899337769,0.8808653950691223,0.10719131678342819,0.21818183362483978,,0.03217432647943497,0.19504038989543915,0.06577813625335693,0.06382890045642853,0.26080822944641113,0.06405400484800339,0.8000090000000001,0.6277304887771606,0.6825595498085022,0.710983395576477,0.735586404800415,0.750959038734436,0.7618908286094666,0.7732628583908081,0.7818596363067627,0.7888678908348083,0.7969953417778015,0.8040621280670166,0.8077178597450256,0.8134034276008606,0.8178882598876953,0.8211324214935303,0.8261306881904602,0.8303349614143372,0.8338801264762878,0.838417649269104,0.8415711522102356,0.844177782535553,0.8485708832740784,0.851693868637085,0.8532541990280151,0.8566501140594482,0.8584354519844055,0.8601967692375183,0.8632599115371704,0.8663454651832581,0.868704080581665,0.872657835483551,0.8743924498558044,0.8773035407066345
10,13.38701057434082,18.61445426940918,-0.3535798192024231,2.4985272608314535,0.4104686379432678,0.7640484571456909,0.4147276282310486,0.004905428737401962,640,0,1,0.3990490436553955,-0.00868237018585205,0.1337212175130844,0.2009413242340088,0.8823928236961365,0.08900950103998184,0.19158752262592316,,0.037813231348991394,0.19031411409378052,0.05335317924618721,0.052922382950782776,0.21825842559337616,0.0537082813680172,0.80001,0.589531421661377,0.6413289308547974,0.6650624871253967,0.6857059001922607,0.6983498930931091,0.7081373929977417,0.7184431552886963,0.726152241230011,0.730787992477417,0.7359365820884705,0.7414845824241638,0.7454237341880798,0.7508848905563354,0.7552903294563293,0.7586938142776489,0.7627638578414917,0.7657365202903748,0.7682351469993591,0.771584153175354,0.7744669914245605,0.7771818041801453,0.7800187468528748,0.783577561378479,0.7865533232688904,0.7900395393371582,0.792206883430481,0.7948664426803589,0.7985695600509644,0.8008641004562378,0.8040981292724609,0.8077129125595093,0.8105660080909729,0.813005268573761
