step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3,cos_err_d4,cos_err_d5,cos_err_d6,cos_err_d7,cos_err_d8,cos_err_d9,cos_err_d10,cos_err_d11,cos_err_d12,cos_err_d13,cos_err_d14,cos_err_d15,cos_err_d16,cos_err_d17,cos_err_d18,cos_err_d19,cos_err_d20,cos_err_d21,cos_err_d22,cos_err_d23,cos_err_d24,cos_err_d25,cos_err_d26,cos_err_d27,cos_err_d28,cos_err_d29,cos_err_d30,cos_err_d31,cos_err_d32
1,14.439492225646973,20.038715362548828,-0.38758185505867004,2.3401939181890636,0.32321980595588684,0.7108016610145569,0.4970789849758148,0.15510785579681396,64,0,0,0.06829875707626343,-0.3653017282485962,0.08841250836849213,0.1275232881307602,0.7642140984535217,0.06974220275878906,0.1421981006860733,,0.0601852685213089,0.30844366550445557,0.04167981818318367,0.04549931362271309,0.1326572597026825,0.04588715732097626,0.8000010000000001,0.676780104637146,0.8220615386962891,0.8892130255699158,0.9320170879364014,0.9555354118347168,0.9717594385147095,0.9852162599563599,0.9929238557815552,0.9970734715461731,1.0032756328582764,1.0065046548843384,1.0064884424209595,1.0102556943893433,1.0115243196487427,1.0113776922225952,1.0142621994018555,1.0152068138122559,1.016007661819458,1.0163978338241577,1.0170196294784546,1.016779899597168,1.0191980600357056,1.0191699266433716,1.0196187496185303,1.019665241241455,1.0197222232818604,1.020020604133606,1.0204144716262817,1.0203863382339478,1.0195648670196533,1.0201987028121948,1.019134759902954,1.0191411972045898
2,14.038125038146973,18.634279251098633,-0.428547739982605,2.5474236859730954,0.29450953006744385,0.7230572700500488,0.415813684463501,0.11011393368244171,128,0,0,0.13359928131103516,-0.2151012420654297,0.12046372145414352,0.18550774455070496,0.7730213403701782,0.05590230971574783,0.11723202466964722,,0.05023244768381119,0.25869154930114746,0.046977702528238297,0.04575169086456299,0.203054741024971,0.046248506754636765,0.800002,0.7054904103279114,0.8017839193344116,0.8390053510665894,0.8642849326133728,0.8758008480072021,0.882666289806366,0.8897408843040466,0.8946455121040344,0.8953817486763,0.8993948698043823,0.9015296101570129,0.9007276892662048,0.9034273624420166,0.9040902256965637,0.9049519300460815,0.9071165919303894,0.9077807664871216,0.9078189134597778,0.9101485013961792,0.9113088846206665,0.9113015532493591,0.9136436581611633,0.9139046669006348,0.9141427874565125,0.9155380725860596,0.9170675873756409,0.9179871678352356,0.9192659854888916,0.9204298257827759,0.9208055138587952,0.9225689768791199,0.9217844605445862,0.9216734170913696
3,13.727190971374512,18.821857452392578,-0.40259626507759094,2.629712500380016,0.35036858916282654,0.7529648542404175,0.4297540485858917,0.11667635291814804,192,0,1,0.23015576601028442,-0.14389121532440186,0.11582739651203156,0.17934608459472656,0.8179135918617249,0.06295794248580933,0.1370420604944229,,0.047729410231113434,0.24557054042816162,0.04077553004026413,0.041723065078258514,0.20607033371925354,0.04256315529346466,0.800003,0.6496314406394958,0.7353619933128357,0.7504310011863708,0.7824546098709106,0.7893931865692139,0.7857008576393127,0.7970315217971802,0.8018302917480469,0.7997836470603943,0.8081786036491394,0.8097839951515198,0.8070297241210938,0.8115780353546143,0.8133431673049927,0.811333179473877,0.8157541155815125,0.8173232674598694,0.8157394528388977,0.8190310001373291,0.8201400637626648,0.8187862634658813,0.8214346766471863,0.8220203518867493,0.821660578250885,0.8243908286094666,0.8255455493927002,0.8256595730781555,0.8284924030303955,0.8289082646369934,0.8285962343215942,0.8308361172676086,0.8318175673484802,0.8327287435531616
4,13.581064224243164,18.26279640197754,-0.42406725883483887,2.738493883343694,0.3320047855377197,0.7560720443725586,0.3822602927684784,0.08792303502559662,256,0,0,0.2532256245613098,-0.08259856700897217,0.1375742107629776,0.215715229511261,0.8234345316886902,0.07435549795627594,0.15033921599388123,,0.048988111317157745,0.23522402346134186,0.04562496021389961,0.044523246586322784,0.23532183468341827,0.04505473002791405,0.800004,0.6679952144622803,0.7307738065719604,0.7507234215736389,0.7708698511123657,0.7788746356964111,0.7818735241889954,0.7901841402053833,0.7943567037582397,0.7933557629585266,0.7976378202438354,0.7999835014343262,0.8003230690956116,0.8028983473777771,0.8039272427558899,0.8041603565216064,0.8065967559814453,0.807637095451355,0.807450532913208,0.8096615076065063,0.8114489316940308,0.8108384013175964,0.8131413459777832,0.8143610954284668,0.8145632743835449,0.8151931762695312,0.8154000043869019,0.8165297508239746,0.8184375166893005,0.8188760280609131,0.819354236125946,0.8212424516677856,0.8218347430229187,0.821572482585907
5,13.498002052307129,18.774822235107422,-0.3846591114997864,2.570598466907231,0.3704284429550171,0.7550875544548035,0.4316963851451874,0.08276960253715515,320,0,0,0.31122440099716187,-0.10973453521728516,0.12317799776792526,0.22076433897018433,0.8487644791603088,0.09090909361839294,0.18588875234127045,,0.05230650305747986,0.21780607104301453,0.04554091393947601,0.04881465435028076,0.23840266466140747,0.049176208674907684,0.8000050000000001,0.6295714974403381,0.6956486701965332,0.7291992902755737,0.7512447834014893,0.7644020318984985,0.7728281617164612,0.7804612517356873,0.784397542476654,0.7897654175758362,0.793569803237915,0.7958618998527527,0.7998287677764893,0.8022615909576416,0.8045698404312134,0.8061444163322449,0.8080831170082092,0.8100287318229675,0.8116313219070435,0.8138205409049988,0.8144433498382568,0.8157366514205933,0.8175065517425537,0.8179850578308105,0.8184686899185181,0.8192086815834045,0.8204525113105774,0.8210589289665222,0.8219202756881714,0.8227012753486633,0.824020266532898,0.8247060179710388,0.825134813785553,0.8261110782623291
6,13.477442741394043,18.767602920532227,-0.3874230682849884,2.5344784766550776,0.360098272562027,0.7475213408470154,0.4082161784172058,0.08741550892591476,384,0,0,0.32040536403656006,-0.08255469799041748,0.12518920004367828,0.23338185250759125,0.8369351625442505,0.09742198139429092,0.19945727288722992,,0.049556415528059006,0.21178315579891205,0.04717355594038963,0.05581887066364288,0.24600736796855927,0.05585120990872383,0.800006,0.6399017572402954,0.6976059675216675,0.7176850438117981,0.7506864070892334,0.7614781260490417,0.7652143836021423,0.7782564759254456,0.7828652858734131,0.7831923961639404,0.7913030385971069,0.7956751585006714,0.7949559688568115,0.8012011051177979,0.803672730922699,0.8039370179176331,0.8089331984519958,0.8105724453926086,0.8106520771980286,0.8140590190887451,0.8154076933860779,0.8152136206626892,0.8194751143455505,0.8206484913825989,0.820327639579773,0.8230934143066406,0.8233593702316284,0.823397696018219,0.8266128897666931,0.8275666236877441,0.8274868130683899,0.8296064138412476,0.8296446204185486,0.8293318152427673
7,13.431167602539062,18.239137649536133,-0.3988574743270874,2.6529996959162614,0.35984939336776733,0.7587068676948547,0.3828110992908478,0.051611609756946564,448,0,1,0.3309035301208496,-0.03844344615936279,0.1398187279701233,0.2149544358253479,0.8470365405082703,0.057801902294158936,0.15061059594154358,,0.04606766253709793,0.20287089049816132,0.04908916726708412,0.04561477527022362,0.2399139106273651,0.046352796256542206,0.800007,0.6401506066322327,0.690482497215271,0.7131455540657043,0.7379688024520874,0.7468244433403015,0.7510571479797363,0.7625429034233093,0.7684354782104492,0.7716872096061707,0.7784116268157959,0.7825920581817627,0.7825214862823486,0.7873871922492981,0.79045569896698,0.7924050092697144,0.796830952167511,0.7988662719726562,0.7996944189071655,0.8025021553039551,0.8045493960380554,0.8059338927268982,0.8094152212142944,0.8113512396812439,0.8126834034919739,0.8149750232696533,0.817057728767395,0.8161672949790955,0.8184962272644043,0.8197093605995178,0.8190500140190125,0.8196563124656677,0.8206461071968079,0.8209248185157776
8,13.447202682495117,18.045202255249023,-0.3980047404766083,2.592025794139932,0.3519963324069977,0.750001072883606,0.3804056942462921,0.035498570650815964,512,0,0,0.3475803732872009,-0.04666423797607422,0.13029898703098297,0.2535625100135803,0.8629795908927917,0.10909091681241989,0.2116689383983612,,0.040023088455200195,0.1971479058265686,0.050886187702417374,0.05443590506911278,0.26768961548805237,0.05472506955265999,0.800008,0.6480036973953247,0.7030287384986877,0.7110962867736816,0.7474440336227417,0.7596691250801086,0.7565848231315613,0.7720249891281128,0.7768632769584656,0.7740686535835266,0.7838314771652222,0.7871902585029602,0.7846789956092834,0.7917383313179016,0.7935240268707275,0.7917478084564209,0.7977228164672852,0.7989779114723206,0.7976726293563843,0.8025079965591431,0.8045170903205872,0.8029552102088928,0.8068662285804749,0.8079937100410461,0.8068093657493591,0.810308575630188,0.8115684986114502,0.8110010623931885,0.8134072422981262,0.8142185211181641,0.8140953183174133,0.8162816762924194,0.8167131543159485,0.8165379166603088
9,13.363478660583496,18.838422775268555,-0.33883243799209595,2.439813271681548,0.4258367419242859,0.7646691799163818,0.4619447588920593,0.030092325061559677,576,0,1,0.4222797751426697,-0.06808078289031982,0.11252132803201675,0.20845666527748108,0.9015450477600098,0.09606513381004333,0.22795116901397705,,0.04098819941282272,0.21067562699317932,0.058693576604127884,0.058248769491910934,0.22446775436401367,0.0591890811920166,0.8000090000000001,0.5741631984710693,0.6320370435714722,0.6629027128219604,0.6842348575592041,0.698066771030426,0.7071618437767029,0.7159309387207031,0.7219502925872803,0.7265611886978149,0.7329934239387512,0.7379189133644104,0.7416443824768066,0.7457329034805298,0.7494189739227295,0.7514967918395996,0.7544335126876831,0.7575325965881348,0.7599017024040222,0.7627153992652893,0.7652823328971863,0.7676442265510559,0.7701410055160522,0.7726998925209045,0.7740464210510254,0.7770127654075623,0.7790899276733398,0.7805773615837097,0.7817534804344177,0.7836866974830627,0.7842886447906494,0.7871206402778625,0.7882139086723328,0.7892828583717346
10,13.366816520690918,18.284587860107422,-0.34746938943862915,2.4539210135800777,0.41354280710220337,0.7610121965408325,0.430996298789978,0.02202281542122364,640,0,1,0.40876537561416626,-0.03159928321838379,0.12037783861160278,0.22341445088386536,0.8885921835899353,0.11451832205057144,0.23609226942062378,,0.041549526154994965,0.1944565325975418,0.05782308056950569,0.05820184946060181,0.24016033113002777,0.059495024383068085,0.80001,0.5864571928977966,0.6380048990249634,0.6652035117149353,0.6899780631065369,0.7040531635284424,0.7126872539520264,0.7239751815795898,0.7318819165229797,0.7361610531806946,0.743338406085968,0.7489520907402039,0.7509474158287048,0.7564718723297119,0.761192262172699,0.7634183764457703,0.7673207521438599,0.77054363489151,0.7729053497314453,0.7762386798858643,0.7786263823509216,0.7805607914924622,0.7843266725540161,0.7861173748970032,0.7878457903862,0.7903452515602112,0.7922192811965942,0.7940153479576111,0.7971591353416443,0.7996184825897217,0.8004855513572693,0.804009199142456,0.8059248924255371,0.807155430316925
