step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3,cos_err_d4,cos_err_d5,cos_err_d6,cos_err_d7,cos_err_d8,cos_err_d9,cos_err_d10,cos_err_d11,cos_err_d12,cos_err_d13,cos_err_d14,cos_err_d15,cos_err_d16,cos_err_d17,cos_err_d18,cos_err_d19,cos_err_d20,cos_err_d21,cos_err_d22,cos_err_d23,cos_err_d24,cos_err_d25,cos_err_d26,cos_err_d27,cos_err_d28,cos_err_d29,cos_err_d30,cos_err_d31,cos_err_d32
1,14.414872169494629,20.422948837280273,-0.39181289076805115,2.679469557243889,0.3748914897441864,0.7667043805122375,0.48369428515434265,0.22928333282470703,64,0,0,0.04891079664230347,-0.2238447666168213,0.08928349614143372,0.12022946774959564,0.7446056008338928,0.05861601233482361,0.127544105052948,,0.05747028440237045,0.3588571548461914,0.048744771629571915,0.05335357040166855,0.1178552433848381,0.05386696010828018,0.8000010000000001,0.6251084804534912,0.7509786486625671,0.8104042410850525,0.8552135825157166,0.8803504109382629,0.8976685404777527,0.9153717160224915,0.9259628057479858,0.9320966601371765,0.9386222958564758,0.9442779421806335,0.9461115002632141,0.9519343972206116,0.9547792673110962,0.9564658999443054,0.9600200653076172,0.9626860022544861,0.9637220501899719,0.967057466506958,0.967932939529419,0.9676363468170166,0.9699741005897522,0.9717057943344116,0.9725203514099121,0.9743372797966003,0.9752528071403503,0.976202666759491,0.9779332280158997,0.9793280959129333,0.9791899919509888,0.9810478091239929,0.9814161658287048,0.9819657802581787
2,13.978572845458984,18.337263107299805,-0.43644651770591736,2.8406832216165396,0.32644233107566833,0.7628888487815857,0.38494768738746643,0.1247837245464325,128,0,0,0.2178073525428772,-0.09790551662445068,0.1367037445306778,0.20729820430278778,0.7950321435928345,0.061058346182107925,0.13242876529693604,,0.048167698085308075,0.2484062910079956,0.052769552916288376,0.05146224424242973,0.22773653268814087,0.05206983536481857,0.800002,0.6735576391220093,0.7585745453834534,0.7950983643531799,0.8271895051002502,0.8409218192100525,0.8483532667160034,0.857388436794281,0.8629680275917053,0.8655985593795776,0.8708893656730652,0.8744405508041382,0.8743725419044495,0.878765344619751,0.8795804977416992,0.8800691366195679,0.8824649453163147,0.8848471641540527,0.8852339386940002,0.8879563212394714,0.8896751999855042,0.8894795179367065,0.8921719193458557,0.8928813934326172,0.8930609226226807,0.8942685127258301,0.8955173492431641,0.8951676487922668,0.8963894248008728,0.8968056440353394,0.8973048329353333,0.8981212377548218,0.8981877565383911,0.8977883458137512
3,13.684186935424805,18.79587173461914,-0.4264819920063019,2.813321200902811,0.3383241593837738,0.7648061513900757,0.37753555178642273,0.12481536716222763,192,0,1,0.24393218755722046,-0.06467700004577637,0.14362163841724396,0.18078336119651794,0.7805004715919495,0.051560383290052414,0.11180461943149567,,0.04678206518292427,0.2346719205379486,0.04431667923927307,0.04557524621486664,0.20597100257873535,0.04627415910363197,0.800003,0.6616758704185486,0.7434307336807251,0.764091968536377,0.8009757995605469,0.8099780082702637,0.8094955682754517,0.8221246004104614,0.8258960247039795,0.8244852423667908,0.8338379859924316,0.8361461162567139,0.8339267373085022,0.839024543762207,0.8411591649055481,0.8394580483436584,0.8436065316200256,0.8441904187202454,0.8429890871047974,0.8461335897445679,0.846826434135437,0.8449025750160217,0.8476465344429016,0.8478971123695374,0.8459643721580505,0.8489022254943848,0.8496288657188416,0.8490590453147888,0.8517293930053711,0.8514127731323242,0.8487406373023987,0.8502068519592285,0.8494532108306885,0.8484529852867126
4,13.515763282775879,18.094491958618164,-0.44698524475097656,2.764807435793889,0.29973769187927246,0.746722936630249,0.32508692145347595,0.09689464420080185,256,0,1,0.21817302703857422,-0.03816640377044678,0.1609288603067398,0.22209779918193817,0.7791898250579834,0.04314789921045303,0.10610584169626236,,0.04649665951728821,0.21983429789543152,0.052704110741615295,0.05211823061108589,0.2469681203365326,0.05297425389289856,0.800004,0.7002623081207275,0.7567839622497559,0.7767720222473145,0.7975524067878723,0.8069946765899658,0.808796226978302,0.8184171319007874,0.8221798539161682,0.8214027881622314,0.8269585371017456,0.8290256857872009,0.8289819359779358,0.8325251340866089,0.8328090310096741,0.8329084515571594,0.8363483548164368,0.8365504145622253,0.8370357155799866,0.8388043642044067,0.8394227027893066,0.8383864760398865,0.8409530520439148,0.842046320438385,0.8413590788841248,0.8420554995536804,0.8428018093109131,0.8427407145500183,0.8435301184654236,0.8446736335754395,0.8444499969482422,0.8447996377944946,0.8447045683860779,0.8447167277336121
5,13.457572937011719,18.211647033691406,-0.4104084074497223,2.523056615459482,0.320127934217453,0.7305363416671753,0.37377193570137024,0.07781538367271423,320,0,0,0.26620030403137207,-0.08705902099609375,0.15461337566375732,0.2441699206829071,0.8191881775856018,0.0892808735370636,0.17883311212062836,,0.04849880933761597,0.203256294131279,0.05310707539319992,0.0569976344704628,0.2646870017051697,0.05755479261279106,0.8000050000000001,0.6798720359802246,0.7525668144226074,0.7868182063102722,0.8083330988883972,0.8189701437950134,0.8256425857543945,0.8324023485183716,0.8360318541526794,0.8403735160827637,0.84401535987854,0.8467203974723816,0.8493038415908813,0.8521855473518372,0.854121208190918,0.855840265750885,0.8574497699737549,0.8591067790985107,0.8604808449745178,0.8617334365844727,0.8625279664993286,0.8632341623306274,0.8645147085189819,0.865241527557373,0.8652202486991882,0.8664200305938721,0.8669474720954895,0.867746889591217,0.8681350946426392,0.868590772151947,0.869239330291748,0.8706614375114441,0.8716188073158264,0.8719267845153809
6,13.472883224487305,18.205652236938477,-0.4201202094554901,2.4965790858282872,0.299159437417984,0.7192796468734741,0.3483950197696686,0.07318905740976334,384,0,0,0.24721753597259521,-0.07667732238769531,0.15197718143463135,0.2616267800331116,0.8056392073631287,0.07679783552885056,0.1620081514120102,,0.04628689959645271,0.19267526268959045,0.05420906841754913,0.06313429027795792,0.27798640727996826,0.06323011964559555,0.800006,0.7008405327796936,0.7655126452445984,0.7841552495956421,0.8145290017127991,0.8253905773162842,0.8273383378982544,0.8404389023780823,0.8450633883476257,0.8436139225959778,0.8518717885017395,0.8545254468917847,0.8535383343696594,0.859186053276062,0.861070990562439,0.8601677417755127,0.8644565343856812,0.8656085729598999,0.8650020956993103,0.8681082129478455,0.8691429495811462,0.8685150146484375,0.8721272349357605,0.8721683025360107,0.8712601661682129,0.8734073042869568,0.873210072517395,0.8730461001396179,0.8749311566352844,0.8747801184654236,0.8753177523612976,0.8773645758628845,0.8780388832092285,0.8778335452079773
7,13.44844913482666,17.89589500427246,-0.43029874563217163,2.550154119681905,0.29211676120758057,0.7224155068397522,0.3203403651714325,0.05465002357959747,448,0,0,0.23180556297302246,-0.04259967803955078,0.16200566291809082,0.24396288394927979,0.793066680431366,0.06268656998872757,0.13405698537826538,,0.046743668615818024,0.18526580929756165,0.05869079381227493,0.058153700083494186,0.2645449638366699,0.05843576788902283,0.800007,0.7078832387924194,0.7695106863975525,0.7887398600578308,0.8158168196678162,0.8233345746994019,0.8264299035072327,0.8370746374130249,0.8411168456077576,0.84233158826828,0.8487611413002014,0.8511660695075989,0.8499498963356018,0.8557146787643433,0.8581770062446594,0.8579199910163879,0.8624418377876282,0.8637811541557312,0.863898515701294,0.8665030598640442,0.8676902651786804,0.8682377934455872,0.8708259463310242,0.8714371919631958,0.8722410202026367,0.8747165203094482,0.8758558630943298,0.8761290907859802,0.8781712055206299,0.8789612054824829,0.8793746829032898,0.8811063766479492,0.8810069561004639,0.8814536929130554
8,13.463751792907715,18.034467697143555,-0.42457184195518494,2.5533097110239527,0.3020944893360138,0.7266663312911987,0.3322678506374359,0.028320161625742912,512,0,1,0.3046962022781372,-0.046184420585632324,0.15846846997737885,0.23989757895469666,0.8077042698860168,0.08493894338607788,0.16282226145267487,,0.040209248661994934,0.18461470305919647,0.0568288192152977,0.06173234432935715,0.25954335927963257,0.06225789710879326,0.800008,0.6979054808616638,0.7551977038383484,0.7678858041763306,0.8043520450592041,0.8191439509391785,0.8189713954925537,0.8356726765632629,0.8411716818809509,0.8406655788421631,0.8505457043647766,0.855259358882904,0.8547407984733582,0.862176239490509,0.8654854893684387,0.8656839728355408,0.8720917105674744,0.8745374083518982,0.8736817240715027,0.8784628510475159,0.881464958190918,0.8806993365287781,0.8848978877067566,0.8864828944206238,0.886605441570282,0.8895697593688965,0.8911226987838745,0.8910992741584778,0.8939415216445923,0.8949114084243774,0.8946040868759155,0.8979650139808655,0.8990522623062134,0.8993391394615173
9,13.5072603225708,17.844776153564453,-0.40924370288848877,2.5145102227680893,0.3205410838127136,0.7297847867012024,0.3453614115715027,0.0199871975928545,576,0,0,0.30237454175949097,-0.03842175006866455,0.15875692665576935,0.2548259496688843,0.8357746601104736,0.0982360988855362,0.19050204753875732,,0.03772151097655296,0.17478018999099731,0.07170908898115158,0.07203661650419235,0.274935245513916,0.07225612550973892,0.8000090000000001,0.6794589757919312,0.7375437617301941,0.7676547765731812,0.7962015867233276,0.81134432554245,0.8208862543106079,0.8352664709091187,0.8436993956565857,0.8499831557273865,0.8593865633010864,0.8654637336730957,0.8689756393432617,0.8753550052642822,0.8801616430282593,0.8828219771385193,0.8877628445625305,0.8918758034706116,0.8938902616500854,0.8984038233757019,0.9017266035079956,0.9041814208030701,0.907588541507721,0.9098477959632874,0.9114062786102295,0.914546549320221,0.9168241024017334,0.917786180973053,0.9200325012207031,0.9215028882026672,0.9232889413833618,0.9257685542106628,0.9268168807029724,0.9277662038803101
10,13.439854621887207,18.049495697021484,-0.37901240587234497,2.3021600368606974,0.32992321252822876,0.7089356184005737,0.3752678334712982,0.011781427077949047,640,0,0,0.3107125163078308,-0.07367169857025146,0.15265485644340515,0.2598435878753662,0.8514771461486816,0.11451832205057144,0.19782903790473938,,0.043074432760477066,0.15572801232337952,0.06555851548910141,0.07083141803741455,0.27389445900917053,0.07087691128253937,0.80001,0.6700767278671265,0.7389190196990967,0.7662992477416992,0.7931888699531555,0.8085607290267944,0.8158827424049377,0.827701210975647,0.8346008062362671,0.8386096358299255,0.8452699184417725,0.849847137928009,0.8524932861328125,0.8572887778282166,0.86040198802948,0.8624846339225769,0.8669262528419495,0.8698899149894714,0.8719612956047058,0.8747056126594543,0.8774332404136658,0.87888103723526,0.8816324472427368,0.8839352130889893,0.8846466541290283,0.8865817785263062,0.8883255124092102,0.8886749148368835,0.8902729749679565,0.8911542892456055,0.8924615383148193,0.8945303559303284,0.8962147831916809,0.8970511555671692
