step,loss,loss_tau_ref,gap,gap_ratio,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1,top3,cpc_aux,sigreg_e,sigreg_h,u_temporal_e,u_batch_e,u_batchtime,u_batchtime_e,ema_tau,cos_err_d0,cos_err_d1,cos_err_d2,cos_err_d3,cos_err_d4,cos_err_d5,cos_err_d6,cos_err_d7,cos_err_d8,cos_err_d9,cos_err_d10,cos_err_d11,cos_err_d12,cos_err_d13,cos_err_d14,cos_err_d15,cos_err_d16,cos_err_d17,cos_err_d18,cos_err_d19,cos_err_d20,cos_err_d21,cos_err_d22,cos_err_d23,cos_err_d24,cos_err_d25,cos_err_d26,cos_err_d27,cos_err_d28,cos_err_d29,cos_err_d30,cos_err_d31,cos_err_d32
1,17.987823486328125,20.217866897583008,-0.37705084681510925,2.5106503626259995,0.37335410714149475,0.750404953956604,0.46970441937446594,0.185420423746109,64,0,0,0.14891290664672852,-0.18703186511993408,0.10203442722558975,0.13510631024837494,0.7701297402381897,0.06702849268913269,0.1389416605234146,,0.06144668161869049,0.3038676381111145,0.043230973184108734,0.047041527926921844,0.14051418006420135,0.04729524627327919,0.8000010000000001,0.6266458630561829,0.7347619533538818,0.7927722334861755,0.8382079005241394,0.8664324283599854,0.8868041038513184,0.9058005809783936,0.9202150106430054,0.9266713857650757,0.9375289678573608,0.9443458318710327,0.9481378793716431,0.9552653431892395,0.9595885276794434,0.9631299376487732,0.9670666456222534,0.9698864221572876,0.9719409346580505,0.9753957390785217,0.9768878817558289,0.9778645038604736,0.9805194139480591,0.9834418296813965,0.9841694831848145,0.9858204126358032,0.9865502119064331,0.9871467351913452,0.9888765215873718,0.9905620813369751,0.9909584522247314,0.9919077754020691,0.9928309917449951,0.9936288595199585
2,16.67930793762207,19.659767150878906,-0.33514273166656494,2.545814741808045,0.44805073738098145,0.7831934690475464,0.49841558933258057,0.283469557762146,128,0,0,0.20401203632354736,-0.10455429553985596,0.08522208780050278,0.1266760528087616,0.7827413082122803,0.06078697741031647,0.13215740025043488,,0.05338989198207855,0.33812636137008667,0.05003567039966583,0.04843364655971527,0.13132867217063904,0.048838455229997635,0.800002,0.5519492626190186,0.6258273720741272,0.6596108675003052,0.6828023791313171,0.6944732666015625,0.7003902196884155,0.7078162431716919,0.7117525935173035,0.7136892080307007,0.7172269821166992,0.7198323011398315,0.7190918922424316,0.722118616104126,0.7225506901741028,0.7234916090965271,0.7253779172897339,0.7269951105117798,0.7277412414550781,0.7294800281524658,0.7310293316841125,0.7308370471000671,0.7330702543258667,0.7342658638954163,0.7349461913108826,0.7365822196006775,0.7380844950675964,0.7399368286132812,0.7411600351333618,0.7422816157341003,0.7425661683082581,0.7448988556861877,0.7464771270751953,0.7467228770256042
3,15.950705528259277,20.691570281982422,-0.27691709995269775,2.4089182296975307,0.5265370011329651,0.8034541010856628,0.5654249787330627,0.36058568954467773,192,0,0,0.3012966513633728,-0.09660792350769043,0.06938820332288742,0.09450243413448334,0.7821780443191528,0.053731344640254974,0.11397558450698853,,0.06325248628854752,0.3839458227157593,0.04150838032364845,0.04399842768907547,0.09702824801206589,0.0444207601249218,0.800003,0.4734630584716797,0.547124445438385,0.5702229738235474,0.5931564569473267,0.6010648012161255,0.6013712882995605,0.6093260645866394,0.6107587218284607,0.6097941398620605,0.6140949726104736,0.6152098774909973,0.6135421395301819,0.6161763668060303,0.617317795753479,0.6156674027442932,0.6177991032600403,0.6180538535118103,0.6160796284675598,0.6177350282669067,0.6175505518913269,0.6161870956420898,0.6172775030136108,0.6176795363426208,0.6161384582519531,0.6178426146507263,0.6176992654800415,0.6169924736022949,0.6180537343025208,0.617947518825531,0.6158298850059509,0.6162183284759521,0.616187572479248,0.6153702735900879
4,15.497952461242676,19.93813705444336,-0.31042391061782837,2.5540175660816775,0.48982036113739014,0.8002442717552185,0.5007414221763611,0.3341466188430786,256,0,1,0.2502043843269348,-0.0239565372467041,0.08278097957372665,0.11490337550640106,0.7702921628952026,0.040976934134960175,0.09226594865322113,,0.060244884341955185,0.35616111755371094,0.0499081090092659,0.04838139936327934,0.1214320957660675,0.049318503588438034,0.800004,0.5101796388626099,0.5607360005378723,0.581657350063324,0.5989306569099426,0.607037365436554,0.6091520190238953,0.6146547794342041,0.6164333820343018,0.6162198185920715,0.6187031865119934,0.6191983819007874,0.6187588572502136,0.6208330392837524,0.620429515838623,0.6198064684867859,0.6207288503646851,0.620464026927948,0.6191931962966919,0.6194977164268494,0.6191401481628418,0.6177072525024414,0.6190193295478821,0.618482768535614,0.6170540452003479,0.6174134612083435,0.6172980666160583,0.6161060333251953,0.6164765357971191,0.6163459420204163,0.6155116558074951,0.6154734492301941,0.615077555179596,0.6145918965339661
5,15.369512557983398,19.396699905395508,-0.31464460492134094,2.443507435668018,0.46738311648368835,0.7820277214050293,0.48774564266204834,0.27446499466896057,320,0,1,0.307914674282074,-0.04296588897705078,0.09341706335544586,0.14414861798286438,0.7977417707443237,0.0618724599480629,0.12211669236421585,,0.05589034780859947,0.31545761227607727,0.05316263809800148,0.05135246738791466,0.15599174797534943,0.05182575061917305,0.8000050000000001,0.5326168537139893,0.5938693881034851,0.6236307621002197,0.6438034772872925,0.6548680067062378,0.66069495677948,0.6663814187049866,0.6689328551292419,0.6720606684684753,0.6743928790092468,0.6754959225654602,0.6776557564735413,0.6789297461509705,0.6798766255378723,0.6800960302352905,0.680510401725769,0.6813803911209106,0.6815453171730042,0.6814913153648376,0.6815066337585449,0.681256115436554,0.6810603737831116,0.6807329654693604,0.6805969476699829,0.6801153421401978,0.6797605752944946,0.6787277460098267,0.6793520450592041,0.6786534190177917,0.6790963411331177,0.6782227158546448,0.6778951287269592,0.6771632432937622
6,15.444517135620117,19.66368865966797,-0.3389453589916229,2.4347151515335006,0.42480888962745667,0.7637542486190796,0.46369245648384094,0.19298529624938965,384,0,0,0.324529230594635,-0.07679235935211182,0.10364705324172974,0.17915159463882446,0.808617115020752,0.07055631279945374,0.1421981006860733,,0.058923110365867615,0.2829785943031311,0.05337319150567055,0.059578631073236465,0.19136470556259155,0.05979178845882416,0.800006,0.5751911401748657,0.6503860354423523,0.6831369400024414,0.717592716217041,0.7333914637565613,0.7402699589729309,0.7528447508811951,0.7590740919113159,0.7599496841430664,0.7671487927436829,0.7709519863128662,0.7711647748947144,0.7752108573913574,0.7772735357284546,0.7759855389595032,0.7792754769325256,0.7808365225791931,0.7795769572257996,0.7823969721794128,0.783825159072876,0.7830710411071777,0.7856070399284363,0.7860525250434875,0.7850881814956665,0.7870230078697205,0.7874771356582642,0.7864375114440918,0.7879812121391296,0.7887927889823914,0.7878764271736145,0.7895386219024658,0.7895929217338562,0.7889054417610168
7,15.634803771972656,18.994739532470703,-0.3660688102245331,2.481130441933616,0.3867761790752411,0.7528449892997742,0.42488670349121094,0.13489966094493866,448,0,0,0.2830461859703064,-0.0692669153213501,0.11801416426897049,0.18436789512634277,0.8217867612838745,0.06811397522687912,0.14654003083705902,,0.05536460131406784,0.2608949840068817,0.05645396187901497,0.05539023131132126,0.20163635909557343,0.0556657537817955,0.800007,0.6132237911224365,0.7013640999794006,0.7479736804962158,0.7920677065849304,0.8138071894645691,0.8265560269355774,0.8435364365577698,0.8539624214172363,0.8607046008110046,0.8696185946464539,0.8759922385215759,0.8783775568008423,0.8841290473937988,0.888780415058136,0.890620768070221,0.8953099846839905,0.8976448178291321,0.8994311690330505,0.9025732278823853,0.9043604731559753,0.9045640230178833,0.9081383943557739,0.9096090793609619,0.9101295471191406,0.912311851978302,0.9145406484603882,0.9149349331855774,0.9165962338447571,0.9173418879508972,0.9175989031791687,0.9189722537994385,0.9198528528213501,0.9192726612091064
8,15.743095397949219,18.913352966308594,-0.36388522386550903,2.4641207753508922,0.3875797986984253,0.7514650225639343,0.43563148379325867,0.07990433275699615,512,0,1,0.3231218457221985,-0.08847355842590332,0.11622947454452515,0.18546143174171448,0.8468906283378601,0.05915875360369682,0.1563093662261963,,0.0480620414018631,0.23498666286468506,0.055153943598270416,0.0608191192150116,0.20573218166828156,0.06187121197581291,0.800008,0.6124202013015747,0.7017103433609009,0.7340996861457825,0.7845511436462402,0.8077642917633057,0.8137445449829102,0.834334671497345,0.8442879915237427,0.8464654088020325,0.858283281326294,0.8645698428153992,0.865228533744812,0.8735425472259521,0.8776736259460449,0.8776286840438843,0.8841850161552429,0.8873977065086365,0.8866342902183533,0.8919461965560913,0.8946323990821838,0.8940914869308472,0.8986461162567139,0.8999491333961487,0.8997809886932373,0.9027613997459412,0.9033970236778259,0.902252733707428,0.9046630859375,0.9060773849487305,0.9064473509788513,0.9100000858306885,0.9112090468406677,0.9092384576797485
9,15.991732597351074,18.903562545776367,-0.346707284450531,2.4835065005614685,0.4195847511291504,0.7662920355796814,0.463140606880188,0.06035856902599335,576,0,1,0.3372446298599243,-0.08343613147735596,0.10825750231742859,0.1830151528120041,0.8673707842826843,0.08493894338607788,0.1970149278640747,,0.04944154620170593,0.2264193445444107,0.06408701092004776,0.063505157828331,0.20157888531684875,0.06492099165916443,0.8000090000000001,0.5804151892662048,0.66751629114151,0.7238859534263611,0.7669451236724854,0.7948278784751892,0.8149166703224182,0.8341779112815857,0.8478682637214661,0.8589511513710022,0.8708533644676208,0.8798626661300659,0.8866892457008362,0.8938105702400208,0.8999997973442078,0.9046742916107178,0.9103943109512329,0.9142850041389465,0.9175676703453064,0.9218835830688477,0.9253413677215576,0.9282196164131165,0.9315386414527893,0.9339527487754822,0.9356150031089783,0.9386338591575623,0.9410467743873596,0.9427148699760437,0.9449883699417114,0.9465007781982422,0.9481388926506042,0.9505578279495239,0.952573835849762,0.9537879824638367
10,16.093780517578125,19.022340774536133,-0.35179591178894043,2.477953606704954,0.41017502546310425,0.7619709372520447,0.453439861536026,0.052960388362407684,640,0,1,0.35257434844970703,-0.08321154117584229,0.11668536067008972,0.18083080649375916,0.8641349673271179,0.08900950103998184,0.18588875234127045,,0.04590238630771637,0.23379409313201904,0.060411401093006134,0.06167428940534592,0.19827336072921753,0.06329824030399323,0.80001,0.5898249745368958,0.6788397431373596,0.7285526394844055,0.7702860832214355,0.7950846552848816,0.81316739320755,0.8308516144752502,0.8436256647109985,0.8531472086906433,0.8630583882331848,0.8721224665641785,0.8780603408813477,0.8853783011436462,0.8926933407783508,0.8974016904830933,0.9030399918556213,0.9075563549995422,0.9111508131027222,0.9156068563461304,0.9198422431945801,0.9225168824195862,0.9264599084854126,0.9296658635139465,0.9319124817848206,0.9346660375595093,0.9374669194221497,0.9386443495750427,0.9406777620315552,0.9425137639045715,0.9442691802978516,0.9469968676567078,0.948697566986084,0.9501631259918213
