step,layer_idx,block,qk_logit_maxabs,sa_in_maxabs,sa_out_maxabs,resid_post_sa_maxabs,resid_post_ffn_maxabs
200,0,enc,3.099839687347412,5.6001362800598145,9.9296875,6.558825492858887,6.454960823059082
200,1,enc,2.630612850189209,5.947709560394287,5.7421875,8.214058876037598,7.656477928161621
200,2,enc,2.220088481903076,5.45088005065918,9.375,7.760406970977783,7.656477928161621
200,0,fcst,2.8598968982696533,5.825037002563477,2.060546875,8.244958877563477,9.30879020690918
200,1,fcst,2.6995816230773926,5.835136890411377,2.205078125,11.498903274536133,12.974597930908203
200,2,fcst,2.7378833293914795,6.2117600440979,2.265625,15.94559383392334,18.946308135986328
200,0,enc,3.0882105827331543,5.416219234466553,7.87890625,6.103140830993652,4.249820709228516
200,1,enc,2.623952627182007,5.778509616851807,4.69921875,6.523205757141113,6.717689037322998
200,2,enc,2.228404998779297,5.399241924285889,8.2421875,6.055843353271484,4.618917942047119
400,0,enc,3.6348955631256104,6.300536632537842,17.484375,6.313348770141602,5.904998779296875
400,1,enc,3.1928513050079346,5.81240177154541,15.8203125,7.300561904907227,7.015585899353027
400,2,enc,2.101823091506958,5.754490852355957,16.0,7.148784637451172,6.078929901123047
400,0,fcst,3.070430278778076,5.807497024536133,2.314453125,8.522531509399414,9.373580932617188
400,1,fcst,2.8343443870544434,5.898709774017334,2.248046875,12.210044860839844,14.568704605102539
400,2,fcst,2.9255411624908447,5.979629993438721,2.017578125,16.80096435546875,19.66771697998047
400,0,enc,3.6254284381866455,6.303091526031494,14.203125,5.711949348449707,3.3568198680877686
400,1,enc,3.1875553131103516,5.895330429077148,12.7734375,5.677386283874512,5.666769504547119
400,2,enc,2.090299606323242,5.5016255378723145,14.3046875,5.5472612380981445,3.7086174488067627
600,0,enc,3.9506590366363525,6.129457950592041,23.109375,5.508220672607422,5.217918395996094
600,1,enc,3.8209211826324463,5.633907318115234,20.21875,5.918354034423828,5.918354034423828
600,2,enc,2.1501715183258057,5.940998077392578,22.5,5.335434913635254,3.7907028198242188
600,0,fcst,3.266566514968872,5.233581066131592,2.201171875,6.925534248352051,10.776859283447266
600,1,fcst,3.053586006164551,5.566343784332275,2.4453125,14.805774688720703,18.811851501464844
600,2,fcst,2.982433319091797,6.158803939819336,2.849609375,22.197553634643555,26.510086059570312
600,0,enc,3.946146011352539,6.158904552459717,19.375,4.6744842529296875,3.1722874641418457
600,1,enc,3.7889139652252197,5.647814750671387,17.671875,5.15677547454834,3.3740649223327637
600,2,enc,2.1276535987854004,5.827279090881348,19.59375,3.4711687564849854,3.5529558658599854
800,0,enc,4.2527337074279785,6.140048503875732,26.65625,4.699284076690674,3.9466958045959473
800,1,enc,4.147711277008057,5.6976399421691895,19.0625,4.665252685546875,3.810777187347412
800,2,enc,2.2435693740844727,6.239812850952148,28.65625,3.90057635307312,3.382286548614502
800,0,fcst,3.3989474773406982,4.691834449768066,2.103515625,6.003498077392578,11.665750503540039
800,1,fcst,3.366229295730591,4.535881996154785,2.8515625,15.520074844360352,21.548721313476562
800,2,fcst,3.029780149459839,5.72680139541626,3.552734375,24.63326072692871,27.291263580322266
800,0,enc,4.239703178405762,6.156391620635986,23.09375,4.226926803588867,2.8564276695251465
800,1,enc,4.136155128479004,5.637337684631348,16.78125,3.4611973762512207,3.1204721927642822
800,2,enc,2.227684259414673,6.2193732261657715,23.171875,3.060746431350708,3.2766218185424805
1000,0,enc,4.449060916900635,5.834317207336426,29.546875,3.9045634269714355,3.100249767303467
1000,1,enc,4.449721813201904,5.772158622741699,23.046875,3.7143492698669434,2.9978294372558594
1000,2,enc,2.2376580238342285,5.894567966461182,28.1875,3.0886073112487793,3.026487112045288
1000,0,fcst,3.4789202213287354,4.784885406494141,2.435546875,4.870279788970947,11.906676292419434
1000,1,fcst,3.4169561862945557,4.9401044845581055,2.3359375,12.551336288452148,16.219745635986328
1000,2,fcst,3.1196908950805664,4.968042373657227,3.65625,18.901473999023438,23.12155532836914
1000,0,enc,4.455447196960449,5.869079113006592,25.109375,3.5307888984680176,2.592542886734009
