step,layer_idx,block,qk_logit_maxabs,sa_in_maxabs,sa_out_maxabs,resid_post_sa_maxabs,resid_post_ffn_maxabs
200,0,enc,2.812225580215454,5.636855125427246,5.828125,6.14764404296875,5.702010631561279
200,1,enc,2.577805280685425,6.1253180503845215,5.4765625,7.1872711181640625,7.118173599243164
200,2,enc,2.4341988563537598,6.759672164916992,6.9296875,6.540791988372803,5.323503017425537
200,0,fcst,2.7741005420684814,5.594587802886963,1.884765625,7.641571521759033,9.800859451293945
200,1,fcst,2.7467362880706787,5.208951473236084,2.35546875,11.932933807373047,14.312682151794434
200,2,fcst,2.746868848800659,5.972012042999268,2.185546875,17.742233276367188,20.871753692626953
200,0,enc,2.802807331085205,5.60861349105835,5.0546875,5.826094627380371,4.940136909484863
200,1,enc,2.553786277770996,5.91188907623291,4.640625,6.044637680053711,5.826497554779053
200,2,enc,2.4328629970550537,6.650752067565918,5.8671875,5.228719711303711,4.824540138244629
400,0,enc,3.054698944091797,5.563767433166504,6.7109375,6.142973899841309,6.0209221839904785
400,1,enc,3.095374345779419,5.906357288360596,8.3984375,7.167430877685547,6.84401798248291
400,2,enc,2.5330891609191895,6.671931743621826,10.6015625,6.398920059204102,5.2666707038879395
400,0,fcst,3.073374032974243,5.056312084197998,2.0703125,7.356201171875,9.830160140991211
400,1,fcst,2.7164077758789062,5.916884899139404,3.04296875,13.561613082885742,18.00171661376953
400,2,fcst,2.7236669063568115,5.138737678527832,3.0625,20.239864349365234,23.544986724853516
400,0,enc,3.033219337463379,5.507088661193848,5.4296875,5.782536506652832,4.125929832458496
400,1,enc,3.072558879852295,5.525990962982178,6.56640625,5.358708381652832,5.290060997009277
400,2,enc,2.5167343616485596,6.648153781890869,9.0546875,5.251801490783691,4.6300764083862305
600,0,enc,3.3866806030273438,5.732634544372559,11.15625,5.194311141967773,5.003391265869141
600,1,enc,3.5457956790924072,5.746476650238037,11.1328125,5.4826250076293945,5.4826250076293945
600,2,enc,2.6506893634796143,6.550349235534668,13.8984375,5.426552772521973,4.891883373260498
600,0,fcst,3.394392490386963,5.181424617767334,1.9404296875,7.1339545249938965,10.48672103881836
600,1,fcst,2.8457014560699463,5.796139240264893,2.70703125,14.566569328308105,19.601940155029297
600,2,fcst,2.8209125995635986,5.404244899749756,2.552734375,22.690792083740234,26.844438552856445
600,0,enc,3.379228353500366,5.781602382659912,7.87109375,4.971327781677246,3.867539405822754
600,1,enc,3.4816715717315674,5.3101372718811035,8.7890625,4.404096603393555,4.758458614349365
600,2,enc,2.664252519607544,6.481544017791748,12.2890625,5.068206310272217,4.592864513397217
800,0,enc,3.7293283939361572,5.7206597328186035,12.328125,4.025501728057861,4.021064758300781
800,1,enc,3.843834400177002,5.772863864898682,13.828125,5.761562347412109,5.087018013000488
800,2,enc,2.72749924659729,6.111146926879883,16.140625,5.128739356994629,4.910250186920166
800,0,fcst,3.5845394134521484,5.361294746398926,1.7900390625,7.101837158203125,9.990179061889648
800,1,fcst,2.9977779388427734,5.272681713104248,3.19140625,13.292781829833984,17.51358985900879
800,2,fcst,2.77286434173584,5.013084411621094,2.708984375,21.76346206665039,24.56728172302246
800,0,enc,3.7217767238616943,5.774476051330566,10.609375,3.7705650329589844,4.117245197296143
800,1,enc,3.783743381500244,5.207441806793213,10.671875,4.674541473388672,4.680136680603027
800,2,enc,2.7094500064849854,6.334161281585693,14.3828125,4.77354621887207,4.660918235778809
1000,0,enc,4.176548957824707,6.050333499908447,13.3203125,3.2590739727020264,3.6462695598602295
1000,1,enc,4.104530334472656,5.747885227203369,16.984375,4.843741416931152,4.80969762802124
1000,2,enc,2.9391016960144043,5.946690082550049,17.75,4.755029201507568,5.24123477935791
1000,0,fcst,3.7055656909942627,5.473111629486084,1.919921875,7.345564842224121,10.507854461669922
1000,1,fcst,3.01406192779541,5.672099590301514,3.103515625,13.496917724609375,17.322872161865234
1000,2,fcst,2.799450397491455,4.871029376983643,2.830078125,21.478900909423828,24.065706253051758
1000,0,enc,4.160514831542969,6.065219402313232,12.2890625,3.34424090385437,3.6153857707977295
1000,1,enc,4.058084011077881,5.229978084564209,12.640625,4.271709442138672,4.552695274353027
1000,2,enc,2.8887341022491455,6.024259567260742,15.28125,4.5498127937316895,4.9863362312316895
1200,0,enc,4.463019371032715,6.026978969573975,16.171875,2.974260091781616,3.73264741897583
1200,1,enc,4.170140743255615,5.669792175292969,19.6875,4.977827548980713,4.9313249588012695
1200,2,enc,3.0813162326812744,5.877927780151367,17.703125,4.863491058349609,5.5280961990356445
1200,0,fcst,3.922957420349121,5.294523239135742,2.1484375,7.936531066894531,11.4213285446167
1200,1,fcst,3.126272201538086,5.517435073852539,3.38671875,14.265586853027344,18.469493865966797
1200,2,fcst,2.8564209938049316,4.534778594970703,2.53515625,22.578632354736328,25.193649291992188
1200,0,enc,4.445383071899414,6.002902507781982,14.0859375,2.6782617568969727,3.7980732917785645
1200,1,enc,4.140316963195801,5.183306694030762,14.21875,4.326780319213867,4.674561023712158
1200,2,enc,3.0405030250549316,6.037312984466553,15.890625,4.49215841293335,5.219843864440918
1400,0,enc,4.739693641662598,6.3224992752075195,19.765625,2.676905632019043,3.6777217388153076
1400,1,enc,4.249771595001221,5.420347690582275,18.203125,4.287695407867432,4.116370677947998
1400,2,enc,3.2664144039154053,5.577476501464844,18.09375,4.304056644439697,4.158022403717041
1400,0,fcst,3.9826571941375732,5.3872504234313965,2.2421875,6.675451278686523,11.479705810546875
1400,1,fcst,3.134493827819824,5.38948917388916,3.7109375,13.29166316986084,17.939783096313477
1400,2,fcst,2.9137837886810303,5.174436092376709,2.501953125,19.560686111450195,22.084270477294922
1400,0,enc,4.7047624588012695,6.34915828704834,17.984375,2.799407958984375,3.4860873222351074
1400,1,enc,4.23038387298584,5.178225040435791,16.046875,3.893259048461914,4.3140411376953125
1400,2,enc,3.259277105331421,5.518739223480225,15.875,4.0536017417907715,4.4820685386657715
