stop,split,name,n,gm_rel_mase
a08_bb40k_h30k_student,all,all,97,1.230870
a08_bb40k_h30k_student,term,short,55,1.113740
a08_bb40k_h30k_student,term,medium,21,1.420946
a08_bb40k_h30k_student,term,long,21,1.385442
a08_bb40k_h30k_student,term,medium_long,42,1.403082
a08_bb40k_h30k_student,domain,Econ/Fin,6,1.635651
a08_bb40k_h30k_student,domain,Energy,32,1.462623
a08_bb40k_h30k_student,domain,Healthcare,5,1.392554
a08_bb40k_h30k_student,domain,Nature,15,0.902835
a08_bb40k_h30k_student,domain,Sales,4,0.849721
a08_bb40k_h30k_student,domain,Transport,15,1.040428
a08_bb40k_h30k_student,domain,Web/CloudOps,20,1.281700
a095_bb40k_h30k_student,all,all,97,1.190701
a095_bb40k_h30k_student,term,short,55,1.056039
a095_bb40k_h30k_student,term,medium,21,1.412692
a095_bb40k_h30k_student,term,long,21,1.374262
a095_bb40k_h30k_student,term,medium_long,42,1.393344
a095_bb40k_h30k_student,domain,Econ/Fin,6,1.579628
a095_bb40k_h30k_student,domain,Energy,32,1.423413
a095_bb40k_h30k_student,domain,Healthcare,5,1.186398
a095_bb40k_h30k_student,domain,Nature,15,0.867620
a095_bb40k_h30k_student,domain,Sales,4,0.838498
a095_bb40k_h30k_student,domain,Transport,15,1.013295
a095_bb40k_h30k_student,domain,Web/CloudOps,20,1.263105
a09_bb40k_h30k_student,all,all,97,1.181887
a09_bb40k_h30k_student,term,short,55,1.081998
a09_bb40k_h30k_student,term,medium,21,1.332015
a09_bb40k_h30k_student,term,long,21,1.321546
a09_bb40k_h30k_student,term,medium_long,42,1.326770
a09_bb40k_h30k_student,domain,Econ/Fin,6,1.636739
a09_bb40k_h30k_student,domain,Energy,32,1.388603
a09_bb40k_h30k_student,domain,Healthcare,5,1.433384
a09_bb40k_h30k_student,domain,Nature,15,0.868637
a09_bb40k_h30k_student,domain,Sales,4,0.796171
a09_bb40k_h30k_student,domain,Transport,15,0.996611
a09_bb40k_h30k_student,domain,Web/CloudOps,20,1.222811
r100_08_bb40k_h30k_student,all,all,97,1.223467
r100_08_bb40k_h30k_student,term,short,55,1.087959
r100_08_bb40k_h30k_student,term,medium,21,1.442488
r100_08_bb40k_h30k_student,term,long,21,1.411206
r100_08_bb40k_h30k_student,term,medium_long,42,1.426761
r100_08_bb40k_h30k_student,domain,Econ/Fin,6,1.687892
r100_08_bb40k_h30k_student,domain,Energy,32,1.462893
r100_08_bb40k_h30k_student,domain,Healthcare,5,1.182846
r100_08_bb40k_h30k_student,domain,Nature,15,0.884542
r100_08_bb40k_h30k_student,domain,Sales,4,0.822418
r100_08_bb40k_h30k_student,domain,Transport,15,1.033304
r100_08_bb40k_h30k_student,domain,Web/CloudOps,20,1.319223
r100_095_bb40k_h30k_student,all,all,97,1.212978
r100_095_bb40k_h30k_student,term,short,55,1.103532
r100_095_bb40k_h30k_student,term,medium,21,1.397542
r100_095_bb40k_h30k_student,term,long,21,1.348651
r100_095_bb40k_h30k_student,term,medium_long,42,1.372879
r100_095_bb40k_h30k_student,domain,Econ/Fin,6,1.636023
r100_095_bb40k_h30k_student,domain,Energy,32,1.457946
r100_095_bb40k_h30k_student,domain,Healthcare,5,1.341387
r100_095_bb40k_h30k_student,domain,Nature,15,0.874282
r100_095_bb40k_h30k_student,domain,Sales,4,0.806292
r100_095_bb40k_h30k_student,domain,Transport,15,1.026043
r100_095_bb40k_h30k_student,domain,Web/CloudOps,20,1.266961
r100_09_bb40k_h30k_student,all,all,97,1.150687
r100_09_bb40k_h30k_student,term,short,55,1.032670
