stop,head,seed,n,gm_rel_mase,gm_mase,gm_mape_sn,gm_crps_sn,published_gm_rel_mase
200000,student,20260722,97,1.0659633776648791,1.4900842245225134,1.0387535772644925,0.7802123861509332,1.066
200000,student,20260723,97,1.0651652242735468,1.4889685053504542,1.0476807542228455,0.7818268056608504,
200000,student,20260724,97,1.0642406550790195,1.4876760726082876,1.0578283236045378,0.7755112385370415,
200000,teacher,20260722,97,1.08277441949702,1.5135839701579925,1.0813235534104564,0.8019652267452555,1.0828
200000,teacher,20260723,97,1.0809482437909026,1.5110312036484594,1.0879225901041072,0.8066132533276484,
200000,teacher,20260724,97,1.0764326792564136,1.5047190060452034,1.0987042084734515,0.802881574099189,
300000,student,20260722,97,1.0866639928641975,1.519021109965976,1.0734350045979582,0.7869470384865412,1.0867
300000,student,20260723,97,1.0883408769261644,1.521365185324891,1.0899765711160303,0.7922910984737419,
300000,student,20260724,97,1.0841208583060784,1.51546612415193,1.0997664400525804,0.7927448730089869,
300000,teacher,20260722,97,1.1030087430256152,1.541869037840049,1.09272766324556,0.8085509431985208,1.103
300000,teacher,20260723,97,1.0991645350615835,1.5364953132234158,1.0914956707312984,0.8108708116637794,
300000,teacher,20260724,97,1.1004024932600611,1.5382258248158596,1.121679177685701,0.8125697816587432,
450000,student,20260722,97,1.0690836671894788,1.4944460011969936,1.0617963573811933,0.786926918331282,1.0691
450000,student,20260723,97,1.0761068479524452,1.504263534406991,1.080554475285328,0.7877295314512452,
450000,student,20260724,97,1.0778239390010271,1.5066638141325157,1.1003491498868105,0.7951923566865207,
450000,teacher,20260722,97,1.0986029641035626,1.5357103068685725,1.1007203849689189,0.8185138644217471,1.0986
450000,teacher,20260723,97,1.0924394244669628,1.5270944450367752,1.111931824196852,0.8187044804876114,
450000,teacher,20260724,97,1.0944993504800153,1.529973965403091,1.1426288928749455,0.8136062599928388,
665000,student,20260722,97,1.0782920717708753,1.5073182055215153,1.084578872299562,0.7779466495072456,1.0783
665000,teacher,20260722,97,1.1037896978279176,1.5429607155236906,1.0590085632012098,0.8126957137116215,1.1038
