step  200000 reads shard 1280
step  300000 reads shard 1920
step  450000 reads shard 2880
step  665000 reads shard 4256
shard     0  rows  10000  series  9900  families   9  TV from first 0.0000  top: numeric_id 90.9%, resstock_tmy 2.8%, resstock_amy 2.6%
shard     1  rows  10000  series  9896  families   9  TV from first 0.0078  top: numeric_id 91.6%, resstock_amy 2.5%, resstock_tmy 2.2%
shard     2  rows  10000  series  9899  families  11  TV from first 0.0052  top: numeric_id 91.0%, resstock_amy 2.7%, resstock_tmy 2.4%
shard   134  rows  10000  series  9910  families   8  TV from first 0.0073  top: numeric_id 90.2%, resstock_tmy 2.9%, resstock_amy 2.6%
shard   267  rows  10000  series  9917  families   9  TV from first 0.0030  top: numeric_id 91.0%, resstock_tmy 2.7%, resstock_amy 2.6%
shard   401  rows  10000  series  9899  families   8  TV from first 0.0069  top: numeric_id 91.5%, resstock_tmy 2.7%, resstock_amy 2.3%
shard   534  rows  10000  series  9909  families   8  TV from first 0.0053  top: numeric_id 90.5%, resstock_tmy 2.9%, resstock_amy 2.6%
shard   639  rows  10000  series  9904  families  10  TV from first 0.0053  top: numeric_id 90.9%, resstock_amy 2.7%, resstock_tmy 2.3%
shard   668  rows  10000  series  9900  families  12  TV from first 0.0041  top: numeric_id 90.8%, resstock_tmy 2.7%, resstock_amy 2.6%
shard   801  rows  10000  series  9883  families  11  TV from first 0.0051  top: numeric_id 90.9%, resstock_tmy 2.6%, resstock_amy 2.4%
shard   935  rows  10000  series  9921  families  10  TV from first 0.0050  top: numeric_id 90.9%, resstock_amy 2.7%, resstock_tmy 2.4%
shard  1068  rows   1300  series  1298  families   8  TV from first 0.0098  top: numeric_id 90.2%, resstock_amy 3.2%, resstock_tmy 2.6%
shard  1202  rows    785  series   785  families   9  TV from first 0.0173  top: numeric_id 91.3%, resstock_amy 2.2%, comstock_amy 2.0%
shard  1278  rows  10000  series  9895  families   9  TV from first 0.0071  top: numeric_id 90.5%, resstock_tmy 2.8%, resstock_amy 2.5%
shard  1279  rows  10000  series  9917  families  10  TV from first 0.0048  top: numeric_id 90.6%, resstock_tmy 2.7%, resstock_amy 2.6%
shard  1280  rows  10000  series  9892  families   8  TV from first 0.0070  top: numeric_id 91.1%, resstock_tmy 2.4%, resstock_amy 2.4%
shard  1281  rows  10000  series  9909  families   9  TV from first 0.0052  top: numeric_id 91.2%, resstock_amy 2.6%, resstock_tmy 2.5%
shard  1335  rows  10000  series  9899  families  13  TV from first 0.0075  top: numeric_id 90.4%, resstock_tmy 2.9%, resstock_amy 2.5%
shard  1469  rows  10000  series  9894  families  10  TV from first 0.0055  top: numeric_id 90.7%, resstock_tmy 2.6%, resstock_amy 2.5%
