run	verdict	lost_at	floor	floor_step	last	last_step	note
cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_s20_losses.csv	held	-	0.8638	13123	0.9842	40000	held
cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_s22_losses.csv	held	-	0.8944	11688	0.9841	40000	held
cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_s24_losses.csv	held	-	0.8680	12323	0.9587	40000	held
cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_m090_r60_losses.csv	error	-	-	-	-	-	/home/jupyter/checkpoints_backup/cf-409/dec_m090_r60/arm6_v2_combab_alignT/leg_40k/cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_m090_r60_losses.csv: no readable `auc` row above step 1000
cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_m095_fix_losses.csv	error	-	-	-	-	-	/home/jupyter/checkpoints_backup/cf-409/dec_m095_fix/arm6_v2_combab_alignT/leg_40k/cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_m095_fix_losses.csv: no readable `auc` row above step 1000
cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_m099_fix_losses.csv	held	-	0.9049	19755	0.9055	19900	held
cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_m099_fix_r2_losses.csv	held	-	0.9210	20785	0.9695	40000	held
cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_m080_r200_losses.csv	held	-	0.7685	11213	0.9924	40000	held
cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_m070_fix_losses.csv	held	-	0.5732	11452	0.9166	40000	held
cf393_arm6_v2_combab_alignT_cf373k32_cf409_dec_m050_fix_losses.csv	lost	10162	0.5221	10348	0.5233	10600	at step 10162
