arm,ema,ema_at_stop,seed,term,window,blocks,slope_per_10k,scatter
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,30000-40000,1000,+0.1060,0.0634
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,loss,20000-40000,1000,-0.0821,0.0632
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,30000-40000,1000,+0.0504,0.0358
dec_s20,0.9 to 1.0 at 100k,0.940,20260520,cos_err,20000-40000,1000,-0.0710,0.0401
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,30000-40000,1000,+0.0093,0.0232
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,loss,20000-40000,1000,-0.1175,0.0574
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,cos_err,30000-40000,1000,-0.0030,0.0134
dec_s22,0.9 to 1.0 at 100k,0.940,20260522,cos_err,20000-40000,1000,-0.0875,0.0327
dec_s24,0.9 to 1.0 at 100k,0.940,20260524,loss,30000-40000,1000,+0.0713,0.0095
dec_s24,0.9 to 1.0 at 100k,0.940,20260524,loss,20000-40000,1000,-0.0790,0.0534
dec_s24,0.9 to 1.0 at 100k,0.940,20260524,cos_err,30000-40000,1000,+0.0399,0.0064
dec_s24,0.9 to 1.0 at 100k,0.940,20260524,cos_err,20000-40000,1000,-0.0598,0.0312
dec_m099_fix,0.99 fixed,0.990,20260520,loss,30000-40000,1000,-0.2562,0.0124
dec_m099_fix,0.99 fixed,0.990,20260520,loss,20000-40000,1000,-0.2351,0.0598
dec_m099_fix,0.99 fixed,0.990,20260520,cos_err,30000-40000,1000,-0.1719,0.0105
dec_m099_fix,0.99 fixed,0.990,20260520,cos_err,20000-40000,1000,-0.1340,0.0273
dec_m080_r200,0.8 to 1.0 at 200k,0.840,20260520,loss,30000-40000,1000,-0.0876,0.0460
dec_m080_r200,0.8 to 1.0 at 200k,0.840,20260520,loss,20000-40000,1000,-0.1791,0.0815
dec_m080_r200,0.8 to 1.0 at 200k,0.840,20260520,cos_err,30000-40000,1000,-0.0651,0.0209
dec_m080_r200,0.8 to 1.0 at 200k,0.840,20260520,cos_err,20000-40000,1000,-0.1122,0.0317
dec_m070_fix,0.7 fixed,0.700,20260520,loss,30000-40000,1000,-0.2578,0.0739
dec_m070_fix,0.7 fixed,0.700,20260520,loss,20000-40000,1000,-0.1942,0.0769
dec_m070_fix,0.7 fixed,0.700,20260520,cos_err,30000-40000,1000,-0.1912,0.0259
dec_m070_fix,0.7 fixed,0.700,20260520,cos_err,20000-40000,1000,-0.1070,0.0374
dec_ramp30k_m080,0.8 to 1.0 at 200k,0.840,20260520,loss,30000-40000,1000,-0.3885,0.1551
dec_ramp30k_m080,0.8 to 1.0 at 200k,0.840,20260520,loss,20000-40000,1000,-2.2614,0.5578
dec_ramp30k_m080,0.8 to 1.0 at 200k,0.840,20260520,cos_err,30000-40000,1000,-0.2148,0.0875
dec_ramp30k_m080,0.8 to 1.0 at 200k,0.840,20260520,cos_err,20000-40000,1000,-0.1117,0.0677
dec_ramp20k_m080,0.8 to 1.0 at 200k,0.840,20260520,loss,30000-40000,1000,-0.4574,0.0348
dec_ramp20k_m080,0.8 to 1.0 at 200k,0.840,20260520,loss,20000-40000,1000,-0.1634,0.0820
dec_ramp20k_m080,0.8 to 1.0 at 200k,0.840,20260520,cos_err,30000-40000,1000,-0.1869,0.0254
dec_ramp20k_m080,0.8 to 1.0 at 200k,0.840,20260520,cos_err,20000-40000,1000,-0.0438,0.0420
dec_ramp5k_m080,0.8 to 1.0 at 200k,0.840,20260520,loss,30000-40000,1000,-0.2013,0.0557
dec_ramp5k_m080,0.8 to 1.0 at 200k,0.840,20260520,loss,20000-40000,1000,-0.1133,0.0468
dec_ramp5k_m080,0.8 to 1.0 at 200k,0.840,20260520,cos_err,30000-40000,1000,-0.1154,0.0283
dec_ramp5k_m080,0.8 to 1.0 at 200k,0.840,20260520,cos_err,20000-40000,1000,-0.0930,0.0255
dec_m080_r200_s24,0.8 to 1.0 at 200k,0.840,20260524,loss,30000-40000,1000,-0.1862,0.0698
dec_m080_r200_s24,0.8 to 1.0 at 200k,0.840,20260524,loss,20000-40000,1000,-0.3741,0.1278
dec_m080_r200_s24,0.8 to 1.0 at 200k,0.840,20260524,cos_err,30000-40000,1000,-0.0251,0.0351
dec_m080_r200_s24,0.8 to 1.0 at 200k,0.840,20260524,cos_err,20000-40000,1000,-0.1307,0.0619
dec_m090r100_ramp5k,0.9 to 1.0 at 100k,0.940,20260520,loss,30000-40000,1000,+0.0086,0.0197
dec_m090r100_ramp5k,0.9 to 1.0 at 100k,0.940,20260520,loss,20000-40000,1000,-0.0898,0.0491
dec_m090r100_ramp5k,0.9 to 1.0 at 100k,0.940,20260520,cos_err,30000-40000,1000,+0.0076,0.0088
dec_m090r100_ramp5k,0.9 to 1.0 at 100k,0.940,20260520,cos_err,20000-40000,1000,-0.0547,0.0214
dec_m090r100_ramp2k,0.9 to 1.0 at 100k,0.940,20260520,loss,30000-40000,1000,+0.1710,0.0379
dec_m090r100_ramp2k,0.9 to 1.0 at 100k,0.940,20260520,loss,20000-40000,1000,-0.0877,0.0637
dec_m090r100_ramp2k,0.9 to 1.0 at 100k,0.940,20260520,cos_err,30000-40000,1000,+0.0751,0.0233
dec_m090r100_ramp2k,0.9 to 1.0 at 100k,0.940,20260520,cos_err,20000-40000,1000,-0.0529,0.0336
dec_m090r100_ramp1k,0.9 to 1.0 at 100k,0.940,20260520,loss,30000-40000,1000,+0.1305,0.0125
dec_m090r100_ramp1k,0.9 to 1.0 at 100k,0.940,20260520,loss,20000-40000,1000,+0.1104,0.0236
dec_m090r100_ramp1k,0.9 to 1.0 at 100k,0.940,20260520,cos_err,30000-40000,1000,+0.0735,0.0070
dec_m090r100_ramp1k,0.9 to 1.0 at 100k,0.940,20260520,cos_err,20000-40000,1000,+0.0376,0.0176
dec_f094_r2k,0.94 fixed,0.940,20260520,loss,30000-40000,1000,-0.0146,0.0237
dec_f094_r2k,0.94 fixed,0.940,20260520,loss,20000-40000,1000,-0.0299,0.0250
dec_f094_r2k,0.94 fixed,0.940,20260520,cos_err,30000-40000,1000,-0.0045,0.0204
dec_f094_r2k,0.94 fixed,0.940,20260520,cos_err,20000-40000,1000,-0.0230,0.0215
dec_f090_r2k,0.90 fixed,0.900,20260520,loss,30000-40000,1000,+0.1073,0.0278
dec_f090_r2k,0.90 fixed,0.900,20260520,loss,20000-40000,1000,-0.0729,0.0753
dec_f090_r2k,0.90 fixed,0.900,20260520,cos_err,30000-40000,1000,-0.0018,0.0079
dec_f090_r2k,0.90 fixed,0.900,20260520,cos_err,20000-40000,1000,-0.0834,0.0327
dec_f086_r2k,0.86 fixed,0.860,20260520,loss,30000-40000,1000,-0.0106,0.0292
dec_f086_r2k,0.86 fixed,0.860,20260520,loss,20000-40000,1000,-0.0862,0.0341
dec_f086_r2k,0.86 fixed,0.860,20260520,cos_err,30000-40000,1000,-0.0109,0.0145
dec_f086_r2k,0.86 fixed,0.860,20260520,cos_err,20000-40000,1000,-0.0631,0.0205
