run	verdict	lost_at	floor	floor_step	last	last_step	note
cf393_arm6_v2_combab_alignT_cf373k3_cf412_k3_r100_09_losses.csv	held	-	0.9931	1942	0.9988	40000	held
cf393_arm6_v2_combab_alignT_cf373k3_cf412_k3_r100_09_losses.csv	held	-	0.9974	40001	0.9994	100000	held
cf393_arm6_v2_combab_alignT_cf373k3_cf412_k3_r100_09_losses.csv	held	-	0.9992	144399	0.9995	200000	held
cf393_arm6_v2_combab_alignT_cf373k32_cf412_k32_r100_09_losses.csv	held	-	0.6827	20872	0.7732	40000	held
cf393_arm6_v2_combab_alignT_cf373k32_cf412_k32_r200_08_losses.csv	lost	28152	0.5347	28500	0.5347	28500	at step 28152
cf393_arm6_v2_combab_alignT_cf373k3_cf412_k3_r100_09_dec_losses.csv	held	-	0.9797	9690	0.9974	40000	held
cf393_arm6_v2_combab_alignT_cf373k32_cf412_k32_r100_09_dec_losses.csv	lost	18634	0.5014	19100	0.5014	19100	at step 18634
cf393_arm6_v2_combab_alignT_cf373k8_cf412_k8_r100_09_losses.csv	held	-	0.6847	14106	0.7302	40000	held
cf393_arm6_v2_combab_alignT_cf373k3_cf412_k3_r100_09b_losses.csv	held	-	0.9922	1869	0.9982	40000	held
cf393_arm6_v2_combab_alignT_cf373k3_cf412_k3_r100_09_lr33_losses.csv	held	-	0.9913	3337	0.9980	40000	held
cf393_arm6_v2_combab_alignT_cf373k3_cf412_k3_r100_09_lr17_losses.csv	held	-	0.9852	5991	0.9985	40000	held
cf393_arm6_v2_combab_alignT_cf373k3_cf412_k3_r100_09_lr56_losses.csv	held	-	0.9936	34553	0.9956	40000	held
cf393_arm6_v2_combab_alignT_cf373k3_cf412_k3_r100_09_lr56_losses.csv	held	-	0.9956	40001	0.9987	66500	held
cf393_arm6_v2_combab_alignT_cf373k32_cf412_k32_r100_09_lr56_losses.csv	held	-	0.9211	9372	0.9240	9800	held
