dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m_dense/H/long,contrastive_tiny,259810.6478946465,259810.6478946465,298.08458349427326,2.330878902816633,1.754800480308086,0.5904892970606037,14.718923503719031,509.71624252582586,0.8823941655742852,0.5160284789426947,0.3872507639679223,Transport,1
sz_taxi/15T/short,contrastive_tiny,18.808602471600505,18.808602471600505,2.9565146471402395,0.5937814687960999,1236186768496.8357,0.41620596251413167,4.77776218810393,4.336888570346315,0.40551762943155073,0.2764467639970353,0.2189916546377462,Transport,1
sz_taxi/H/short,contrastive_tiny,8.265305327770625,8.265305327770625,2.0109427247457035,0.6169513010198208,1.0741563638322642,0.3124280153691642,4.674181504474217,2.874944404292129,0.267818812219113,0.18733172411195467,0.1486835225102015,Transport,1
bitbrains_fast_storage/5T/medium,contrastive_tiny,3556479.696376492,3556479.696376492,320.4441047356967,1.2986672121141716,6.2115716900000795,0.8275949453216644,29.786803906046718,1885.8631170836584,5.72977303682971,0.9735976988430497,0.7913149334024997,Web/CloudOps,2
bizitobs_application/10S/long,contrastive_tiny,20603662.200201962,20603662.200201962,2357.4548273298474,8.715804485515577,0.12185544291035061,0.1215447143604953,157.2763842029673,4539.125708790401,0.17505593518406273,0.09091760967386457,0.0830863671698703,Web/CloudOps,2
bizitobs_l2c/5T/long,contrastive_tiny,344.14578858094984,344.14578858094984,13.578382456969404,1.288428155089799,0.9799461812302677,1.2414209742769244,40.83240682173117,18.551166771417638,1.0416202801709564,0.7624058752405931,0.7312711412894118,Web/CloudOps,7
bizitobs_service/10S/medium,contrastive_tiny,151417.87054079073,151417.87054079073,132.81468854745467,4.844329745034677,1.121908259760697,0.21285689150943968,90.93829954226356,389.12449234247737,0.29286426269831045,0.0999594643935242,0.08748191289090997,Web/CloudOps,2
covid_deaths/D/short,contrastive_tiny,2569462.1966572236,2569462.1966572236,294.2990463798899,51.447074451484355,0.1503122709560217,0.4371103952214007,1526.3785168859113,1602.9542091579608,0.6031193220679668,0.11073144842429937,0.09999513064908741,Healthcare,1
electricity/15T/long,contrastive_tiny,4037917.1381942364,4037917.1381942364,217.4965742629731,2.797931931751597,0.45866940958771885,0.34024240091894353,21.02065380438384,2009.4569261853403,3.170164732292612,0.34312751875296627,0.2682081652890125,Energy,1
electricity/H/medium,contrastive_tiny,53396430.63465933,53396430.63465933,770.4964526736444,3.0505507447532696,0.6006930820201205,0.31348961218060134,18.300248526868256,7307.2861333506935,2.8522744587785103,0.3007501434096381,0.2293252009979332,Energy,1
electricity/H/long,contrastive_tiny,56322206.06145283,56322206.06145283,783.9339856438999,3.120004183391624,0.6502606413808388,0.32074038482494366,19.408033933830183,7504.812193616362,2.95989575150388,0.30918333646518126,0.23798767660344433,Energy,1
ett1/H/long,contrastive_tiny,391.8936775046314,391.8936775046314,11.2072928080557,1.888943454722491,4074635257242.176,0.6112892112781292,12.953121187470657,19.796304642650643,0.9480021535174148,0.5366929792667838,0.43156976112284856,Energy,7
ett2/15T/medium,contrastive_tiny,14.80596855092189,14.80596855092189,2.5146140615334587,1.0672336673722052,0.16586136469406768,0.191325797948669,9.984625692329722,3.8478524596093715,0.20505902269065335,0.13400833512066962,0.10832971086755357,Energy,7
ett2/H/short,contrastive_tiny,125.70681070400387,125.70681070400387,7.214393222544874,0.8485751913038482,0.14299090837660086,0.126869691492728,6.6689387881585604,11.211904865097807,0.1421981497310649,0.09149857941371914,0.07345580265021869,Energy,7
jena_weather/10T/medium,contrastive_tiny,2684.357840699239,2684.357840699239,17.514200019571714,0.7160656630729637,2.7733939912991286,0.6860350620388225,13.994927683988363,51.81078884459529,0.3179619254168795,0.10748434610912692,0.09318900691209814,Nature,21
jena_weather/D/short,contrastive_tiny,536.205714068287,536.205714068287,11.634498575714598,1.389186814852453,1.0515922814620589,0.46952137501814484,10.5405533895511,23.156116126593574,0.13943766599900295,0.07005869713199687,0.057514926326652324,Nature,21
kdd_cup_2018/H/short,contrastive_tiny,4292.82416416388,4292.82416416388,23.506901481623242,0.9903287498528291,1.111522510640234,0.5144009297807784,9.959733920367638,65.51964716147272,1.371444868825817,0.4920420181676929,0.4068332732152149,Nature,1
