dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/H/medium,contrastive_tiny,154.88838640121412,154.88838640121412,7.745938159233984,1.5538229220760074,0.27285033659927965,0.1593837795652324,35.696695725422174,12.445416280752289,0.2199713336178448,0.13690858614695195,0.12217626688355307,Transport,1
m_dense/D/short,contrastive_tiny,21363.761845198736,21363.761845198736,94.8776033592224,1.299606300589911,0.21445548540464993,0.19089817326819486,9.446967679362777,146.16347644058942,0.25303059812897627,0.16424716565075567,0.12682362385561385,Transport,1
sz_taxi/15T/medium,contrastive_tiny,20.700701785048675,20.700701785048675,3.2692347577524887,0.6392537668531658,12378530565834.541,0.4562522378481551,11.260693696991607,4.549802389670202,0.42343505540136256,0.3042568626522983,0.26247348726930864,Transport,1
sz_taxi/15T/long,contrastive_tiny,19.721638841589403,19.721638841589403,3.2141868503590034,0.6081986742435208,9281940620271.412,0.4511054539964515,10.2735012867167,4.440905182683976,0.4110422730484462,0.2974994093829108,0.2552525231438109,Transport,1
bitbrains_rnd/5T/long,contrastive_tiny,4303972.07100274,4303972.07100274,315.51251046475056,4.383611189898022,6.71254176347166,0.7943733712143788,139.14834118962656,2074.6016656222805,7.947331579248253,1.2086573435350458,1.1308216660590606,Web/CloudOps,2
bizitobs_application/10S/short,contrastive_tiny,14800181.682240522,14800181.682240522,1846.621821193695,6.3424562765893935,0.09191914779001528,0.09196382878436639,141.05368152283734,3847.1004252866237,0.1483672861034334,0.07121682248507348,0.06414000382946759,Web/CloudOps,2
bizitobs_service/10S/long,contrastive_tiny,218826.51076465106,218826.51076465106,135.12944507713513,4.641830813525878,1.226973022575287,0.2208985802797117,150.8467320296648,467.78895964382383,0.3465530161412889,0.10010821289291646,0.09754475788108614,Web/CloudOps,2
car_parts/M/short,contrastive_tiny,1.6184789002442923,1.6184789002442923,0.6814328344786383,1.1423472080293255,0.7186259497406032,1.8056614644357085,21.06781063096599,1.2721945213858974,3.050591960010083,1.6340060354000354,1.3629462323515236,Sales,1
electricity/15T/long,contrastive_tiny,4782673.585935294,4782673.585935294,223.01515261474137,2.9391304527388336,0.5587894781567775,0.3497940495135734,75.62393459839392,2186.9324603049117,3.4501541522095263,0.3518337528778154,0.3239728640581933,Energy,1
ett1/15T/long,contrastive_tiny,28.182429231142258,28.182429231142258,2.8384689317739733,1.7302570570668483,1.1359027670157342,0.5756016658016498,44.83641581176922,5.30871257755986,1.0118458662333405,0.5410149849113535,0.5001300281713548,Energy,7
ett2/H/medium,contrastive_tiny,351.4744514138315,351.4744514138315,12.099488554442567,1.3212645049653913,0.21263291400010662,0.20371078618571198,30.652021754812647,18.747651890672376,0.2526366653905949,0.16304838916103906,0.14755404849382903,Energy,7
ett2/W/short,contrastive_tiny,10463578.935939228,10463578.935939228,2396.1595676967077,1.7941279771832204,0.27430043060657305,0.3209255187197595,9.929154112242019,3234.745575147948,0.2713455620827591,0.20100105236465357,0.15819378514338148,Energy,7
