dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m_dense/H/long,contrastive_tiny,1150658.3110868826,1150658.3110868826,575.8594080991436,4.55439781456491,3.6959423906294737,0.7692230248355016,57.77680479549697,1072.6874246894492,1.8569805041731966,0.9968977629195324,0.8406047577771143,Transport,1
sz_taxi/15T/short,contrastive_tiny,26.516349644728745,26.516349644728745,3.588320063478843,0.7225423346339829,1010497379181.7714,0.5504039577851416,23.81260444524954,5.149402843508046,0.4814911889517885,0.3355232725445412,0.31609290695131625,Transport,1
sz_taxi/H/short,contrastive_tiny,11.667161990186953,11.667161990186953,2.475154136947713,0.7660523861376143,1.259568396776895,0.4188720687512756,24.80030655834422,3.415722762489215,0.3181956533677355,0.23057588175510416,0.2172365068688896,Transport,1
bitbrains_fast_storage/5T/medium,contrastive_tiny,7913701.371323945,7913701.371323945,471.9218910531946,2.945764907554974,11.762317810608478,0.916164299458024,43.71524444565738,2813.130173192123,8.547066470218944,1.433829052782907,1.2977490321714085,Web/CloudOps,2
bizitobs_application/10S/long,contrastive_tiny,50162512.39832064,50162512.39832064,3306.1661836391027,16.217363533390603,0.25008966117660475,0.2078882805633632,227.17826274473066,7082.549851453263,0.27314563800972413,0.12750561457904575,0.11079443797473265,Web/CloudOps,2
bizitobs_l2c/5T/long,contrastive_tiny,420.44535682694,420.44535682694,13.929344932230796,1.3063824185971873,1.0357751284281769,1.1121684194425854,45.15177754405059,20.5047642470461,1.1513118577940222,0.7821118935366772,0.7671999828190966,Web/CloudOps,7
bizitobs_service/10S/medium,contrastive_tiny,271692.0186405678,271692.0186405678,200.38726256438073,8.829285743475964,3.36532353709663,0.29402778613594277,145.32035725494882,521.2408451383753,0.3922981431488545,0.15081617595378444,0.13242892638898987,Web/CloudOps,2
covid_deaths/D/short,contrastive_tiny,59040601.302839056,59040601.302839056,1456.4151422884129,128.99048462346255,0.508856650367047,0.9439408049011762,4248.6748992244875,7683.788213039129,2.891062708769692,0.5479832850171886,0.5287548412231042,Healthcare,1
electricity/15T/long,contrastive_tiny,16984860.12121087,16984860.12121087,388.37800152024414,5.095327878200084,0.980662009980589,0.4705947250369767,72.35453780366268,4121.269236680718,6.501807635762509,0.6127139264214334,0.5239622833509741,Energy,1
electricity/H/medium,contrastive_tiny,212251445.8820505,212251445.8820505,1356.5226620321305,5.114715181073809,1.1371645206353886,0.42665166885815975,84.28566442777449,14568.851906792468,5.686702755187767,0.5294954749355493,0.4623687705937255,Energy,1
electricity/H/long,contrastive_tiny,317097256.83436847,317097256.83436847,1703.683670224827,6.326807460139525,1.43046206232197,0.47661322494390357,82.91068245358285,17807.224849323615,7.023164313481506,0.671932345181719,0.5665542807115206,Energy,1
ett1/H/long,contrastive_tiny,1633.763561421106,1633.763561421106,21.749426153932436,3.362361402540719,13696196763075.053,0.6968807488174696,49.19091315629375,40.419841185005986,1.935618651051782,1.0415329125251935,0.8772874835509321,Energy,7
