dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
electricity/15T/long,contrastive_tiny,4209982.922505163,4209982.922505163,217.6228270259901,2.802176737778698,0.4409591965118276,0.34083177639132267,20.380445545218727,2051.8242913332424,3.237004446566564,0.3433266979697265,0.26977753276710636,Energy,1
electricity/15T/medium,contrastive_tiny,2169796.4630207424,2169796.4630207424,181.12185033328444,2.6267005234974112,0.45920746253326994,0.3364928422156392,20.655183984861832,1473.0228996932608,2.538166838764002,0.3120911931425166,0.2513191524010839,Energy,1
bitbrains_fast_storage/5T/short,contrastive_tiny,1784493.6057374685,1784493.6057374685,192.1388872818109,1.0086565032103851,2.7533798660557087,0.7697996162793653,19.371806809669177,1335.8493948561224,4.1942367228460355,0.6032685870333034,0.49875103814998156,Web/CloudOps,2
loop_seattle/5T/long,contrastive_tiny,172.01980656904558,172.01980656904558,8.50336040427448,1.3147004453759659,0.3093219171630593,0.1798919604551653,15.685096874745543,13.1156321452321,0.23188705979889104,0.15034115174344306,0.12342280761192809,Transport,1
temperature_rain/D/short,contrastive_tiny,175.72932180234434,175.72932180234434,6.543231001362599,1.5961685958742788,86.9384721722229,1.4211230898464124,23.774199617208524,13.25629366762612,1.5606162546090705,0.7703112886919837,0.6200795603203768,Nature,1
loop_seattle/5T/medium,contrastive_tiny,171.52531403753576,171.52531403753576,8.570575937256947,1.323593225826835,0.30646488603151284,0.1831246140732375,15.243671949690086,13.096767312491115,0.23301840540457802,0.1524881591500609,0.12562860257164504,Transport,1
bitbrains_fast_storage/5T/long,contrastive_tiny,3519359.5494014826,3519359.5494014826,331.7148619786362,1.1104194463678414,4.086033946762671,0.8497479110224821,29.70349715368273,1875.9956155069985,4.957696377275846,0.8766233545143948,0.748683277779064,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,contrastive_tiny,3430010.585886612,3430010.585886612,306.22887478513246,1.2044057120547398,5.4171664670915245,0.8216034313803391,32.95025774284454,1852.0287756637617,5.626974962340396,0.9304079039182551,0.7929674365430996,Web/CloudOps,2
bizitobs_application/10S/medium,contrastive_tiny,22694224.373891715,22694224.373891715,2400.0407393105825,8.293317972341786,0.11429373358661905,0.11580830021332539,254.1353809739612,4763.84554471403,0.1870621937057276,0.09424253609076746,0.08675608174325634,Web/CloudOps,2
bizitobs_l2c/5T/long,contrastive_tiny,359.3812119017193,359.3812119017193,13.809025826052391,1.2958438624589654,0.9706345133696207,1.269272300353343,44.697763129649076,18.95735244968873,1.0644269987571986,0.7753561556021467,0.7535358685233059,Web/CloudOps,7
bizitobs_l2c/H/long,contrastive_tiny,230.23257802979373,230.23257802979373,11.590638961388715,1.166622842111017,1.543277355505991,0.9375843266338539,13.19305106107091,15.173416821197318,0.9268360926165109,0.7079896804057164,0.5835517122983451,Web/CloudOps,7
