dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/H/medium,contrastive_tiny,150.731845459337,150.731845459337,9.487562782371223,1.8888123568546333,0.26039195789193403,0.19655384288131222,14.043223497536362,12.277289825500455,0.2169997174224602,0.16769160556315882,0.12802949787291418,Transport,1
m_dense/D/short,contrastive_tiny,23026.191543485464,23026.191543485464,97.95105290801436,1.3422096972859332,0.21313227292980902,0.1972490514951614,9.653436592409463,151.74383527341553,0.262691024711798,0.16956776144245578,0.13134905578664377,Transport,1
sz_taxi/15T/medium,contrastive_tiny,18.18155818598086,18.18155818598086,2.9835126240278647,0.5843806128436193,11725273775472.434,0.4247284517150607,5.087262308965486,4.263983839788897,0.39683486859357897,0.2776656489772245,0.22271017129506923,Transport,1
sz_taxi/15T/long,contrastive_tiny,17.282462257997317,17.282462257997317,2.932840939240613,0.55599331272842,8084298607567.549,0.42144636126470114,4.492127061649066,4.157218091223663,0.3847847011995748,0.27145853301610307,0.21643742768883645,Transport,1
bitbrains_rnd/5T/long,contrastive_tiny,3432928.34024437,3432928.34024437,268.2937954172149,3.854821059809517,4.960289483872662,0.7540570191230694,126.9810439197557,1852.816326634772,7.097721913182064,1.0277730844277708,0.9405692544001114,Web/CloudOps,2
bizitobs_application/10S/short,contrastive_tiny,19300092.915401697,19300092.915401697,2246.7527870750428,7.255697167426447,0.10590343780887539,0.10571637615441085,136.49388096156068,4393.187102252953,0.1694276664631949,0.08664827446993766,0.07595870607992421,Web/CloudOps,2
bizitobs_service/10S/long,contrastive_tiny,199569.7595278402,199569.7595278402,146.2818288196442,4.597328626644893,0.8689904796531779,0.21050361322938885,101.04398005699632,446.7323130554137,0.3309535791845235,0.10837025530211383,0.09840552067872294,Web/CloudOps,2
car_parts/M/short,contrastive_tiny,1.7649962063138371,1.7649962063138371,0.7315233289189936,1.2274303877205262,0.6791939753057573,1.7786529070821362,20.719103309638307,1.328531597785253,3.185682490133673,1.7541179027630664,1.5083078222529924,Sales,1
electricity/15T/long,contrastive_tiny,4009036.6329396092,4009036.6329396092,220.51384250343165,2.863109635991602,0.46529818375645055,0.34643922974642294,23.382122412900177,2002.2578837251733,3.158807359951806,0.3478876294272102,0.27810677764233777,Energy,1
ett1/15T/long,contrastive_tiny,24.458203807506287,24.458203807506287,2.8190780326343394,1.673932417405297,0.8259626038444333,0.6393008537886172,16.313287361262343,4.945523613077415,0.9426216905025749,0.5373190603627307,0.4451771325000132,Energy,7
ett2/H/medium,contrastive_tiny,326.876815518277,326.876815518277,11.634389146248854,1.2773956712692422,0.2098956695361614,0.20365461477445754,10.708217975461594,18.079734940487292,0.24363605496553303,0.15678087554139158,0.12725733799488556,Energy,7
ett2/W/short,contrastive_tiny,6904983.265583747,6904983.265583747,1866.2847366333008,1.3310521038128325,0.21566286131143025,0.2029205197893063,13.78352452876039,2627.7334845040405,0.22042655374026576,0.15655267751469926,0.12953577023563978,Energy,7
jena_weather/H/medium,contrastive_tiny,2232.5806798499966,2232.5806798499966,16.39653082155793,0.8776686271795359,10.453475826980377,0.7016181199432507,14.017772019034572,47.25019237897341,0.28913230713477683,0.10033328007259477,0.0855578838133737,Nature,21
kdd_cup_2018/D/short,contrastive_tiny,2887.813508604997,2887.813508604997,21.338632440355376,1.2147032404267006,0.5233143548138028,0.4781457098998056,16.50506199382771,53.73838021940182,1.2037967970060925,0.4780080322353273,0.4111060781409685,Nature,1
m4_quarterly/Q/short,contrastive_tiny,2908460.4452836136,2908460.4452836136,932.7357066338062,2.4813612954299114,0.18642827384123484,0.16530879712728555,23.86781334585555,1705.420899743994,0.2854574266332531,0.1561235320762187,0.13217186124070865,Econ/Fin,1
saugeen/D/short,contrastive_tiny,1412.814438016988,1412.814438016988,19.73232700665792,4.379676126189351,0.6835890849965696,0.5829410663896704,65.51957543266506,37.587423934302656,1.217465617015353,0.6391347732768,0.5448817271654759,Nature,1
m_dense/H/short,contrastive_tiny,328735.39753669297,328735.39753669297,318.83042738826737,2.507695874430555,1.5222022005616425,0.6251251477841016,24.404430127584007,573.3545129644424,1.01698803521166,0.5655257307365027,0.4680324879814521,Transport,1
sz_taxi/15T/short,contrastive_tiny,19.67138929426382,19.67138929426382,3.0606156838590097,0.6159742521910382,1075596559146.0992,0.43063199804481433,5.029342334678917,4.4352439948963145,0.4147142822757036,0.2861806561519337,0.22865737342606643,Transport,1
