dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny,85.22768732860126,85.22768732860126,5.716560940845447,0.8836620418652992,0.1519649287448054,0.11731708916452568,35.34648167461196,9.23188427833675,0.1583064341412091,0.09802639968307754,0.09802639968307755,Transport,1
loop_seattle/5T/medium,contrastive_tiny,292.36066104509274,292.36066104509274,11.051090866358926,1.6987349769650257,0.3478727055575822,0.24628176530766166,67.94939907860102,17.09855727963891,0.3042184729219607,0.19662161739744968,0.19662161739744966,Transport,1
loop_seattle/5T/long,contrastive_tiny,206.88844395961786,206.88844395961786,9.027955765169553,1.3976676976646056,0.33485606155953385,0.18804595776495434,55.90670790658423,14.383617207073396,0.2543052951232312,0.1596161050567928,0.1596161050567928,Transport,1
loop_seattle/D/short,contrastive_tiny,33.88639631575989,33.88639631575989,4.52784325832922,1.3276476939189217,0.08370925257521038,0.0826108265656212,53.10590775675687,5.821202308437655,0.10403266774113017,0.08091861239643168,0.08091861239643167,Transport,1
loop_seattle/H/short,contrastive_tiny,175.23846761238474,175.23846761238474,8.936495235838802,1.753912721299724,0.2751544529667977,0.1869688874407354,70.15650885198896,13.237766715439003,0.23432193428613451,0.1581850545045755,0.1581850545045755,Transport,1
loop_seattle/H/medium,contrastive_tiny,145.29955908508094,145.29955908508094,8.233823887975378,1.657391355277304,0.22591600598637687,0.17335888255891432,66.29565421109217,12.05402667514391,0.2130535663397033,0.14553191155313686,0.14553191155313686,Transport,1
loop_seattle/H/long,contrastive_tiny,136.9836062994579,136.9836062994579,7.781489993650806,1.593582268414108,0.24317579726111163,0.16491741771251248,63.74329073656431,11.70399958558859,0.20916614604040795,0.13906564679206496,0.13906564679206496,Transport,1
m_dense/D/short,contrastive_tiny,26794.5634252058,26794.5634252058,101.30480240786517,1.3932800355563366,0.24086533715975045,0.2041665843966138,55.73120142225346,163.69045001222827,0.2833723819604874,0.1753735979112328,0.1753735979112328,Transport,1
m_dense/H/short,contrastive_tiny,491735.6159683584,491735.6159683584,405.44782380525436,3.1763677770787,2.346745229151807,0.7335064647982967,127.054711083148,701.2386298317845,1.243822591854911,0.7191634083084659,0.7191634083084659,Transport,1
m_dense/H/medium,contrastive_tiny,217913.01647869544,217913.01647869544,240.27276212760142,1.8868924518464063,1.1879813556872263,0.4912256284866173,75.47569807385628,466.81154278648194,0.8121931090763458,0.41804425086386066,0.41804425086386066,Transport,1
m_dense/H/long,contrastive_tiny,165735.56897097224,165735.56897097224,213.49817878516367,1.7234342375591394,0.9741632017212116,0.4586427769702448,68.93736950236558,407.1063361960512,0.7047612492150825,0.36959690824688385,0.36959690824688385,Transport,1
sz_taxi/15T/short,contrastive_tiny,19.59555091784937,19.59555091784937,3.0778750953148206,0.6208347513135839,1391516374296.0085,0.4349826979105235,24.833390052543358,4.426686223107458,0.41391409401337154,0.28779448493849746,0.28779448493849746,Transport,1
sz_taxi/15T/medium,contrastive_tiny,20.63847466404492,20.63847466404492,3.2032841669064482,0.6267778821510028,12356908954958.025,0.44791660203857514,25.07111528604011,4.542958800610558,0.4227981452095719,0.29811905935955574,0.29811905935955574,Transport,1
sz_taxi/15T/long,contrastive_tiny,22.287691110847987,22.287691110847987,3.3279302352232114,0.629692798981059,5754901606057.885,0.45593973090421747,25.187711959242364,4.720984125248462,0.4369658810627774,0.3080272944728941,0.3080272944728941,Transport,1
sz_taxi/H/short,contrastive_tiny,10.062976162157094,10.062976162157094,2.2632522997878097,0.7038172437686002,1.4673179759933022,0.3376834011504326,28.15268975074401,3.17221943789472,0.29551181605006743,0.21083591800120102,0.21083591800120105,Transport,1
bitbrains_fast_storage/5T/short,contrastive_tiny,1745137.5218023492,1745137.5218023492,188.79459483968276,1.15186689409938,2.758889442175013,0.7459715021175539,46.074675763975186,1321.0365331066166,4.147728000411116,0.5927683358622341,0.592768335862234,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,contrastive_tiny,4243907.799597529,4243907.799597529,321.44052164334033,1.3500880194607559,6.157969260939855,0.8168238985975038,54.00352077843022,2060.074707285522,6.259075966188386,0.976625088625022,0.9766250886250218,Web/CloudOps,2
bitbrains_fast_storage/5T/long,contrastive_tiny,3513758.9814923652,3513758.9814923652,315.2796026531874,1.4321132620462977,3.4063896464821912,0.8490495972534058,57.28453048185191,1874.5023290175889,4.953750066870008,0.8331898704785881,0.833189870478588,Web/CloudOps,2
bitbrains_fast_storage/H/short,contrastive_tiny,2234188.7476388337,2234188.7476388337,286.44697411151475,1.4508381622065196,4.769797848302539,0.6305171532798485,58.03352648826078,1494.7202907697592,4.2604382279458575,0.8164668977335097,0.8164668977335097,Web/CloudOps,2
bitbrains_rnd/5T/short,contrastive_tiny,1665008.74248658,1665008.74248658,146.2011965031365,2.2842808298399593,1.909419213827416,0.6833404995249344,91.37123319359837,1290.352177696686,5.279748601848484,0.5982130895488414,0.5982130895488417,Web/CloudOps,2
bitbrains_rnd/5T/medium,contrastive_tiny,2312986.256761525,2312986.256761525,163.7618704950145,4.844081734555675,0.8188771216555729,0.7352126578271602,193.76326938222704,1520.8505044091364,6.398993652762576,0.6890297020148257,0.6890297020148258,Web/CloudOps,2
bitbrains_rnd/5T/long,contrastive_tiny,4639987.0100330105,4639987.0100330105,298.42777638722634,3.9922094555592578,6.032658063995197,0.7444685351935285,159.68837822237026,2154.0629076313,8.251729694996968,1.1432095764251895,1.1432095764251895,Web/CloudOps,2
bitbrains_rnd/H/short,contrastive_tiny,2024164.949802041,2024164.949802041,249.5613861770213,6.464596911360954,4.822954205683344,0.64698634438014,258.5838764544381,1422.7315100896728,6.226569167681474,1.092202725246276,1.0922027252462758,Web/CloudOps,2
bizitobs_application/10S/short,contrastive_tiny,14896908.264051786,14896908.264051786,1660.5643316841126,6.437422167195402,0.0930457724596359,0.09058497405744718,257.4968866878161,3859.6513137914135,0.14885132370572804,0.06404132880772864,0.06404132880772866,Web/CloudOps,2
bizitobs_application/10S/medium,contrastive_tiny,20935837.436305948,20935837.436305948,1943.5081551567714,6.814341202582362,0.09017586170113959,0.0934465085750417,272.57364810329443,4575.569629707972,0.17966915265256714,0.07631584516672679,0.0763158451667268,Web/CloudOps,2
bizitobs_application/10S/long,contrastive_tiny,20271747.506540943,20271747.506540943,2276.994805149502,7.456145231293789,0.09963285566033185,0.1029112930926834,298.24580925175155,4502.415741192825,0.17364017846775825,0.08781458822626863,0.08781458822626861,Web/CloudOps,2
bizitobs_l2c/5T/short,contrastive_tiny,33.82307727497248,33.82307727497248,3.842144342924058,0.39843418821636983,0.2290929002821191,0.2560363557027436,15.937367528654793,5.815761108829393,0.19973677690162717,0.13195478856265105,0.13195478856265105,Web/CloudOps,7
bizitobs_l2c/5T/medium,contrastive_tiny,174.52434605974807,174.52434605974807,9.326305116261604,0.8937321750722004,0.6537822189597986,0.943103516011046,35.74928700288802,13.210766293434611,0.6950805797663674,0.4907007983716127,0.49070079837161273,Web/CloudOps,7
