dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny,83.21421800238483,83.21421800238483,5.5873990847364885,0.8710443962653399,0.14438803825363153,0.11461460435471522,34.84177585061359,9.122182743312306,0.15642529500363472,0.09581155900145744,0.09581155900145744,Transport,1
loop_seattle/5T/medium,contrastive_tiny,266.27588111797075,266.27588111797075,10.65115224003073,1.6396134258790893,0.33770457965551187,0.23491226108501098,65.58453703516356,16.317961916794964,0.2903300772304054,0.1895058873288693,0.18950588732886928,Transport,1
loop_seattle/5T/long,contrastive_tiny,202.86824330871755,202.86824330871755,8.972592690359178,1.3889928076536862,0.3316188274881809,0.18766665467846894,55.55971230614742,14.243182344852485,0.25182237802605506,0.158637274566806,0.158637274566806,Transport,1
loop_seattle/D/short,contrastive_tiny,27.71657190720911,27.71657190720911,3.974296629170515,1.1789988117318297,0.07224361348171025,0.0725790294983424,47.159952469273186,5.264653066177211,0.09408638871940037,0.07102599408508736,0.07102599408508738,Transport,1
loop_seattle/H/short,contrastive_tiny,121.97524634741202,121.97524634741202,7.248793202462023,1.4534551251265142,0.21882361112002913,0.1564529431429481,58.138205005060556,11.044240415140012,0.19549428785283487,0.12831101204254422,0.12831101204254422,Transport,1
loop_seattle/H/medium,contrastive_tiny,118.49315798280996,118.49315798280996,7.373505562993672,1.5014681132857879,0.20391233888269003,0.15883727446897677,60.05872453143151,10.885456259744466,0.19239921562109186,0.13032588187819721,0.13032588187819724,Transport,1
loop_seattle/H/long,contrastive_tiny,127.58729892725835,127.58729892725835,7.355063820807927,1.5159077610497176,0.23904768479978053,0.15832247093837298,60.63631044198869,11.295454790634079,0.2018649034505906,0.13144484003348197,0.131444840033482,Transport,1
m_dense/D/short,contrastive_tiny,17618.419961641917,17618.419961641917,80.10780893961588,1.1240089113999974,0.19239708309401787,0.16339237035363044,44.9603564559999,132.73439630194548,0.22978287398782127,0.13867846677163378,0.13867846677163376,Transport,1
m_dense/H/short,contrastive_tiny,132440.35768341413,132440.35768341413,200.19492196158401,1.6382570474586873,0.8221031934440143,0.4417285019450644,65.53028189834751,363.92356022029423,0.6455097118920246,0.3550959061827238,0.3550959061827238,Transport,1
m_dense/H/medium,contrastive_tiny,143260.23126782256,143260.23126782256,201.5943175437881,1.591639291804979,0.8523887818979103,0.4276672200180647,63.665571672199164,378.49733323739883,0.6585375417758218,0.3507486437902941,0.350748643790294,Transport,1
m_dense/H/long,contrastive_tiny,118831.599114575,118831.599114575,187.90711351296784,1.5216075280747856,0.764845597094793,0.4166911238990929,60.86430112299143,344.7195949095076,0.5967605776107257,0.32529499121336464,0.3252949912133646,Transport,1
sz_taxi/15T/short,contrastive_tiny,23.31437077745982,23.31437077745982,3.310753067306947,0.6641261581859856,1672239429570.1118,0.46047236301644556,26.565046327439422,4.828495705440756,0.45148499907951345,0.30956957129759505,0.309569571297595,Transport,1
sz_taxi/15T/medium,contrastive_tiny,20.493673669496776,20.493673669496776,3.170120535487505,0.6197478411854132,10878815273942.633,0.44168734038293345,24.789913647416522,4.526993888829184,0.42131234368993403,0.29503262990515283,0.29503262990515283,Transport,1
sz_taxi/15T/long,contrastive_tiny,21.137805470495515,21.137805470495515,3.2346154888572674,0.6133846108678692,8477113867902.072,0.44796737550480975,24.535384434714768,4.597586918209977,0.4255444553888625,0.299390247772425,0.299390247772425,Transport,1
sz_taxi/H/short,contrastive_tiny,9.186456419933418,9.186456419933418,2.144484936429226,0.6576989001748639,1.011726814637613,0.336835698717686,26.30795600699456,3.030916762290482,0.28234859985457805,0.1997720052042774,0.1997720052042774,Transport,1
bitbrains_fast_storage/5T/short,contrastive_tiny,1753901.263292451,1753901.263292451,185.86634278049317,1.1341305421928567,2.6699272408741894,0.7680801756045555,45.365221687714275,1324.3493735764935,4.158129500167894,0.5835743486001256,0.5835743486001256,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,contrastive_tiny,4008231.790411279,4008231.790411279,310.1126240808001,1.2707092102246877,5.538181377018265,0.8139657687572864,50.8283684089875,2002.0568899038008,6.082801812100484,0.9422078069942192,0.9422078069942194,Web/CloudOps,2
bitbrains_fast_storage/5T/long,contrastive_tiny,3294433.5331927403,3294433.5331927403,301.4939138250037,1.237200573953417,2.989979838760681,0.844835848521386,49.488022958136696,1815.057446251424,4.796654987595126,0.796758410299899,0.796758410299899,Web/CloudOps,2
