==========================================================================================
                                GIFT-Eval Official Results                                
==========================================================================================
Config                                            MASE  SN_MASE   Relative
------------------------------------------------------------------------------------------
bitbrains_fast_storage/5T/long                  1.2372      N/A        N/A
bitbrains_fast_storage/5T/medium                1.2707      N/A        N/A
bitbrains_fast_storage/5T/short                 1.1341      N/A        N/A
bitbrains_fast_storage/H/short                  1.4495      N/A        N/A
bitbrains_rnd/5T/long                           3.8052      N/A        N/A
bitbrains_rnd/5T/medium                         4.7876      N/A        N/A
bitbrains_rnd/5T/short                          2.2589      N/A        N/A
bitbrains_rnd/H/short                           6.3038      N/A        N/A
bizitobs_application/10S/long                   7.3491      N/A        N/A
bizitobs_application/10S/medium                 7.3130      N/A        N/A
bizitobs_application/10S/short                  5.4937      N/A        N/A
bizitobs_l2c/5T/long                            1.2530      N/A        N/A
bizitobs_l2c/5T/medium                          0.9067      N/A        N/A
bizitobs_l2c/5T/short                           0.3500      N/A        N/A
bizitobs_l2c/H/long                             1.3073      N/A        N/A
bizitobs_l2c/H/medium                           1.2528      N/A        N/A
bizitobs_l2c/H/short                            1.0381      N/A        N/A
bizitobs_service/10S/long                       3.8557      N/A        N/A
bizitobs_service/10S/medium                     4.0816      N/A        N/A
bizitobs_service/10S/short                      3.2193      N/A        N/A
car_parts/M/short                               1.2016      N/A        N/A
covid_deaths/D/short                           58.6139      N/A        N/A
electricity/15T/long                            2.6426      N/A        N/A
electricity/15T/medium                          2.4853      N/A        N/A
electricity/15T/short                           2.6828      N/A        N/A
electricity/D/short                             1.8684      N/A        N/A
electricity/H/long                              1.9671      N/A        N/A
electricity/H/medium                            1.7903      N/A        N/A
electricity/H/short                             1.8541      N/A        N/A
electricity/W/short                             2.4081      N/A        N/A
ett1/15T/long                                   1.8331      N/A        N/A
ett1/15T/medium                                 1.6643      N/A        N/A
ett1/15T/short                                  1.7703      N/A        N/A
ett1/D/short                                    1.7550      N/A        N/A
ett1/H/long                                     1.5534      N/A        N/A
ett1/H/medium                                   1.6100      N/A        N/A
ett1/H/short                                    1.2407      N/A        N/A
ett1/W/short                                    1.8809      N/A        N/A
ett2/15T/long                                   1.0891      N/A        N/A
ett2/15T/medium                                 1.1343      N/A        N/A
ett2/15T/short                                  1.1323      N/A        N/A
ett2/D/short                                    1.6473      N/A        N/A
ett2/H/long                                     1.0906      N/A        N/A
ett2/H/medium                                   1.2275      N/A        N/A
ett2/H/short                                    0.8948      N/A        N/A
ett2/W/short                                    2.0819      N/A        N/A
hierarchical_sales/D/short                      0.9134      N/A        N/A
hierarchical_sales/W/short                      0.9667      N/A        N/A
hospital/M/short                                1.0039      N/A        N/A
jena_weather/10T/long                           0.7606      N/A        N/A
jena_weather/10T/medium                         0.7835      N/A        N/A
jena_weather/10T/short                          0.4451      N/A        N/A
jena_weather/D/short                            1.5306      N/A        N/A
jena_weather/H/long                             1.2266      N/A        N/A
jena_weather/H/medium                           0.8284      N/A        N/A
jena_weather/H/short                            0.6411      N/A        N/A
kdd_cup_2018/D/short                            1.3091      N/A        N/A
kdd_cup_2018/H/long                             1.1760      N/A        N/A
kdd_cup_2018/H/medium                           1.2779      N/A        N/A
kdd_cup_2018/H/short                            1.1431      N/A        N/A
loop_seattle/5T/long                            1.3890      N/A        N/A
loop_seattle/5T/medium                          1.6396      N/A        N/A
loop_seattle/5T/short                           0.8710      N/A        N/A
loop_seattle/D/short                            1.1790      N/A        N/A
loop_seattle/H/long                             1.5159      N/A        N/A
loop_seattle/H/medium                           1.5015      N/A        N/A
loop_seattle/H/short                            1.4535      N/A        N/A
m4_daily/D/short                                4.5120      N/A        N/A
m4_hourly/H/short                               4.9193      N/A        N/A
m4_monthly/M/short                              1.2669      N/A        N/A
m4_quarterly/Q/short                            2.7700      N/A        N/A
m4_weekly/W/short                               4.3066      N/A        N/A
m4_yearly/A/short                               9.0338      N/A        N/A
m_dense/D/short                                 1.1240      N/A        N/A
m_dense/H/long                                  1.5216      N/A        N/A
m_dense/H/medium                                1.5916      N/A        N/A
m_dense/H/short                                 1.6383      N/A        N/A
restaurant/D/short                              0.8594      N/A        N/A
saugeen/D/short                                 4.5649      N/A        N/A
saugeen/M/short                                 1.3688      N/A        N/A
saugeen/W/short                                 1.7492      N/A        N/A
solar/10T/long                                  2.0486      N/A        N/A
solar/10T/medium                                3.0871      N/A        N/A
solar/10T/short                                 2.3846      N/A        N/A
solar/D/short                                   1.1835      N/A        N/A
solar/H/long                                    1.4578      N/A        N/A
solar/H/medium                                  1.4432      N/A        N/A
solar/H/short                                   2.2823      N/A        N/A
solar/W/short                                   1.2139      N/A        N/A
sz_taxi/15T/long                                0.6134      N/A        N/A
sz_taxi/15T/medium                              0.6197      N/A        N/A
sz_taxi/15T/short                               0.6641      N/A        N/A
sz_taxi/H/short                                 0.6577      N/A        N/A
temperature_rain/D/short                        1.8851      N/A        N/A
us_births/D/short                               1.4467      N/A        N/A
us_births/M/short                               1.8677      N/A        N/A
us_births/W/short                               2.1102      N/A        N/A
------------------------------------------------------------------------------------------

No configs with matching Seasonal Naive reference.
==========================================================================================
