==========================================================================================
                                GIFT-Eval Official Results                                
==========================================================================================
Config                                            MASE  SN_MASE   Relative
------------------------------------------------------------------------------------------
bitbrains_fast_storage/5T/long                  1.2930      N/A        N/A
bitbrains_fast_storage/5T/medium                1.3059      N/A        N/A
bitbrains_fast_storage/5T/short                 1.1965      N/A        N/A
bitbrains_fast_storage/H/short                  1.5366      N/A        N/A
bitbrains_rnd/5T/long                           3.8324      N/A        N/A
bitbrains_rnd/5T/medium                         4.8132      N/A        N/A
bitbrains_rnd/5T/short                          2.3416      N/A        N/A
bitbrains_rnd/H/short                           6.4706      N/A        N/A
bizitobs_application/10S/long                   7.3175      N/A        N/A
bizitobs_application/10S/medium                 7.2247      N/A        N/A
bizitobs_application/10S/short                  5.4647      N/A        N/A
bizitobs_l2c/5T/long                            1.2519      N/A        N/A
bizitobs_l2c/5T/medium                          0.8973      N/A        N/A
bizitobs_l2c/5T/short                           0.3519      N/A        N/A
bizitobs_l2c/H/long                             1.3619      N/A        N/A
bizitobs_l2c/H/medium                           1.3880      N/A        N/A
bizitobs_l2c/H/short                            1.0720      N/A        N/A
bizitobs_service/10S/long                       3.7934      N/A        N/A
bizitobs_service/10S/medium                     3.9981      N/A        N/A
bizitobs_service/10S/short                      3.1335      N/A        N/A
car_parts/M/short                               1.5351      N/A        N/A
covid_deaths/D/short                           55.1866      N/A        N/A
electricity/15T/long                            2.9383      N/A        N/A
electricity/15T/medium                          2.8440      N/A        N/A
electricity/15T/short                           2.7244      N/A        N/A
electricity/D/short                             1.8642      N/A        N/A
electricity/H/long                              2.1020      N/A        N/A
electricity/H/medium                            1.9151      N/A        N/A
electricity/H/short                             2.0234      N/A        N/A
electricity/W/short                             2.1894      N/A        N/A
ett1/15T/long                                   1.8889      N/A        N/A
ett1/15T/medium                                 1.8561      N/A        N/A
ett1/15T/short                                  1.8045      N/A        N/A
ett1/D/short                                    1.6488      N/A        N/A
ett1/H/long                                     1.6023      N/A        N/A
ett1/H/medium                                   1.6341      N/A        N/A
ett1/H/short                                    1.2497      N/A        N/A
ett1/W/short                                    1.6316      N/A        N/A
ett2/15T/long                                   1.0881      N/A        N/A
ett2/15T/medium                                 1.1331      N/A        N/A
ett2/15T/short                                  1.1420      N/A        N/A
ett2/D/short                                    1.6516      N/A        N/A
ett2/H/long                                     1.0859      N/A        N/A
ett2/H/medium                                   1.2188      N/A        N/A
ett2/H/short                                    0.9061      N/A        N/A
ett2/W/short                                    1.5394      N/A        N/A
hierarchical_sales/D/short                      0.8978      N/A        N/A
hierarchical_sales/W/short                      1.0776      N/A        N/A
hospital/M/short                                0.8684      N/A        N/A
jena_weather/10T/long                           0.7604      N/A        N/A
jena_weather/10T/medium                         0.7906      N/A        N/A
jena_weather/10T/short                          0.4503      N/A        N/A
jena_weather/D/short                            1.5642      N/A        N/A
jena_weather/H/long                             1.2413      N/A        N/A
jena_weather/H/medium                           0.8432      N/A        N/A
jena_weather/H/short                            0.6539      N/A        N/A
kdd_cup_2018/D/short                            1.2244      N/A        N/A
kdd_cup_2018/H/long                             1.1693      N/A        N/A
kdd_cup_2018/H/medium                           1.3116      N/A        N/A
kdd_cup_2018/H/short                            1.1426      N/A        N/A
loop_seattle/5T/long                            1.3626      N/A        N/A
loop_seattle/5T/medium                          1.6306      N/A        N/A
loop_seattle/5T/short                           0.8393      N/A        N/A
loop_seattle/D/short                            1.2644      N/A        N/A
loop_seattle/H/long                             1.5706      N/A        N/A
loop_seattle/H/medium                           1.5995      N/A        N/A
loop_seattle/H/short                            1.5040      N/A        N/A
m4_daily/D/short                                4.6113      N/A        N/A
m4_hourly/H/short                               5.2206      N/A        N/A
m4_monthly/M/short                              1.1709      N/A        N/A
m4_quarterly/Q/short                            2.0699      N/A        N/A
m4_weekly/W/short                               4.2235      N/A        N/A
m4_yearly/A/short                               7.6734      N/A        N/A
m_dense/D/short                                 1.1135      N/A        N/A
m_dense/H/long                                  1.5351      N/A        N/A
m_dense/H/medium                                1.5986      N/A        N/A
m_dense/H/short                                 1.7258      N/A        N/A
restaurant/D/short                              0.8401      N/A        N/A
saugeen/D/short                                 4.5226      N/A        N/A
saugeen/M/short                                 1.7754      N/A        N/A
saugeen/W/short                                 2.7208      N/A        N/A
solar/10T/long                                  2.3751      N/A        N/A
solar/10T/medium                                3.3087      N/A        N/A
solar/10T/short                                 2.3908      N/A        N/A
solar/D/short                                   1.0099      N/A        N/A
solar/H/long                                    1.4936      N/A        N/A
solar/H/medium                                  1.5603      N/A        N/A
solar/H/short                                   2.0768      N/A        N/A
solar/W/short                                   2.0175      N/A        N/A
sz_taxi/15T/long                                0.6022      N/A        N/A
sz_taxi/15T/medium                              0.6225      N/A        N/A
sz_taxi/15T/short                               0.6416      N/A        N/A
sz_taxi/H/short                                 0.6499      N/A        N/A
temperature_rain/D/short                        2.1910      N/A        N/A
us_births/D/short                               1.4116      N/A        N/A
us_births/M/short                               1.2916      N/A        N/A
us_births/W/short                               2.0130      N/A        N/A
------------------------------------------------------------------------------------------

No configs with matching Seasonal Naive reference.
==========================================================================================
