==========================================================================================
                                GIFT-Eval Official Results                                
==========================================================================================
Config                                            MASE  SN_MASE   Relative
------------------------------------------------------------------------------------------
bitbrains_fast_storage/5T/long                  1.2645      N/A        N/A
bitbrains_fast_storage/5T/medium                1.3001      N/A        N/A
bitbrains_fast_storage/5T/short                 1.1321      N/A        N/A
bitbrains_fast_storage/H/short                  1.4133      N/A        N/A
bitbrains_rnd/5T/long                           3.8235      N/A        N/A
bitbrains_rnd/5T/medium                         4.8181      N/A        N/A
bitbrains_rnd/5T/short                          2.2593      N/A        N/A
bitbrains_rnd/H/short                           6.3029      N/A        N/A
bizitobs_application/10S/long                   7.3478      N/A        N/A
bizitobs_application/10S/medium                 7.2954      N/A        N/A
bizitobs_application/10S/short                  5.4783      N/A        N/A
bizitobs_l2c/5T/long                            1.2516      N/A        N/A
bizitobs_l2c/5T/medium                          0.9055      N/A        N/A
bizitobs_l2c/5T/short                           0.3506      N/A        N/A
bizitobs_l2c/H/long                             1.3072      N/A        N/A
bizitobs_l2c/H/medium                           1.2563      N/A        N/A
bizitobs_l2c/H/short                            1.0375      N/A        N/A
bizitobs_service/10S/long                       3.8588      N/A        N/A
bizitobs_service/10S/medium                     4.0930      N/A        N/A
bizitobs_service/10S/short                      3.2024      N/A        N/A
car_parts/M/short                               1.1314      N/A        N/A
covid_deaths/D/short                           59.2795      N/A        N/A
electricity/15T/long                            2.6566      N/A        N/A
electricity/15T/medium                          2.4952      N/A        N/A
electricity/15T/short                           2.6770      N/A        N/A
electricity/D/short                             1.8530      N/A        N/A
electricity/H/long                              1.9842      N/A        N/A
electricity/H/medium                            1.8101      N/A        N/A
electricity/H/short                             1.8728      N/A        N/A
electricity/W/short                             2.2231      N/A        N/A
ett1/15T/long                                   1.8347      N/A        N/A
ett1/15T/medium                                 1.6733      N/A        N/A
ett1/15T/short                                  1.7630      N/A        N/A
ett1/D/short                                    1.7394      N/A        N/A
ett1/H/long                                     1.5870      N/A        N/A
ett1/H/medium                                   1.6503      N/A        N/A
ett1/H/short                                    1.2302      N/A        N/A
ett1/W/short                                    1.7728      N/A        N/A
ett2/15T/long                                   1.0920      N/A        N/A
ett2/15T/medium                                 1.1301      N/A        N/A
ett2/15T/short                                  1.1300      N/A        N/A
ett2/D/short                                    1.6650      N/A        N/A
ett2/H/long                                     1.0901      N/A        N/A
ett2/H/medium                                   1.2264      N/A        N/A
ett2/H/short                                    0.8917      N/A        N/A
ett2/W/short                                    1.7603      N/A        N/A
hierarchical_sales/D/short                      0.8807      N/A        N/A
hierarchical_sales/W/short                      0.9253      N/A        N/A
hospital/M/short                                0.9092      N/A        N/A
jena_weather/10T/long                           0.7620      N/A        N/A
jena_weather/10T/medium                         0.7849      N/A        N/A
jena_weather/10T/short                          0.4463      N/A        N/A
jena_weather/D/short                            1.4857      N/A        N/A
jena_weather/H/long                             1.2337      N/A        N/A
jena_weather/H/medium                           0.8330      N/A        N/A
jena_weather/H/short                            0.6412      N/A        N/A
kdd_cup_2018/D/short                            1.2492      N/A        N/A
kdd_cup_2018/H/long                             1.1776      N/A        N/A
kdd_cup_2018/H/medium                           1.2828      N/A        N/A
kdd_cup_2018/H/short                            1.1364      N/A        N/A
loop_seattle/5T/long                            1.3869      N/A        N/A
loop_seattle/5T/medium                          1.6413      N/A        N/A
loop_seattle/5T/short                           0.8593      N/A        N/A
loop_seattle/D/short                            1.2016      N/A        N/A
loop_seattle/H/long                             1.5325      N/A        N/A
loop_seattle/H/medium                           1.5374      N/A        N/A
loop_seattle/H/short                            1.4980      N/A        N/A
m4_daily/D/short                                4.5281      N/A        N/A
m4_hourly/H/short                               5.1559      N/A        N/A
m4_monthly/M/short                              1.2584      N/A        N/A
m4_quarterly/Q/short                            2.5129      N/A        N/A
m4_weekly/W/short                               4.3052      N/A        N/A
m4_yearly/A/short                               8.5883      N/A        N/A
m_dense/D/short                                 1.1145      N/A        N/A
m_dense/H/long                                  1.5277      N/A        N/A
m_dense/H/medium                                1.6011      N/A        N/A
m_dense/H/short                                 1.6596      N/A        N/A
restaurant/D/short                              0.8222      N/A        N/A
saugeen/D/short                                 4.4432      N/A        N/A
saugeen/M/short                                 1.3156      N/A        N/A
saugeen/W/short                                 1.9049      N/A        N/A
solar/10T/long                                  2.0433      N/A        N/A
solar/10T/medium                                3.1150      N/A        N/A
solar/10T/short                                 2.3902      N/A        N/A
solar/D/short                                   1.1578      N/A        N/A
solar/H/long                                    1.5397      N/A        N/A
solar/H/medium                                  1.5376      N/A        N/A
solar/H/short                                   2.2820      N/A        N/A
solar/W/short                                   1.1706      N/A        N/A
sz_taxi/15T/long                                0.6097      N/A        N/A
sz_taxi/15T/medium                              0.6172      N/A        N/A
sz_taxi/15T/short                               0.6481      N/A        N/A
sz_taxi/H/short                                 0.6493      N/A        N/A
temperature_rain/D/short                        1.8418      N/A        N/A
us_births/D/short                               1.4553      N/A        N/A
us_births/M/short                               1.7603      N/A        N/A
us_births/W/short                               1.8949      N/A        N/A
------------------------------------------------------------------------------------------

No configs with matching Seasonal Naive reference.
==========================================================================================
