==========================================================================================
                                GIFT-Eval Official Results                                
==========================================================================================
Config                                            MASE  SN_MASE   Relative
------------------------------------------------------------------------------------------
bitbrains_fast_storage/5T/long                  1.5372      N/A        N/A
bitbrains_fast_storage/5T/medium                1.4791      N/A        N/A
bitbrains_fast_storage/5T/short                 1.1160      N/A        N/A
bitbrains_fast_storage/H/short                  1.3669      N/A        N/A
bitbrains_rnd/5T/long                           4.0190      N/A        N/A
bitbrains_rnd/5T/medium                         4.9746      N/A        N/A
bitbrains_rnd/5T/short                          2.2243      N/A        N/A
bitbrains_rnd/H/short                           6.3522      N/A        N/A
bizitobs_application/10S/long                   7.2730      N/A        N/A
bizitobs_application/10S/medium                 7.7458      N/A        N/A
bizitobs_application/10S/short                  5.2565      N/A        N/A
bizitobs_l2c/5T/long                            1.2510      N/A        N/A
bizitobs_l2c/5T/medium                          0.8890      N/A        N/A
bizitobs_l2c/5T/short                           0.3534      N/A        N/A
bizitobs_l2c/H/long                             1.3125      N/A        N/A
bizitobs_l2c/H/medium                           1.3368      N/A        N/A
bizitobs_l2c/H/short                            1.0838      N/A        N/A
bizitobs_service/10S/long                       3.8580      N/A        N/A
bizitobs_service/10S/medium                     4.1815      N/A        N/A
bizitobs_service/10S/short                      3.1560      N/A        N/A
car_parts/M/short                               1.1737      N/A        N/A
covid_deaths/D/short                           57.8202      N/A        N/A
electricity/15T/long                            3.1660      N/A        N/A
electricity/15T/medium                          3.0521      N/A        N/A
electricity/15T/short                           2.9122      N/A        N/A
electricity/D/short                             1.8481      N/A        N/A
electricity/H/long                              2.0720      N/A        N/A
electricity/H/medium                            1.8732      N/A        N/A
electricity/H/short                             2.0088      N/A        N/A
electricity/W/short                             2.2531      N/A        N/A
ett1/15T/long                                   1.9279      N/A        N/A
ett1/15T/medium                                 1.8573      N/A        N/A
ett1/15T/short                                  1.8336      N/A        N/A
ett1/D/short                                    1.8041      N/A        N/A
ett1/H/long                                     1.5407      N/A        N/A
ett1/H/medium                                   1.6192      N/A        N/A
ett1/H/short                                    1.2304      N/A        N/A
ett1/W/short                                    1.8591      N/A        N/A
ett2/15T/long                                   1.1342      N/A        N/A
ett2/15T/medium                                 1.1356      N/A        N/A
ett2/15T/short                                  1.1720      N/A        N/A
ett2/D/short                                    1.7881      N/A        N/A
ett2/H/long                                     1.1072      N/A        N/A
ett2/H/medium                                   1.2472      N/A        N/A
ett2/H/short                                    0.8623      N/A        N/A
ett2/W/short                                    1.8202      N/A        N/A
hierarchical_sales/D/short                      0.8911      N/A        N/A
hierarchical_sales/W/short                      0.8922      N/A        N/A
hospital/M/short                                0.9232      N/A        N/A
jena_weather/10T/long                           0.7883      N/A        N/A
jena_weather/10T/medium                         0.8474      N/A        N/A
jena_weather/10T/short                          0.4398      N/A        N/A
jena_weather/D/short                            1.5477      N/A        N/A
jena_weather/H/long                             1.3396      N/A        N/A
jena_weather/H/medium                           0.8803      N/A        N/A
jena_weather/H/short                            0.6773      N/A        N/A
kdd_cup_2018/D/short                            1.3207      N/A        N/A
kdd_cup_2018/H/long                             1.1744      N/A        N/A
kdd_cup_2018/H/medium                           1.3281      N/A        N/A
kdd_cup_2018/H/short                            1.1474      N/A        N/A
loop_seattle/5T/long                            1.3810      N/A        N/A
loop_seattle/5T/medium                          1.6532      N/A        N/A
loop_seattle/5T/short                           0.8755      N/A        N/A
loop_seattle/D/short                            1.2035      N/A        N/A
loop_seattle/H/long                             1.5382      N/A        N/A
loop_seattle/H/medium                           1.5656      N/A        N/A
loop_seattle/H/short                            1.5280      N/A        N/A
m4_daily/D/short                                4.9735      N/A        N/A
m4_hourly/H/short                               5.7895      N/A        N/A
m4_monthly/M/short                              1.1825      N/A        N/A
m4_quarterly/Q/short                            2.4373      N/A        N/A
m4_weekly/W/short                               4.4755      N/A        N/A
m4_yearly/A/short                               8.3220      N/A        N/A
m_dense/D/short                                 1.1625      N/A        N/A
m_dense/H/long                                  1.4203      N/A        N/A
m_dense/H/medium                                1.5096      N/A        N/A
m_dense/H/short                                 1.7091      N/A        N/A
restaurant/D/short                              0.8306      N/A        N/A
saugeen/D/short                                 4.4728      N/A        N/A
saugeen/M/short                                 1.1225      N/A        N/A
saugeen/W/short                                 1.9835      N/A        N/A
solar/10T/long                                  2.2474      N/A        N/A
solar/10T/medium                                3.4160      N/A        N/A
solar/10T/short                                 2.3204      N/A        N/A
solar/D/short                                   1.1387      N/A        N/A
solar/H/long                                    1.5568      N/A        N/A
solar/H/medium                                  1.4488      N/A        N/A
solar/H/short                                   2.1781      N/A        N/A
solar/W/short                                   1.1568      N/A        N/A
sz_taxi/15T/long                                0.6144      N/A        N/A
sz_taxi/15T/medium                              0.6353      N/A        N/A
sz_taxi/15T/short                               0.6641      N/A        N/A
sz_taxi/H/short                                 0.6458      N/A        N/A
temperature_rain/D/short                        1.9759      N/A        N/A
us_births/D/short                               1.3684      N/A        N/A
us_births/M/short                               1.3546      N/A        N/A
us_births/W/short                               2.1302      N/A        N/A
------------------------------------------------------------------------------------------

No configs with matching Seasonal Naive reference.
==========================================================================================
