dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny,78.02008677494777,78.02008677494777,5.400145207695717,0.8398951834040087,0.14199077288500542,0.1101721285823968,33.595807336160355,8.832897982822386,0.15146470001524048,0.09260056841061982,0.09260056841061982,Transport,1
loop_seattle/5T/medium,contrastive_tiny,281.19015031947936,281.19015031947936,10.926190643403622,1.681634779212634,0.3375462645129305,0.2443632246164391,67.26539116850537,16.768725363589187,0.29835008530419027,0.1943993857510217,0.19439938575102167,Transport,1
loop_seattle/5T/long,contrastive_tiny,203.5769802214753,203.5769802214753,9.05221482639144,1.3993649992124033,0.32847810977143593,0.1907210110473744,55.974599968496136,14.268040517936418,0.2522618756121856,0.16004501022262346,0.16004501022262346,Transport,1
loop_seattle/D/short,contrastive_tiny,27.9816876965162,27.9816876965162,4.201835739698695,1.2304557510852678,0.07903133163023206,0.07653910957892775,49.21823004341071,5.289771989085749,0.09453529745379897,0.07509242219210906,0.07509242219210906,Transport,1
loop_seattle/H/short,contrastive_tiny,118.25728011953353,118.25728011953353,7.085905962022958,1.4174825858732185,0.212903923641466,0.15316787455165617,56.699303434928744,10.874616320566604,0.19249176886331235,0.1254277422228927,0.1254277422228927,Transport,1
loop_seattle/H/medium,contrastive_tiny,129.68046017276777,129.68046017276777,7.862225214202799,1.5970925812608616,0.20996406701677237,0.16806277522282242,63.88370325043444,11.387732881165055,0.20127689843752183,0.13896394677024768,0.13896394677024768,Transport,1
loop_seattle/H/long,contrastive_tiny,134.6736741418939,134.6736741418939,7.719632932114199,1.5900201176447053,0.24280446762715874,0.1649588850332085,63.600804705788214,11.604898713125156,0.20739508073825755,0.1379601782663374,0.13796017826633744,Transport,1
m_dense/D/short,contrastive_tiny,16165.456717847375,16165.456717847375,72.77153399361505,1.0159416631682476,0.18100616707467468,0.14911994231553488,40.6376665267299,127.14344937057267,0.22010411784023026,0.1259782896628898,0.1259782896628898,Transport,1
m_dense/H/short,contrastive_tiny,152037.06282057232,152037.06282057232,217.80523390113478,1.774754214839975,0.9665776551389397,0.4758162253204946,70.99016859359901,389.9193029596923,0.6916196817878187,0.3863322113550158,0.38633221135501583,Transport,1
m_dense/H/medium,contrastive_tiny,140467.5551140767,140467.5551140767,203.54240385176408,1.62823996237114,0.9156545749796002,0.44200253489756064,65.12959849484561,374.79001469366375,0.6520872758796551,0.3541380678516176,0.3541380678516176,Transport,1
m_dense/H/long,contrastive_tiny,115003.58147226599,115003.58147226599,189.3013462680578,1.5612175153075942,0.8267199547950981,0.43481971911213085,62.44870061230377,339.12177970791845,0.5870699319892159,0.32770861421750425,0.3277086142175043,Transport,1
sz_taxi/15T/short,contrastive_tiny,20.58117773709705,20.58117773709705,3.1434981708562857,0.6333420313714606,1397081474574.0925,0.43896284414939135,25.333681254858426,4.536648293299476,0.4241960178646205,0.29393052315989393,0.2939305231598939,Transport,1
sz_taxi/15T/medium,contrastive_tiny,19.856122757094337,19.856122757094337,3.1437866164653934,0.6151129992458195,11204425944816.803,0.44322331786772823,24.604519969832783,4.456020955639048,0.4147071276116286,0.29258181918744364,0.29258181918744364,Transport,1
sz_taxi/15T/long,contrastive_tiny,19.75024835485181,19.75024835485181,3.151976120722895,0.5966819893163494,9492426993236.5,0.44361564567379674,23.867279572653977,4.444125150673843,0.4113403075498039,0.2917412950648353,0.2917412950648353,Transport,1
sz_taxi/H/short,contrastive_tiny,8.759742764666575,8.759742764666575,2.0983836397236026,0.6429458097481574,1.086803681564323,0.32444731258680815,25.717832389926297,2.9596862611882657,0.2757130391214776,0.19547738493021993,0.19547738493021993,Transport,1
bitbrains_fast_storage/5T/short,contrastive_tiny,1770460.0873300992,1770460.0873300992,184.83342033021097,1.3052685438861336,2.745042458520183,0.7596913429681478,52.21074175544535,1330.5863697370792,4.177712125602849,0.5803312275645449,0.5803312275645447,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,contrastive_tiny,4011951.7255659127,4011951.7255659127,312.03678762548617,1.4121098941919323,5.606390709284994,0.8171479420309177,56.484395767677306,2002.9857027861963,6.0856238021811,0.9480539473089216,0.9480539473089217,Web/CloudOps,2
bitbrains_fast_storage/5T/long,contrastive_tiny,3352454.4543464617,3352454.4543464617,301.7519194001292,1.349670265690859,2.9302469900488606,0.84937736116052,53.98681062763435,1830.9709048334062,4.838709508037329,0.7974402420134401,0.7974402420134403,Web/CloudOps,2
bitbrains_fast_storage/H/short,contrastive_tiny,2638588.447007576,2638588.447007576,313.7612882781949,1.5127419941403835,5.050969076755935,0.6327576031551609,60.50967976561534,1624.3732474427102,4.629991258293215,0.8943215632280938,0.8943215632280938,Web/CloudOps,2
bitbrains_rnd/5T/short,contrastive_tiny,1739869.6969882387,1739869.6969882387,150.8319336581739,2.4295812935700023,1.9785995881109808,0.7006110963463349,97.18325174280005,1319.0412036734253,5.397135813965615,0.617160729148659,0.617160729148659,Web/CloudOps,2
bitbrains_rnd/5T/medium,contrastive_tiny,2306404.6336465236,2306404.6336465236,163.28531969640457,4.997460902928328,0.8011397740320342,0.7383671866693826,199.89843611713312,1518.6851660717975,6.389882970130362,0.6870246097807876,0.6870246097807876,Web/CloudOps,2
bitbrains_rnd/5T/long,contrastive_tiny,4570135.417545258,4570135.417545258,293.7665218447763,3.943502591912505,5.874345230724005,0.7484644397596609,157.74010367650018,2137.7875052364907,8.189382295223508,1.1253533604402208,1.1253533604402206,Web/CloudOps,2
