==========================================================================================
                                GIFT-Eval Official Results                                
==========================================================================================
Config                                            MASE  SN_MASE   Relative
------------------------------------------------------------------------------------------
bitbrains_fast_storage/5T/long                  1.2751      N/A        N/A
bitbrains_fast_storage/5T/medium                1.3200      N/A        N/A
bitbrains_fast_storage/5T/short                 1.1618      N/A        N/A
bitbrains_fast_storage/H/short                  1.5010      N/A        N/A
bitbrains_rnd/5T/long                           3.9257      N/A        N/A
bitbrains_rnd/5T/medium                         4.8028      N/A        N/A
bitbrains_rnd/5T/short                          2.3211      N/A        N/A
bitbrains_rnd/H/short                           6.3935      N/A        N/A
bizitobs_application/10S/long                   7.3656      N/A        N/A
bizitobs_application/10S/medium                 7.5359      N/A        N/A
bizitobs_application/10S/short                  5.5497      N/A        N/A
bizitobs_l2c/5T/long                            1.2471      N/A        N/A
bizitobs_l2c/5T/medium                          0.8916      N/A        N/A
bizitobs_l2c/5T/short                           0.3512      N/A        N/A
bizitobs_l2c/H/long                             1.3524      N/A        N/A
bizitobs_l2c/H/medium                           1.3279      N/A        N/A
bizitobs_l2c/H/short                            1.0448      N/A        N/A
bizitobs_service/10S/long                       3.8091      N/A        N/A
bizitobs_service/10S/medium                     4.0119      N/A        N/A
bizitobs_service/10S/short                      3.1488      N/A        N/A
car_parts/M/short                               1.5089      N/A        N/A
covid_deaths/D/short                           54.0287      N/A        N/A
electricity/15T/long                            3.1022      N/A        N/A
electricity/15T/medium                          2.9972      N/A        N/A
electricity/15T/short                           2.8242      N/A        N/A
electricity/D/short                             1.8689      N/A        N/A
electricity/H/long                              2.0480      N/A        N/A
electricity/H/medium                            1.8622      N/A        N/A
electricity/H/short                             1.9710      N/A        N/A
electricity/W/short                             2.3102      N/A        N/A
ett1/15T/long                                   1.8685      N/A        N/A
ett1/15T/medium                                 1.7803      N/A        N/A
ett1/15T/short                                  1.8195      N/A        N/A
ett1/D/short                                    1.6898      N/A        N/A
ett1/H/long                                     1.5758      N/A        N/A
ett1/H/medium                                   1.6647      N/A        N/A
ett1/H/short                                    1.1455      N/A        N/A
ett1/W/short                                    1.5924      N/A        N/A
ett2/15T/long                                   1.1030      N/A        N/A
ett2/15T/medium                                 1.1505      N/A        N/A
ett2/15T/short                                  1.1512      N/A        N/A
ett2/D/short                                    1.5550      N/A        N/A
ett2/H/long                                     1.0949      N/A        N/A
ett2/H/medium                                   1.2269      N/A        N/A
ett2/H/short                                    0.9028      N/A        N/A
ett2/W/short                                    1.4563      N/A        N/A
hierarchical_sales/D/short                      0.9179      N/A        N/A
hierarchical_sales/W/short                      1.0595      N/A        N/A
hospital/M/short                                0.8735      N/A        N/A
jena_weather/10T/long                           0.7708      N/A        N/A
jena_weather/10T/medium                         0.8132      N/A        N/A
jena_weather/10T/short                          0.4432      N/A        N/A
jena_weather/D/short                            1.4770      N/A        N/A
jena_weather/H/long                             1.2531      N/A        N/A
jena_weather/H/medium                           0.8591      N/A        N/A
jena_weather/H/short                            0.6952      N/A        N/A
kdd_cup_2018/D/short                            1.2717      N/A        N/A
kdd_cup_2018/H/long                             1.1803      N/A        N/A
kdd_cup_2018/H/medium                           1.3414      N/A        N/A
kdd_cup_2018/H/short                            1.1479      N/A        N/A
loop_seattle/5T/long                            1.3791      N/A        N/A
loop_seattle/5T/medium                          1.6445      N/A        N/A
loop_seattle/5T/short                           0.8487      N/A        N/A
loop_seattle/D/short                            1.2326      N/A        N/A
loop_seattle/H/long                             1.5417      N/A        N/A
loop_seattle/H/medium                           1.5848      N/A        N/A
loop_seattle/H/short                            1.4195      N/A        N/A
m4_daily/D/short                                4.4096      N/A        N/A
m4_hourly/H/short                               5.3972      N/A        N/A
m4_monthly/M/short                              1.0923      N/A        N/A
m4_quarterly/Q/short                            1.8877      N/A        N/A
m4_weekly/W/short                               4.0795      N/A        N/A
m4_yearly/A/short                               6.6856      N/A        N/A
m_dense/D/short                                 1.0306      N/A        N/A
m_dense/H/long                                  1.4917      N/A        N/A
m_dense/H/medium                                1.5424      N/A        N/A
m_dense/H/short                                 1.6436      N/A        N/A
restaurant/D/short                              0.8363      N/A        N/A
saugeen/D/short                                 4.7194      N/A        N/A
saugeen/M/short                                 1.5049      N/A        N/A
saugeen/W/short                                 2.6935      N/A        N/A
solar/10T/long                                  2.2578      N/A        N/A
solar/10T/medium                                3.2806      N/A        N/A
solar/10T/short                                 2.3564      N/A        N/A
solar/D/short                                   1.0401      N/A        N/A
solar/H/long                                    1.7154      N/A        N/A
solar/H/medium                                  1.7359      N/A        N/A
solar/H/short                                   2.2109      N/A        N/A
solar/W/short                                   2.0217      N/A        N/A
sz_taxi/15T/long                                0.6058      N/A        N/A
sz_taxi/15T/medium                              0.6216      N/A        N/A
sz_taxi/15T/short                               0.6512      N/A        N/A
sz_taxi/H/short                                 0.6448      N/A        N/A
temperature_rain/D/short                        2.0562      N/A        N/A
us_births/D/short                               1.3114      N/A        N/A
us_births/M/short                               1.3335      N/A        N/A
us_births/W/short                               2.0628      N/A        N/A
------------------------------------------------------------------------------------------

No configs with matching Seasonal Naive reference.
==========================================================================================
