dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,contrastive_tiny_R2,78.07849299617752,78.07849299617752,5.159793823837111,0.8016935994487544,0.13969096956213137,0.10982133570574625,32.06774397795018,8.836203539766245,0.1515213830191491,0.08847907280122991,0.08847907280122991,Transport,1
loop_seattle/5T/medium,contrastive_tiny_R2,333.5741287553833,333.5741287553833,11.648164797100451,1.7897064586772096,0.35814977373851287,0.2655916662010213,71.58825834708836,18.26401184721975,0.32495430478255694,0.20724478966052703,0.20724478966052706,Transport,1
loop_seattle/5T/long,contrastive_tiny_R2,228.3168987788343,228.3168987788343,9.62941947353705,1.4921529047585056,0.3437953557609416,0.20098354624434486,59.68611619034023,15.110158793964883,0.26715069903059324,0.17025010648079417,0.17025010648079417,Transport,1
loop_seattle/D/short,contrastive_tiny_R2,27.302494857454928,27.302494857454928,3.7806167114383786,1.137438493391148,0.06937447810671366,0.0681355332171325,45.49753973564593,5.225178930663994,0.09338093314396667,0.06756467502040697,0.06756467502040699,Transport,1
loop_seattle/H/short,contrastive_tiny_R2,103.1298583722736,103.1298583722736,6.717772049351335,1.3521014452089626,0.1761914912837908,0.14495441397157827,54.08405780835851,10.155287212692391,0.1797589120628656,0.11891139755933766,0.11891139755933766,Transport,1
loop_seattle/H/medium,contrastive_tiny_R2,132.12714752542266,132.12714752542266,8.00180932047428,1.622607515417862,0.19397253008545695,0.17145421298201696,64.90430061671447,11.494657347020947,0.20316677635081207,0.14143108015620595,0.14143108015620595,Transport,1
loop_seattle/H/long,contrastive_tiny_R2,130.38495800079087,130.38495800079087,7.715146194227708,1.5886002838283984,0.2267511331387341,0.16457086321283496,63.54401135313594,11.418623297087564,0.204066089602387,0.1378799942518774,0.13787999425187739,Transport,1
m_dense/D/short,contrastive_tiny_R2,16408.761624952687,16408.761624952687,68.50176826688978,0.9701000066947796,0.16962228188889986,0.13483868284666642,38.80400026779118,128.09668857918493,0.22175431591288758,0.11858669360884387,0.11858669360884387,Transport,1
m_dense/H/short,contrastive_tiny_R2,106670.35877844255,106670.35877844255,171.19229911175867,1.4263608406603439,0.723249742264046,0.39459216747034564,57.05443362641375,326.60428469088174,0.5793146164702614,0.30365248023753044,0.30365248023753044,Transport,1
m_dense/H/medium,contrastive_tiny_R2,107823.53681537558,107823.53681537558,170.78762866574857,1.4024873398145972,0.6628539412498469,0.38711051759337484,56.09949359258388,328.3649445592138,0.5713135190301315,0.2971488971541079,0.29714889715410786,Transport,1
